,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Bacon-Cheddar-Pinwheels-768341,,5,16,900.0,2100
1,Fiesta-Corn-Dip-1711704,,7,4,900.0,900
2,Crunchy-Taco-Cups-1684027,,5,12,,2400
3,Chipotle-Meatball-Appetizers-768376,,7,24,1800.0,3000
4,Sausage-Crescent-Cheese-Balls-768337,,5,42,1200.0,2400
5,Sausage-and-Cheese-Crescent-Squares-768368,,4,32,1200.0,3600
6,Refreshing-Watermelon-Salsa-1707761,,7,4,,3000
7,Mexican-Spring-Rolls-with-Cilantro-Lime-Dip-1711850,1200.0,11,4,900.0,2100
8,Fried-Catfish-Nuggets-1708128,600.0,12,4,1200.0,1800
9,Sticky-AND-Crispy-Asian-Chicken-Wings-1710725,5400.0,14,40,600.0,6000
10,7-Layer-Nacho-Dip-1709976,,10,4,,1500
11,Individual-Seven-Layer-Dips-1709378,900.0,8,4,900.0,1800
12,Jalapeno-Bacon-Deviled-Eggs-1710608,900.0,9,12,300.0,1200
13,Healthy-Cowboy-Caviar-1708326,,17,6,1800.0,1800
14,Stuffed-Mushrooms-Easy-1684901,,6,4,,1800
15,Dill-Smoked-Salmon-Dip-1708987,,10,10,,1200
16,Fresh-Mozzarella-Bites-1624217,300.0,4,50,600.0,900
17,Homemade-Hummus-with-Canned-Chickpeas-1710566,,7,2,600.0,600
18,Mexican-Street-Corn-Salsa-1697579,,7,4,300.0,300
19,Easy-Three-Ingredient-Jalapeno-Poppers-768357,,3,16,600.0,1800
20,Cherry-Tomatoes-With-Shrimp-And-Cream-Cheese-1707595,,8,4,,1800
21,Guacamole-1704904,,8,4,600.0,600
22,Sausage-stuffed-Jalapeno-Poppers-1696606,,5,4,,2700
23,Crock-Pot-Hot-Pizza-Dip-1710433,3600.0,7,10,300.0,3900
24,Spinach-Artichoke-Dip-1573335,1200.0,5,8,300.0,1500
25,Artichoke-Garlic-Scape-Pesto-1712644,,6,4,,1200
26,Creamy-Parmesan-Spinach-Dip-1693397,,6,2,,1500
27,Spanish-Garlic-Shrimp-1631041,300.0,7,4,300.0,600
28,Buffalo-Jalapeno-Poppers-768367,,4,16,900.0,1800
29,Chipotle-Chicken-Ranch-Dip-1705157,,6,4,,2100
30,Herb-Cream-Cheese-Stuffed-Tomatoes-1711829,,6,4,,1500
31,Hot-Sausage-Beer-Cheese-Dip-1700601,1200.0,8,7,600.0,1800
32,Easy-TRISCUIT-Appetizer-Bacbluvincuit-1708229,,6,24,600.0,600
33,Chicken-Enchilada-Dip-1711218,900.0,8,7,300.0,1200
34,Stuffed-Mushrooms-1712704,,7,4,600.0,2100
35,Mexican-7-Layer-Dip-1693005,,7,8,1200.0,1200
36,Eggplant-Dip-1713259,2400.0,5,4,300.0,2700
37,Mushroom-Arancini-1707116,3600.0,14,4,1800.0,5400
38,Mac-_-Cheese-Bites-with-Hatch-Valley-Salsa-1712701,,4,6,,1500
39,Easy-Crescent-Veggie-Pizza-768360,,9,32,1200.0,4200
40,Roasted-Garlic-Parmesan-Dip-1703112,,4,2,,900
41,Lemon-Thyme-Marinated-Olives-1707685,,5,4,,3000
42,Chive-Butter-1713064,,4,4,,2100
43,Poppy-Seed-Chicken-Dip-1708999,,6,8,600.0,600
44,Beet-Hummus-1708788,,8,4,,8400
45,Ranch-Pepper-Blue-Cheese-Dip-1713050,,5,4,,900
46,Asparagus-and-Gruyere-Tart-1567167,,7,4,,3600
47,Greek-Yogurt-and-Feta-Dip-1711657,,6,4,600.0,600
48,Creamy-Cashew-Cool-Celery-Dip-1710549,,7,1,300.0,300
49,Hummus-1702157,1200.0,10,6,600.0,1800
50,Cheesy-Spinach-Pinwheels-931846,,7,24,,3600
51,Bone-Marrow-Butter-1712086,,5,1,,1800
52,Bahama-Breezes-Jamaican-Jerk-Chicken-Wings-1710700,,18,6,,4800
53,Tree-Shaped-Crescent-Veggie-Appetizers-768358,,6,32,1800.0,4500
54,Cucumber-Feta-Rolls-1687920,,8,4,0.0,1050
