,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Skinny-Hummus-With-Zero-Tahini-1627413,,8,12,,600.0
1,Pico-De-Gallo-1682898,,8,4,,1200.0
2,Fiesta-Baked-Cheese-Dip-1696540,2400.0,7,32,1200.0,3600.0
3,Easy-Baked-Chicken-Wings-in-Sweet-_-Sour-Sauce-1682194,,7,4,,3000.0
4,Cheesy-roasted-red-pepper-dip-333510,,7,4,,2400.0
5,Hot-Artichoke-_-Spinach-Dip-1698551,,10,4,,3000.0
6,Enchiladas-Potosinas-1705110,900.0,14,24,4500.0,5400.0
7,Stuffed-Mini-Peppers-With-Feta_-Goat-Cheese_-Garlic-_-Herbs-1632999,,4,4,,2100.0
8,Quick-Marinated-Mushrooms_-1701414,,13,4,,2100.0
9,Loaded-baked-potato-dip-335784,,6,4,,2700.0
10,Vegan-Mexican-Cheese-_Three-Ways_-1682739,,15,2,600.0,600.0
11,Dill-Pickle-Dip-1667441,,7,4,,2700.0
12,Turmeric-Hummus-1687811,,9,8,600.0,600.0
13,Watermelon-Salsa-1684550,,8,10,900.0,900.0
14,Pate-Of-The-Two-Salmons-1695623,,7,4,,2400.0
15,Cheesy-Baked-Dip-988436,,9,20,,3900.0
16,Robert_s-Corn-Dip-1662982,,12,6,,1200.0
17,How-To-Make-Crostini-1633128,,4,20,,1200.0
18,Beet-hummus-308970,,6,4,,900.0
19,Guacamole-298512,,6,4,,600.0
20,BLT-Dip-1448560,,7,10,1200.0,1200.0
21,Deviled-Eggs-with-a-Kick-1600362,480.0,5,24,2700.0,3180.0
22,Roasted-Garlic-Hummus-1677848,1800.0,6,4,600.0,2400.0
23,Reuben-Dip-1590460,1200.0,5,4,300.0,1500.0
24,Sinfully-stuffed-potato-skins-347364,,7,12,1200.0,1200.0
25,Stuffed-Mushrooms-1418514,1800.0,9,5,900.0,2700.0
26,The-best-ever-Guacamole_-1689242,,9,4,,1800.0
27,Easy-avocado-dip-345494,,5,4,,1200.0
28,Low-Sodium-Hummus-1702245,300.0,8,2,600.0,900.0
29,Wings-1641076,3000.0,9,4,14400.0,17400.0
30,Ricotta-Stuffed-Mushrooms-1602110,,6,4,,1800.0
31,Cherry-Peach-Bruschetta-with-Honey-Garlic-Goat-Cheese-1705453,,15,8,900.0,900.0
32,Airfried-Coconut-Shrimp-with-Pina-Colada-Dip-1708233,600.0,11,4,300.0,900.0
33,Spicy-Cheese-Straws-1633274,,6,4,,3000.0
34,Green-Goddess-Dip-with-Vegetables-1630732,600.0,6,8,600.0,600.0
35,Southwestern-Sea-Scallop-Ceviche-1685922,,6,4,,2700.0
36,Watermelon_-Feta_-and-Mint-Skewers-1640511,,4,4,600.0,600.0
37,Cheesecake-Factory-Avocado-Egg-Rolls-519180,,18,4,600.0,1200.0
38,Sun-Dried-Tomato-Spread-1567612,,9,2,1800.0,1800.0
39,STUFFED-CUCUMBER-BITES-971105,,7,8,1800.0,1800.0
40,Roasted-Fennel-And-Apple-Guacamole-1699511,,8,4,,4800.0
41,Guacamole-Deviled-Eggs-1677896,,8,12,,1500.0
42,Kale-And-Parmesan-Hummus-1130001,,8,3,300.0,300.0
43,Sweet-Pickle-Relish-1705392,1800.0,10,3,18000.0,19800.0
44,Guinness-and-Cheddar-Dip-1002929,,10,4,,2400.0
45,Raw-Spicy-Lime-Bites-1641577,,7,12,600.0,600.0
46,Peanut-butter-hummus-333763,,6,1,,900.0
47,Easy-Queso-Dip-1603629,600.0,7,2,300.0,900.0
48,Hot-Spinach-Dip-1572256,,8,2,,1800.0
49,The-Best-Spinach-Artichoke-Dip-Ever-1169039,,12,4,,2400.0
50,Honey-Garlic-Chicken-Wings-1232054,,7,4,,6300.0
51,The-Classic-Caprese-Salad-Recipe-An-All-Rounder_-1379649,,6,4,,1200.0
52,Spinach-Artichoke-Dip-1448836,,7,4,,2100.0
53,Roasted-Tomatillo-Salsa-1640726,900.0,6,4,,900.0
54,Basil-and-Lemon-White-Bean-Dip-1681448,,7,16,1200.0,1200.0
55,Greek-yogurt-and-cottage-cheese-dip-with-dill-309743,,5,2,,600.0
56,Ranch-deviled-eggs-297644,,2,6,,5400.0
57,Cashew-Butter-998530,,4,1,,1500.0
58,Jalapeno-_-Cheddar-Hush-Puppies-1638309,,7,4,,1800.0
59,Crispy-Baked-Lemon-Pepper-Chicken-Wings-1480058,,4,4,,3300.0
60,Tylers-Amazing-Cheese-Fondue-1681453,900.0,11,5,600.0,1560.0
61,Sweet-Pepper-Poppers-1276588,,7,4,,2400.0
62,Pumpkin-Hummus-Naturally-Ella-46333,,7,2,,5100.0
63,Original-Sausage-Balls-1428448,,4,4,,2400.0
64,Eggplant-Roll-Recipe-_Side-_-Appetizer_-1694080,,7,4,,2100.0
65,Tasty-Eggplant-Dip-1703624,,10,4,,4800.0
66,Broccoli-Poppers-983224,,7,4,,2100.0
67,Homemade-Dill-Dip-1625283,,6,4,,600.0
68,Bacon-Wrapped-Crab-Appetizers-1680769,2220.0,2,10,,2220.0
69,Crockpot-spinach-and-artichoke-dip-310313,,7,4,,2700.0
70,The-BEST-hummus_-1205624,,11,4,,900.0
71,The-Greatest-Deviled-Eggs-1566465,,10,4,,2100.0
72,Southwestern-Hummus-Dip-1684615,,8,9,,1200.0
73,Guacamole-with-cilantro-297846,,5,4,,600.0
74,Salmon-Tortilla-Appetizers-1632101,,7,48,,1500.0
75,Veal-Steamed-Dumplings-1695666,,17,4,1200.0,1200.0
76,Traditional-Hummus-477265,,7,12,1200.0,1200.0
77,Cheesy-Chicken-Enchilada-Dip-1689556,900.0,7,6,300.0,1200.0
78,Italian-Salsa-__-staying-safe-in-the-summer-sun__-1695804,,8,4,,1200.0
79,Nacho-cheese-triangles-345452,,7,4,,1500.0
80,Paleo-Southwest-Ranch-Dip-1594097,,5,4,,2400.0
81,Buffalo-Chicken-Cupcakes-897215,,7,12,,2700.0
82,Asian-Deviled-Eggs-1640736,,7,24,,2400.0
83,Cheesy-Mushroom-Spread-_Trust-me_-it_s-addictive_-1681289,,11,5,1500.0,1500.0
84,Chicken-Wings-In-Soy-Sauce-With-Honey-1634944,,5,4,,1500.0
85,Bacon-double-cheese-burger-dip-350765,3000.0,11,4,600.0,3600.0
