,id,rating,recipeName,sourceDisplayName
0,Warm-Spinach-and-Artichoke-Dip-1222123,4,Warm Spinach and Artichoke Dip,Deliciously Ella
1,Honey-Garlic-Crockpot-Meatballs-1245745,4,Honey Garlic Crockpot Meatballs,Family Fresh Meals
2,Cheesy-Spinach-_-Artichoke-Dip-1063719,4,Cheesy Spinach & Artichoke Dip,Shibley Smiles
3,Zucchini-Hummus-1197534,4,Zucchini Hummus,Feasting at Home
4,Easy-guacamole-369751,4,Easy Guacamole,Real Mom Kitchen
5,Easy-vegetable-dip-303296,4,Easy Vegetable Dip,Unilever North America
6,Homemade-Honey-Mustard-Dip-1585908,4,Homemade Honey Mustard Dip,This Girl's Life
7,Crab-Rangoon-Wontons-1042860,4,Crab Rangoon Wontons,Culinary Hill
8,Creamy-Feta-Cheese-Spreed-1611118,4,Creamy Feta Cheese Spreed,Skinny Ms
9,Baked-Brie-Simply-Recipes-42730,5,Baked Brie,Simply Recipes
10,Spicy-Garlic-Sriracha-Dip-1236746,4,Spicy Garlic Sriracha Dip,Mostly Homemade Mom
11,Gobi-Manchurian-1123084,4,Gobi Manchurian,Revi's Foodography
12,Blue-Cheese-And-Bacon-Deviled-Eggs-1091790,4,Blue Cheese And Bacon Deviled Eggs,Nobiggie
13,Cheesy-Black-Bean-and-Salsa-Dip-1197330,4,Cheesy Black Bean and Salsa Dip,Stuck on Sweet
14,Mexican-Veggie-Burrito-with-Guacamole-Dip-by-Gingeritup-1700194,4,Mexican Veggie Burrito with Guacamole Dip by Gingeritup,Ginger it Up
15,Zesty-chili-dip-298409,4,Zesty Chili Dip,Unilever North America
16,Bacon-Appetizer-Crescents-1176269,5,Bacon Appetizer Crescents,Kraft Philadelphia Cream Cheese Brand
17,Garlic-Spread-Allrecipes,5,Garlic Spread,AllRecipes
18,Classic-Buffalo-Wings-482962,4,Classic Buffalo Wings,I Breathe... I'm Hungry...
19,Healthy-Cilantro-_-Jalapeno-Ranch-Dip-1679764,4,Healthy Cilantro & Jalapeno Ranch Dip,Lose weight by eating
20,Avocado-Hummus-1073003,4,Avocado Hummus,Family Spice
21,Roasted-Garlic-Hummus_-1326015,4,Roasted Garlic Hummus.,A Flavor Journa
22,Baked-Clams-1096805,3,Baked Clams,Cooking with Nonna
23,Spinach-Stuffed-Mushrooms-1555109,4,Spinach Stuffed Mushrooms,Cooking  And Cooking
24,Peanut-Butter-and-Jelly-Dip-995684,4,Peanut Butter and Jelly Dip,Taste and Tell
25,Shrimp-Puffs-1624060,4,Shrimp Puffs,Grits and Pinecones
26,Sweet-Pepper-Poppers-with-Guacamole-Crunch-1683631,4,Sweet Pepper Poppers with Guacamole Crunch,Spabettie
27,Baked-mussels-with-cilantro-butter-334456,5,Baked Mussels with Cilantro Butter,Turntable Kitchen
28,Mini-lasagna-cups-365433,5,Mini Lasagna Cups,Jo Cooks
29,Bacon-wrapped-buffalo-chicken-jalapeno-poppers-351074,5,Bacon Wrapped Buffalo Chicken Jalapeno Poppers,Closet Cooking
30,Slow-Cooker-Sticky-Wings-926797,4,Slow Cooker Sticky Wings,Tracey's Culinary Adventures
31,Herb-Butter-for-Corn-1123883,4,Herb Butter for Corn,Simmworks Family Blog
32,Healthy-Guacamole-1124877,4,Healthy Guacamole,weightloss.com.au
33,Low-Carb-Buffalo-Chicken-Meatballs-1601694,4,Low Carb Buffalo Chicken Meatballs,Buns in my Oven
34,Spicy-Jalapeno-Crab-Dip-1683519,4,Spicy Jalapeno Crab Dip,Bake Your Day
35,Roasted-Poblano-Sweet-Corn-Hummus-1567898,4,Roasted Poblano Sweet Corn Hummus,Three Olives Branch
36,BAKED-Cream-Cheese-Rangoons-596046,4,BAKED Cream Cheese Rangoons,Chef In Training
37,Sausage-Stuffed-Mushrooms-1641557,4,Sausage Stuffed Mushrooms,Faithfully Free
38,Fried-minted-artichoke-346121,5,Fried Minted Artichoke,White on Rice Couple
39,Organic-Chips-Chunky-Garden-Salsa-1566469,3,Organic Chips Chunky Garden Salsa,Mission Brand
40,Pumpkin-_-peanut-butter-dip-299844,4,Pumpkin & Peanut Butter Dip,Unilever North America
41,Shrimp-cocktail-with-low-sugar-cocktail-sauce-309664,5,Shrimp Cocktail with Low Sugar Cocktail Sauce,Kalyn's Kitchen
42,Wonton-Poppers-1067412,4,Wonton Poppers,Behind The Bites
43,White-bean-roasted-red-pepper-dip-307155,5,White Bean Roasted Red Pepper Dip,Smitten Kitchen
44,Baba-Ghanoush-1229852,3,Baba Ghanoush,popsugar.com
45,Classic-Guacamole-1600428,4,Classic Guacamole,Lively Table
46,Watermelon_-Mozzarella-and-Prosciutto-Skewers-1206030,4,"Watermelon, Mozzarella and Prosciutto Skewers",Cookie Monster Cooking
47,Tropical-Mango-Guacamole-1620426,3,Tropical Mango Guacamole,Food & Wine
48,Chipotle-Pumpkin-Deviled-Eggs-1335714,3,Chipotle Pumpkin Deviled Eggs,Dillons
