,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Clean-Eating-Banana-Pancakes-1708094,,4,4,,1500
1,Norwegian-Pancakes-1707570,,5,6,,1500
2,Egg-Bake-Breakfast-Foil-Packet-1708169,600.0,7,4,600.0,1200
3,The-28-Day-Shrink-Your-Stomach-Challenge-Breakfast-Spinach-Tacos-1690736,,8,2,,1500
4,Healthy-French-Toast-w_-Peach-Chia-Seed-Compote-1708324,1200.0,5,4,600.0,1800
5,The-Best-Simple-Tasty-Artichoke-Frittata-1711398,1200.0,5,4,600.0,1800
6,Tater-Tot-Breakfast-Casserole-1711041,,10,4,,3300
7,Baked-Egg-In-Avocado-1686638,,5,2,,2100
8,Fruitful-Morning-Muesli-760983,,5,4,,1500
9,Baked-Oatmeal-760976,2400.0,6,8,900.0,3300
10,French-Toast-1684952,600.0,7,8,600.0,1200
11,Pancakes-From-Scratch-1698304,,7,4,,1800
12,Apples-_-Cinnamon-Oatmeal-with-Cranberries-and-Pecans-760988,,3,1,,600
13,Grandma-Rocks-Secret-Pancake-1690204,,8,4,,1800
14,Cinnamon-and-Spice-Oatmeal-with-Ricotta-and-Pear-984897,,4,1,,600
15,Microwave-Cinnamon-Maple-Breakfast-Quinoa-1705828,420.0,7,2,180.0,600
16,Peanut-Butter-Berry-Oatmeal-1711332,,4,4,,1200
17,Pumpkin-Cheesecake-Oatmeal-760990,,8,1,,900
18,Strawberries-_-Cream-Oatmeal-Chilled-Oats-760987,,3,1,,600
19,Crepes-1622679,,6,20,300.0,1500
20,Fluffy-Pancakes-for-Breakfast-1633815,,6,4,,1500
21,Simple-Spanish-Omelette-1707749,,7,2,,900
22,Country-Gravy-Breakfast-Casserole-1697626,,8,4,,3600
23,Cinnamon-Roll-Pancakes-1699738,600.0,15,9,300.0,900
24,Loaded-Vanilla-Overnight-Oats-1703113,,10,1,300.0,300
25,Brown-Sugar-Maple-Bacon-1702683,,3,4,,3300
26,The-Best-French-Toast-1637883,,7,4,,1200
27,Vanilla-Peach-Overnight-Oats-1706871,,5,1,600.0,29400
28,Bacon_-Egg-and-Cheese-Brunch-Ring-768362,,9,8,1800.0,3300
29,Banana-Pancakes-1703428,,8,4,,2100
30,Creamy-Maple-Cranberry-Oatmeal-760979,,5,4,,600
31,Express-Breakfast-1684593,,8,4,,2700
32,PB_J-and-Apple-Oatmeal-760997,,4,1,,900
33,Fluffy-Buttermilk-Pancakes-1691305,,10,9,1200.0,1200
34,Maple-Brown-Sugar-Oatmeal-with-Orange_-Cranberries_-Almonds-760986,,5,1,,600
35,Cinnamon-Roll-Breakfast-Bake-1705835,,7,10,,2400
36,Breakfast-Baked-Potatoes-1600724,900.0,7,4,900.0,1800
37,Favorite-Oatmeal-Pancakes-761010,,14,6,,1500
38,Cream-Cheese-Pancakes-1708913,,7,4,,1800
39,Low-Carb-Gluten-Free-Musli-Cereal-1704968,480.0,9,15,60.0,540
40,Apple-Cinnamon-Pancakes-1690479,600.0,11,3,600.0,1200
41,Cinnamon-Honey-Butter-_Texas-Roadhouse-Style_-1640809,,5,11,,300
42,Slow-Cooker-Sausage-Hashbrown-and-Egg-Breakfast-Casserole-1712345,21600.0,6,8,300.0,21900
43,Paleo-Bone-Broth-Protein-Pancakes-1713084,,6,2,,720
44,Apricot-Honey-Oatmeal-760980,300.0,5,4,600.0,1200
45,Mac-N-Cheese-Breakfast-Casserole-1708227,,9,4,,3000
46,2-Ingredient-Pancakes-1686555,,2,4,,600
47,The-Perfect-Scrambled-Eggs-1702518,,7,4,,2100
48,Roasted-Rhubarb-and-Strawberry-Breakfast-Bowl-with-Walnuts-and-Fresh-Mint-1713101,,7,6,,2400
49,Breakfast-Muffins-1679191,1800.0,11,24,1200.0,3000
50,Vanilla-Maple-Almond-Butter-Overnight-Oats-1700018,21600.0,5,2,300.0,21900
51,Greek-Yogurt-Pancakes-1702014,,5,4,,1500
52,Bacon-Avocado-Breakfast-Toast-1700939,,4,4,,1500
53,Pomegranate_-Fig-_-Almond-Overnight-Oatmeal-762416,,8,6,,14400
54,Greek-Yogurt-Breakfast-Bark-1568935,,5,6,600.0,7800
55,Norwegian-Pancakes-1624366,,5,6,,1500
56,Egg-White-Whipped-Vanilla-Oatmeal-760996,,9,2,,1500
57,Overnight-Chilled-Oats-with-Chia-1691027,,7,2,300.0,28800
58,Cuban-Style-Black-Beans-and-Plantains-Over-Oatmeal-760995,,9,4,,1500
59,Peaches-_-Cream-Oatmeal-with-Blackberries-760991,,3,1,,600
60,Avocado-Baked-Eggs-1564295,,7,4,,2400
61,Pumpkin-Waffles-1697558,,8,1,,1200
62,Fluffy-Pancakes-1639288,,7,3,,1800
63,Sugar-Free-Strawberry-Jam-1702646,2100.0,4,2,600.0,2700
64,Egg-Muffins-1690978,,7,12,,2400
65,Moroccan-Honeycomb-Pancakes-1696754,,7,6,,4500
66,Old-Fashioned-Pancakes-1639238,,8,6,,1200
