,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Gluten-Free-Waffles-1629571,,9,9,,1800
1,Peanut-Butter-Pancakes-1342291,900.0,9,11,300.0,1200
2,Kahlua-and-Cream-French-Toast-1597605,900.0,5,8,300.0,1200
3,Strawberry-Banana-Paleo-Breakfast-Bars-1109641,,6,4,,3900
4,Mini-Gingerbread-Oatmeal-Breakfast-Bites-1416028,720.0,7,24,240.0,960
5,Vegan-Fruit-and-Veggie-Everything-Breakfast-Loaf-1706267,2700.0,13,8,600.0,3300
6,Coconut-Flour-Breakfast-Bake-1191325,180.0,6,4,300.0,480
7,Strawberries-and-Cream-Baked-Oatmeal-1620108,,10,4,,2100
8,Raspberry-Jam-748093,1800.0,4,1,,1800
9,Banana-Nut-Overnight-Oats-1502975,,6,2,300.0,300
10,Sausage-and-Apple-Frittata-with-Dill-1687580,,9,4,,2700
11,Egg-Clouds-1101213,,4,8,,1800
12,Tomato-mozzarella-egg-white-omelet-336113,,8,1,,1200
13,Kale-Breakfast-Skillet-1206817,900.0,9,3,300.0,1200
14,The-Perfect-Keto-Breakfast-1104417,,6,4,,1500
15,Overnight-Quinoa-1069123,,6,1,,900
16,Chinese-Scallion-Pancakes-683181,,5,4,,3600
17,Eggs-In-Tomatoes-Excellent-Breakfast_-1531961,,6,4,,600
18,Homemade-Whole-Wheat-Pancake-Mix-1559410,900.0,10,6,600.0,1500
19,Breakfast-Bake-up-1709091,,17,1,,1800
20,Skinny-Breakfast-Sausage-1045715,,7,8,,1500
21,Bacon-Wrapped-Eggs-1318618,,6,4,,3000
22,Easy-Breakfast-Waffles-1708864,300.0,10,12,600.0,900
23,Scrambled-egg-toast-305684,,8,4,,1800
24,Chorizo-and-egg-white-breakfast-burrito-352464,,7,2,,1200
25,Sausage-_-Cornbread-Breakfast-Casserole-1613238,,7,7,,4800
26,Baked-Eggs-in-Ricotta-Parmesan-Creamed-Spinach-1710092,,13,4,,1800
27,Omelet-Breakfast-Bites-1058058,,8,4,,2400
