,index,bitter,meaty,piquant,salty,sour,sweet
0,2--Minute-Low-Carb-English-Muffin-1697908,,,,,,
1,2-Ingredient-Pancakes-1686555,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.5
2,2-Ingredient-Protein-Crepes-1684862,0.8333333333333334,0.8333333333333334,0.0,0.5,0.6666666666666666,0.16666666666666666
3,2-Ingredient-Sweet-Potato-Pancakes-1221168,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333
4,3-Ingredient-Banana-Pancakes-1561724,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.5
5,30-Minutes-To-Homemade-SURE_JELL-Strawberry-Freezer-Jam-1700703,,,,,,
6,4-Ingredient-Seaside-Breakfast-Salad-1635361,,,,,,
7,4-Ingredient-Super-Fluffy-Vegan-Protein-Pancakes-1589744,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.3333333333333333
8,5-Ingredient-Quinoa-Breakfast-Pots-1698919,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.3333333333333333
9,5-Minute-Chocolate-Oatmeal-568037,,,,,,
10,A-Classic-Breakfast-Idea-1693356,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666
11,Acapulco-Eggs-1712547,,,,,,
12,Almond-Butter-Pancakes-1694236,0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,0.5,0.5
13,Almond-Flour-Pancakes-1582168,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.0,0.16666666666666666
14,Almond-Protein-Pancakes-1635203,,,,,,
15,Almond-Quinoa-Muffins-with-Cherries_-Apricots-and-Pistachios-1686963,0.3333333333333333,0.5,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666
16,Amazing-Vegan-Waffles-1092673,,,,,,
17,An-Easy-Pancake-1621224,,,,,,
18,Apple-Carrot-Cake-Pancakes-With-Maple-Cream-Cheese-Topping-781261,,,,,,
19,Apple-Cinnamon-Pancakes-1680204,0.3333333333333333,0.16666666666666666,0.0,0.5,0.16666666666666666,0.5
20,Apple-Cinnamon-Pancakes-1690479,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.5
21,Apple-Cinnamon-Slow-Cooker-Oatmeal-with-Truvia-Brown-Sugar-Blend-746837,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.5
22,Apple-Oatmeal-1687284,,,,,,
23,Apple-Pie-Overnight-Oatmeal-1694463,,,,,,
24,Apple-_-Blueberry-Baked-Oatmeal-1699695,0.6666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666
25,Apples-_-Cinnamon-Oatmeal-with-Cranberries-and-Pecans-760988,,,,,,
26,Apricot-Honey-Oatmeal-760980,,,,,,
27,Asparagus-_-Goat-Cheese-Frittata-1705952,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666
28,Asparagus-and-Bacon-1687089,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.3333333333333333,0.16666666666666666
29,Authentic-Belgian-Waffles-1545798,,,,,,
30,Avocado-Baked-Eggs-1564295,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.16666666666666666
31,Avocado-Pancakes-with-Lemon-Parsley-Butter-1691182,,,,,,
32,BAs-Best-Buttermilk-Pancakes-1711249,0.3333333333333333,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5
33,BLUEBERRY-BREAKFAST-BAKE-1711986,0.5,0.5,0.0,0.6666666666666666,0.16666666666666666,0.5
34,BRAZILIAN-FLAIR-CARROT-PANCAKES-1705277,,,,,,
35,BRAZILIAN-FLAIR-TAPIOCA-WAFFLES-1700612,,,,,,
36,Bacon-Avocado-Breakfast-Toast-1700939,,,,,,
37,Bacon-Breakfast-Muffins-1643093,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666
38,Bacon-Breakfast-Pizza-1621152,,,,,,
39,Bacon-Breakfast-Tacos-1713208,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5,0.16666666666666666
40,Bacon-_-Eggs-in-a-Jar-1339714,0.8333333333333334,0.6666666666666666,0.0,0.8333333333333334,0.6666666666666666,0.16666666666666666
41,Bacon-and-Egg-Breakfast-Cups-1712066,,,,,,
42,Bacon-and-Eggs-Breakfast-Bake-1696119,,,,,,
43,Bacon_-Egg-_-Cheese-Breakfast-Pizza-1706294,,,,,,
44,Bacon_-Egg-and-Cheese-Brunch-Ring-768362,,,,,,
45,Bacon_-Potato_-and-Kale-Frittata-1624274,0.3333333333333333,0.5,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666
46,Baked-Egg-In-Avocado-1686638,,,,,,
47,Baked-Egg-With-Prosciutto-and-Tomato-1684172,,,,,,
48,Baked-Egg-With-Prosciutto-and-Tomato-1711028,,,,,,
49,Baked-Eggs-1694281,,,,,,
50,Baked-Eggs-With-Crispy-Kale-1664608,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666
51,Baked-Eggs-with-Roasted-Vegetables-1704458,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.16666666666666666
52,Baked-Milk-Chocolate-French-Toast-1709691,0.5,0.3333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.5
53,Baked-Oatmeal-760976,,,,,,
54,Baked-Raspberry-_-Almond-French-Toast-1704108,0.3333333333333333,0.16666666666666666,0.0,0.5,0.16666666666666666,0.5
55,Baked-Strawberry-French-Toast-1684631,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333
56,Baked-Vanilla-Oatmeal-with-Nutmeg-1631434,0.8333333333333334,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.5
57,Baked-Vanilla-Oatmeal-with-Nutmeg-1712860,0.8333333333333334,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.5
58,Balanced-Breakfast-1621779,0.5,0.16666666666666666,0.0,0.16666666666666666,0.5,0.16666666666666666
59,Banana-And-Turmeric-Pancakes-1704253,,,,,,
60,Banana-Bread-Breakfast-Bars-1554642,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.3333333333333333,0.5
61,Banana-Bread-Breakfast-Casserole-1697595,,,,,,
62,Banana-Bread-French-Toast-1711427,,,,,,
63,Banana-Bread-Granola-1711626,0.6666666666666666,0.8333333333333334,0.0,0.3333333333333333,0.16666666666666666,0.8333333333333334
64,Banana-Egg-Pancake-1693412,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.5
65,Banana-Pancakes-1703428,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333
66,Banana-Pancakes-1711962,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.5
67,Banana-_-Oat-Breakfast-Biscuits-1696903,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.5
68,Bananas-Foster-French-Toast-1683972,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.8333333333333334
