,id,rating,recipeName,sourceDisplayName
0,Clean-Eating-Banana-Pancakes-1708094,3,Clean Eating Banana Pancakes,The Happier Homemaker
1,Norwegian-Pancakes-1707570,4,Norwegian Pancakes,Enjoy cooking
2,Egg-Bake-Breakfast-Foil-Packet-1708169,4,Egg Bake Breakfast Foil Packet,Julie's Eats & Treats
3,The-28-Day-Shrink-Your-Stomach-Challenge-Breakfast-Spinach-Tacos-1690736,3,The 28-Day Shrink Your Stomach Challenge Breakfast Spinach Tacos,The Dr.Oz Show
4,Healthy-French-Toast-w_-Peach-Chia-Seed-Compote-1708324,4,Healthy French Toast w/ Peach Chia Seed Compote,Jar Of Lemons
5,The-Best-Simple-Tasty-Artichoke-Frittata-1711398,4,The Best Simple Tasty Artichoke Frittata,An Italian in my Kitchen
6,Tater-Tot-Breakfast-Casserole-1711041,4,Tater Tot Breakfast Casserole,Get In My Belly
7,Baked-Egg-In-Avocado-1686638,4,Baked Egg In Avocado,Swirls of Flavor
8,Fruitful-Morning-Muesli-760983,4,Fruitful Morning Muesli,
9,Baked-Oatmeal-760976,4,Baked Oatmeal,
10,French-Toast-1684952,4,French Toast,This Is Why I'm Full
11,Pancakes-From-Scratch-1698304,4,Pancakes From Scratch,The Kitchen Magpie
12,Apples-_-Cinnamon-Oatmeal-with-Cranberries-and-Pecans-760988,4,Apples & Cinnamon Oatmeal with Cranberries and Pecans,
13,Grandma-Rocks-Secret-Pancake-1690204,4,Grandma Rock’s Secret Pancake,Buttercream Blonde
14,Cinnamon-and-Spice-Oatmeal-with-Ricotta-and-Pear-984897,4,Cinnamon and Spice Oatmeal with Ricotta and Pear,
15,Microwave-Cinnamon-Maple-Breakfast-Quinoa-1705828,4,Microwave Cinnamon Maple Breakfast Quinoa,Lauren's Latest
16,Peanut-Butter-Berry-Oatmeal-1711332,4,Peanut Butter Berry Oatmeal,My Mommy Style
17,Pumpkin-Cheesecake-Oatmeal-760990,4,Pumpkin Cheesecake Oatmeal,
18,Strawberries-_-Cream-Oatmeal-Chilled-Oats-760987,4,Strawberries & Cream Oatmeal Chilled Oats,
19,Crepes-1622679,3,Crepes,Food Network Canada
20,Fluffy-Pancakes-for-Breakfast-1633815,4,Fluffy Pancakes for Breakfast,Boiled Eggs and Soldiers
21,Simple-Spanish-Omelette-1707749,3,Simple Spanish Omelette,YourLifeChoices
22,Country-Gravy-Breakfast-Casserole-1697626,4,Country Gravy Breakfast Casserole,Miss Information
23,Cinnamon-Roll-Pancakes-1699738,4,Cinnamon Roll Pancakes,Chef in the Burbs
24,Loaded-Vanilla-Overnight-Oats-1703113,4,Loaded Vanilla Overnight Oats,Nutritious Eats
25,Brown-Sugar-Maple-Bacon-1702683,4,Brown Sugar Maple Bacon,Wonky Wonderful
26,The-Best-French-Toast-1637883,4,The Best French Toast,My Boys and Their Toys
27,Vanilla-Peach-Overnight-Oats-1706871,3,Vanilla Peach Overnight Oats,Team Beachbody
