,id,rating,recipeName,sourceDisplayName
0,Fruity-Whole-Grain-Breakfast-Porridge-1706525,3,Fruity Whole Grain Breakfast Porridge,Beachbody
1,Eggless-Peach-Waffles-1703856,4,Eggless Peach Waffles,The Schizo Chef
2,Cream-Cheese_-Blackberry_-and-Pistachio-Stuffed-French-Toast-1706745,3,"Cream Cheese, Blackberry, and Pistachio Stuffed French Toast",Very Vera
3,Whole-wheat-pancakes-_new-and-improved_-352121,5,Whole Wheat Pancakes {New and Improved},Skinnytaste
4,Vanilla-Cinnamon-French-Toast-1057625,3,Vanilla-Cinnamon French Toast,Joy Bauer
5,Double-Chocolate-Zucchini-Pancakes-1695944,4,Double-Chocolate Zucchini Pancakes,Whole and Heavenly Oven
6,Quinoa-Breakfast-Bowl-1576732,4,Quinoa Breakfast Bowl,Alice & Lois
7,Broccoli_-ham_-and-mozzarella-baked-with-eggs-310089,5,"Broccoli, Ham, and Mozzarella Baked with Eggs",Kalyn's Kitchen
8,Flax-Jacks-Pancakes-_paleo_-starch-free_-keto_-low-carb_-1697263,4,"Flax Jacks Pancakes (paleo, starch-free, keto, low carb)",Forest And Fauna
9,Mushroom-Scallion-Frittata-with-Parmesan-Cheese-1703775,4,Mushroom Scallion Frittata with Parmesan Cheese,Innocent Delight
10,Whole-Wheat-Oatmeal-Caramelita-Pancakes-1706595,4,Whole Wheat Oatmeal Caramelita Pancakes,Gringalicious
11,Breakfast-Casserole-1549257,4,Breakfast Casserole,The Frugal Fairy
12,Blueberry-Lemon-Ricotta-Pancakes-1611163,4,Blueberry Lemon Ricotta Pancakes,Flying on Jess Fuel
13,Courgette-Waffles-1567406,4,Courgette Waffles,A Life of Geekery
14,Candied-Ginger_-Coconut-and-Quinoa-Granola-1711300,3,"Candied Ginger, Coconut and Quinoa Granola",Food & Wine
15,Breakfast-Burritos-with-Chickpea-Crepes-1711017,4,Breakfast Burritos with Chickpea Crepes,Elephantastic vegan
16,Apple-Cinnamon-French-Toast-1624670,4,Apple Cinnamon French Toast,Creme de la Crumb
17,Mixed-Fruit-Acai-Bowl-1704630,4,Mixed Fruit Acai Bowl,Bowl Me Over
18,Baked-French-Toast-Casserole-1636754,4,Baked French Toast Casserole,Life Currents
19,Egg-_-Nopalitos-Scramble--1683337,4,Egg & Nopalitos Scramble ,Unilever North America
20,Coconut-Flour-Pancakes-1638026,4,Coconut Flour Pancakes,Healthy Lifestyle Today
21,Kitchen-Sink-Scramble-1688304,4,Kitchen Sink Scramble,My Clean Kitchen
22,JENNY_S-BETTER-THAN-BOXED-LOW-CARB-PANCAKES-1663506,4,JENNY'S BETTER THAN BOXED LOW CARB PANCAKES,Linda's Low Carb Menus
23,Biscuits-_-Gravy-Breakfast-Casserole-1700005,4,Biscuits & Gravy Breakfast Casserole,Stockpiling Moms
24,Paleo-Chocolate-Breakfast-Bread-1521721,4,Paleo Chocolate Breakfast Bread,Primal Paleo
25,30-Minutes-To-Homemade-SURE_JELL-Plum-Freezer-Jam-1700829,3,30 Minutes To Homemade SURE.JELL Plum Freezer Jam,Kraft
26,Omelet-in-Ziploc-Bag-1204780,4,Omelet in Ziploc Bag,Tidy Mom
27,Egg-McMuffin-Casserole-1631085,4,Egg McMuffin Casserole,Makin' it Mo'Betta
28,Whole-Wheat-Banana-Oatmeal-Greek-Yogurt-Waffles-1696376,3,Whole Wheat Banana Oatmeal Greek Yogurt Waffles,Mother Thyme
29,Southern-sausage-gravy-308032,5,Southern Sausage Gravy,The Kitchn
30,Matcha-Mochi-Waffles-_vegan_-1638763,4,Matcha Mochi Waffles (vegan),EatMunchLove
31,Healthy-Chocolate-Pancakes-1476322,4,Healthy Chocolate Pancakes,Family Food on the Table
32,African-Pancakes-1618969,4,African Pancakes,Immaculate Bites
