id,rating,bitter,meaty,piquant,salty,sour,sweet,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds,ingredient_list,course
1-2-3-Gluten-Free-Pancakes-1533270,4,0.333333333333,0.5,0.0,0.166666666667,0.166666666667,0.5,,4,4,,1200,"[bananas, peanut butter, eggs, vanilla extract]",Breakfast_Brunch
15-Minute-Breakfast-Pizza-1697470,4,0.666666666667,0.833333333333,0.0,0.833333333333,0.0,0.166666666667,600.0,4,6,300.0,900,"[pizza crust, large eggs, cooked bacon, cheddar cheese]",Breakfast_Brunch
18-Aug-Almond-Bread-French-Toast-Gluten-Free-1635186,4,0.166666666667,0.833333333333,0.0,0.166666666667,0.166666666667,0.166666666667,,5,4,,1200,"[eggs, coconut cream, vanilla extract, vanilla, coconut oil]",Breakfast_Brunch
2--Minute-Low-Carb-English-Muffin-1697908,4,,,,,,,120.0,7,2,120.0,240,"[cashew butter, butter, almond flour, salt, baking powder, unsweetened almond milk, eggs]",Breakfast_Brunch
2-INGREDIENT-PANCAKES-1683615,4,,,,,,,,9,4,,1500,"[bananas, eggs, mini chocolate chips, blueberries, strawberries, Nutella, peanut butter, honey, maple syrup]",Breakfast_Brunch
2-Ingredient-Pancakes-1264118,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.333333333333,0.5,,4,6,,1200,"[bananas, eggs, baking powder, ground cinnamon]",Breakfast_Brunch
2-Ingredient-Pancakes-1686555,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.333333333333,0.5,,2,4,,600,"[eggs, bananas]",Breakfast_Brunch
2-Ingredient-Pancakes-_gluten-free-_-dairy-free__-1081864,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.5,,4,4,,1500,"[bananas, medium eggs, fruit, eggs]",Breakfast_Brunch
2-Ingredient-Protein-Crepes-1684862,4,0.833333333333,0.833333333333,0.0,0.5,0.666666666667,0.166666666667,,2,2,,900,"[egg whites, vanilla protein powder]",Breakfast_Brunch
2-Ingredient-Sweet-Potato-Pancakes-1221168,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.333333333333,,4,2,,1500,"[sweet potatoes, eggs, vanilla extract, cinnamon]",Breakfast_Brunch
2-Minute-French-Toast-in-A-Cup-629750,3,0.333333333333,0.166666666667,0.0,0.166666666667,0.166666666667,0.166666666667,,4,4,,300,"[eggs, milk, cinnamon, vanilla extract]",Breakfast_Brunch
2-Minute-Omelette-in-a-Mug-977874,4,0.833333333333,0.833333333333,0.5,0.833333333333,0.166666666667,0.166666666667,,7,4,,900,"[eggs, meat, salsa, shredded cheese, olive oil spray, salt, pepper]",Breakfast_Brunch
21-Day-Fix-Spinach-Pesto-Frittata-1269076,4,0.166666666667,0.166666666667,0.0,0.333333333333,0.166666666667,0.166666666667,900.0,7,4,300.0,1200,"[eggs, pesto, shredded mozzarella cheese, olive oil, cherry tomatoes, pepper, salt]",Breakfast_Brunch
3-Ingredient-Bacon-Asparagus-Frittata-1602561,4,0.666666666667,0.833333333333,0.0,0.5,0.166666666667,0.166666666667,2400.0,3,4,1800.0,4200,"[bacon, asparagus, eggs]",Breakfast_Brunch
