id,rating,bitter,meaty,piquant,salty,sour,sweet,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds,ingredient_list,course
-No-Bake-Caramel-Cheesecake-Shooters-1706735,4,,,,,,,,6,4.0,,3600,"[butter, cream cheese, condensed milk, caramels, graham crackers, whipped cream]",dessert
1-2-3-4-Cupcakes-760182,4,0.166666666667,0.333333333333,0.0,0.333333333333,0.166666666667,0.833333333333,,13,48.0,,3000,"[unsalted butter, salt, granulated sugar, milk, Swans Down Cake Flour, vanilla extract, large eggs, almond extract, baking powder, confectioners sugar, butter]",dessert
1-Minute-Chocolate-Frosting-1690971,4,,,,,,,,4,1.0,60.0,60,"[milk, butter, sugar, semi-sweet chocolate morsels]",dessert
1-Minute-Sugar-Free-Peanut-Butter-Mug-Cake-1695650,4,0.833333333333,0.833333333333,0.0,0.833333333333,0.166666666667,0.333333333333,60.0,11,1.0,120.0,180,"[peanut butter, butter, coconut flour, eggs, unsweetened almond milk, baking powder, vanilla extract, liquid stevia, heavy whipping cream]",dessert
10-Layer-Chocolate-Caramel-Mousse-Cake-1697890,4,0.166666666667,0.166666666667,0.0,0.5,0.166666666667,0.833333333333,,26,12.0,,4200,"[powdered gelatin, cold water, granulated sugar, unsalted butter, heavy cream, vanilla bean paste, bittersweet chocolate, unsweetened dutch process cocoa, coffee, all-purpose flour, baking powder, baking soda, salt, granulated white sugar, firmly packed light brown sugar, large eggs, vanilla extract, whole milk, semisweet chocolate]",dessert
10-Minute-Strawberry-Jam-1702695,4,0.0,0.166666666667,0.0,0.0,0.833333333333,0.666666666667,420.0,2,4.0,180.0,600,"[strawberries, sugar]",dessert
100-Calorie-Chocolate-Peanut-Butter-Squares-1550858,4,,,,,,,,14,20.0,,5100,"[almond meal, pure maple syrup, cacao powder, coconut oil, vanilla extract, sea salt, peanut butter]",dessert
15-Minute-Strawberry-Jam-1683439,4,0.0,0.166666666667,0.0,0.0,0.833333333333,0.666666666667,,5,4.0,,1200,"[strawberries, sugar, lime zest, fresh lime juice, vanilla]",dessert
1_-Classic-Chocolate-Cake-1708247,4,,,,,,,,30,4.0,,2700,"[butter, brown sugar, granulated sugar, large eggs, vanilla extract, flour, unsweetened cocoa powder, baking powder, baking soda, salt, yoghurt, pinot noir, dark chocolate, bittersweet chocolate, unsalted butter, creamy peanut butter, heavy cream, raw sugar, light brown sugar, all-purpose flour, kosher salt]",dessert
1_2-Syn-Strawberry-Mousse-1703461,4,,,,,,,,4,3.0,,3600,"[sugar, boiling water, strawberries, fat free greek yogurt]",dessert
