,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Easy_-No-Bake_-Mud-Pie-1708171,11700.0,5,6,900.0,12600
1,Tita_s-Fruit-Dessert-_SundaySupper-1706994,,6,4,900.0,900
2,No-Bake-Oreo-Cheesecake-1710284,,6,4,1800.0,1800
3,Healthy-Lemon-Cheesecake-Popsicles-1711828,,5,4,,1200
4,Kiwi-Limeade-Popsicles-1712364,,4,10,,1800
5,Homemade-Fudgy-Brownies-1710405,,11,22,,3300
6,Lemonade-Pie-with-Sugar-Cone-Crust-_SundaySupper-1707639,,6,8,1200.0,1200
7,Coconut-Cheesecake-Stuffed-Strawberries-1709515,,5,24,900.0,900
8,Brigadeiro-Ice-Cream-1708526,600.0,6,2,300.0,900
9,Banana-Ice-Cream-1711273,,2,1,300.0,300
10,No-Bake-Cheesecake-Balls-1710460,,6,40,1800.0,9000
11,5-Minute-Super-Simple-Oreo-Ice-Cream-Sundae-1709260,,4,4,300.0,300
12,Hemp-Protein-Brownies-1708308,,6,4,,900
13,Toasted-S_mores-Bar-1710731,1500.0,7,4,1500.0,3000
14,Homemade-Chocolate-Ice-Cream-Cake-In-The-Ice-Cream-Maker-1708063,,5,500,8700.0,8700
15,Chocolate-Coconut-Avocado-Ice-Cream-1708025,,7,7,8700.0,8700
16,Vegan-5-Minute-Chocolate-Coconut-Balls-1708265,60.0,8,8,240.0,300
17,Hot-Fudge-Cake-1710791,2400.0,11,7,600.0,3000
18,Mocha-Chocolate-Chip-Icebox-Cake-1709561,,9,4,,2100
19,Mini-S_mores-Pull-Aparts-1709377,,5,2,,1500
20,Mango-Vanilla-Popsicle_-1710643,,5,6,1200.0,1200
21,Strawberry-Goat-Cheese-Tart-1708349,1200.0,7,6,600.0,1800
22,Peach-Melba-Homemade-Pops-1709193,,6,9,300.0,300
23,Peanut-Butter-Bite-Size-Cookies-1712215,,9,36,,2100
24,Perfect-Chocolate-Chip-Cookies-1688970,,9,15,,3300
25,Coconut-Caramel-Poke-Cake-1711514,1800.0,6,20,600.0,2400
26,Coffee-Chocolate-Ripple-Ice-Cream-1708597,,4,10,1200.0,1200
27,Apple-Pie-Crescents-768343,,5,8,600.0,1800
28,Mini-French-Silk-Crescent-Pies-768334,,6,24,900.0,1800
29,Mysore-Pak-1712552,5400.0,5,10,5400.0,10800
30,Nutella-Brownies-1709274,1500.0,8,16,900.0,2400
31,Two-Two-Easy-Peach-Cobbler-1663197,,6,4,,3600
32,Chocolate-Lava-Cake-1680149,,7,6,,2100
33,Classic-Peanut-Butter-Cookies-1708448,420.0,10,18,1500.0,1920
34,Cream-Cheese-Frosting-760169,,4,6,,900
35,Chocolate-Raspberry-Crescent-Ring-768353,2400.0,6,6,1500.0,2400
36,Healthy-Chocolate-Chia-Pudding-1708328,14400.0,7,6,300.0,14700
37,Paleo-Peppermint-Patties-1708306,,8,4,,1200
38,Strawberry-Pink-Velvet-Gooey-Bars-1709652,2700.0,8,20,600.0,3300
39,Patriotic-Ice-Cream-Cones-1707745,,3,4,,1500
40,Super-Easy-Strawberry-Banana-Pie-1708300,,5,4,,2100
41,Key-Lime-Coconut-Sheet-Cake-1709994,,8,4,,4200
42,How-To-Make-Easy-Dessert-With-Berries-White-Chocolate-1708187,60.0,5,4,,60
43,No-Churn-Dairy-Free-Strawberry-Banana-Ice-Cream-1709267,,3,7,,900
44,Roasted-Blueberry_-Coconut-and-Lime-Popsicles-1708210,600.0,5,10,900.0,1500
45,Nutella-Brownies-1709548,1800.0,10,1,1200.0,3000
46,Campfire-Brownies-1710554,,4,4,,2400
47,Microwave-Lemon-Curd-1709139,,4,750,,1800
48,Quick-Crescent-Pecan-Pie-Bars-768349,,7,24,600.0,6300
49,Snickerdoodle-Cookies-1693289,600.0,11,18,900.0,1500
50,Perfect-Pound-Cake-1711708,,6,4,,4800
51,Lightened-Up-Coconut-Peanut-Butter-No-Bake-Cookies-1710324,,7,24,,2700
52,Patriotic-Red_-White-and-Blue-Mousse-Parfait-1708241,,9,12,1800.0,1800
53,Dutch-Honey-Syrup-_Homemade-Syrup_-1704623,900.0,4,2,,900
54,Whipping-Cream-Pound-Cake-760177,,10,16,,4500
55,Brown-Sugar-Grilled-Pineapple-1708540,600.0,3,6,600.0,1200
56,PB_J-Cookies-1711975,600.0,7,10,300.0,900
57,Chocolate-Filled-Crescents-768342,,3,8,300.0,1500
58,Strawberries-and-Cream-Cupcakes-1709823,1200.0,11,18,1800.0,3000
59,4th-of-July-Spiral-Cookies-1710385,,8,20,,4200
60,S_mores-Seven-Layer-Bars-1641551,,7,32,,2400
61,Chocolate-Oatmeal-No-Bake-Cookies-1710771,,7,4,,1500
62,Caramel-Apple-Cupcakes-1709317,,11,4,,4200
63,Cool-Mint-Cookie-Chip-Ice-Cream-1709299,600.0,8,6,1200.0,1800
64,Raw-Chocolate-Avocado-Pudding-1711187,,5,4,,900
65,Best-Big_-Fat-Chewy-Chocolate-Chip-Cookie-1690630,,10,15,,2400
66,Homemade-Whipped-Cream-1690580,,3,3,,2100
67,Coffee-Nutella-Ice-Cream-with-Nutella-Brownie-Bits-_No-Churn_-1711484,1500.0,5,6,3000.0,4500
68,Fluffy-Cheesecake-1704581,11400.0,5,8,600.0,12000
69,Milk-Chocolate-Maple-Bacon-Cookies-1709462,1440.0,10,48,900.0,2340
70,Coconut-Kiwi-Ice-Cream-1712752,,4,3,14400.0,14400
71,Coconut-Cookies-Using-Nutiva-Organic-Virgin-Coconut-Oil-1713074,5400.0,8,6,5400.0,10800
72,Red_-White-and-Blue-Firecracker-Cupcakes-1711403,1080.0,8,24,900.0,1980
73,No-Churn-Sweet-Corn-Butterscotch-Ice-Cream-1708167,,7,4,,3900
74,The-Best-Ultimate-Chocolate-Chip-Cookies-1630008,720.0,12,12,7800.0,8520
75,Peanut-Butter-Cup-Cookies-1710587,600.0,9,24,1800.0,2400
76,FLOURLESS-PEANUT-BUTTER-COOKIES-1702086,720.0,3,15,300.0,1020
