,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Raw-Brownies-With-Frosting-1707657,,10,4,900.0,900
1,Easy-Cinnamon-Roll-Cake-1552842,,9,10,,3000
2,Coconut-Ice-Cream-1711710,,2,4,300.0,300
3,Old-Fashioned-Bread-Pudding-1620762,2400.0,9,6,600.0,3000
4,Brown-Butter-Banana-Chocolate-Toffee-Cake-1697797,3600.0,20,9,2700.0,6300
5,Gluten-Free-Chocolate-Chip-Cookie-Dough-Frosting-1696243,,5,4,,1200
6,Butter-Tarts-1699079,,6,4,,2400
7,Jillian-Michaels-Fudge-Brownies-1708361,,10,16,,2400
8,Chatelaine-1695218,,4,6,600.0,600
9,Strawberries-and-Cream-Trifles-1706317,,6,5,,1200
10,No-Churn-Vanilla-Bean-Ice-Cream-1712751,,3,4,,2100
11,Lemon-Curd-Ice-Cream-1707774,,12,2,,4500
12,Salted-Caramel-Creme-Brulee-1688184,2700.0,6,4,1200.0,3900
13,Greek-Flag-Cake-1712498,,14,4,,3600
14,No-Bake-Apple-Pie-1707501,,8,4,,1500
15,Red-Velvet-Cupcakes-1703203,,12,4,,2400
16,Strawberry-Dessert-1709754,,5,4,,1500
17,Vegan-Chunky-Monkey-Ice-Cream-Bars-1707563,25200.0,7,3,1800.0,27000
18,Lemon_-Thyme_-and-Goat-Cheese-Icebox-Cake-1709674,,8,8,1800.0,1800
19,Boston-Cream-Brownie-Parfait-1704550,,8,4,,2700
20,Chocolate-Banana-Nut-Crunch-Cupcakes-1694224,,21,24,,4200
21,Vanilla-Bean-Frozen-Yogurt-1705988,,5,2,,3000
22,Toasted-S_more-Truffle-Pops---recipe-and-video-1706374,,10,4,,3000
23,Fresh-Raspberry-French-Silk-Pie-1705411,900.0,11,8,3600.0,4500
24,Russian-Honey-Cake-1702026,,11,4,,4200
25,Brazilian-Fudge-Balls-_Brigadieros_-1705650,,5,16,,3600
26,Pear-And-Ginger-Compote-1703922,,7,2,,2400
27,No-Bake-Peanut-Butter-Cup-Cookies-1705101,,5,15,,3600
28,Milky-Way-Magic-Bars-1697584,,4,4,,2100
29,Blueberry-Yum-Yum-1678375,300.0,7,11,1500.0,1800
30,Almond-Chia-Pudding-1582017,,7,4,,2700
31,Vanilla-Panna-Cotta-1686917,,6,6,,2700
32,Cherry-Ice-Cream-1710154,,4,4,,1800
33,Peach-Blueberry-Cobbler-1709883,,11,7,,3300
34,July-4th-Yogurt-Bark-1701879,,4,9,600.0,600
35,Old-Fashioned-Brownies-1685319,2100.0,10,24,1200.0,3300
36,_copy-cat_-Baskin-Robbins-Daiquiri-Ice-1694487,,6,8,,3900
37,Chocolate-Coconut-Cracker-Toffee-1631283,1200.0,6,40,600.0,1800
38,Sticky-Toffee-Pudding-1699995,,1,6,,3600
39,Easy-Coconut-Cream-Pie-1250541,,6,8,15300.0,15300
40,Lemon-Donuts-1662994,,7,4,,1500
41,Healthy_-Non-Fat_-Low-Calorie-Blackberry-Mousse-with-Blackberries-and-Blackberry-Syrup-1702379,,6,4,,2100
42,Yum-Yum-Brownie-Muffins-1710615,,3,12,,2400
43,Mango-Ice-Cream-1700863,,5,6,600.0,600
44,Blueberry-Nice-Cream-with-Chocolate-Date-Sauce-1709117,,5,2,600.0,600
45,Individual-No-Bake-OREO-Cheesecakes-1711894,,6,6,600.0,600
46,Best-Sponge-Cake-1705756,,7,8,,2400
47,Vegan-Coconut-Lime-Popsicles-1701475,,6,4,,1500
48,Sooji-Ka-Halwa-1711817,1200.0,8,4,,1200
49,Vanilla-Chia-Pudding-1630582,,4,1,,1200
50,Mini-Banana-Pudding-Parfaits-1693692,,8,4,,1800
51,Pizza-Is-Very-Fast-1675977,,5,4,,1500
52,Malteser-Biscuits-1713355,,8,40,,1800
53,Banana-Blondies-1597778,1500.0,12,24,600.0,2100
54,Matcha-Coconut-Lime-Balls-1701325,,5,4,,1200
55,Iced-Bakewell-Tart-Tray-Bake-1706486,,11,15,,3600
56,Chocolate-Billionaires-1621948,,5,42,,2700
57,SugarBaker-1712363,,8,4,,1800
58,Apricot-Preserves-with-Almonds-and-Rose-Syrup-1712553,,5,4,,3000
59,Southern-Peach-Cobbler-1517585,,16,4,,3300
60,Caramel-Fudge-Swirls-1711869,,12,16,,5100
61,Delicious-Ice-Cream-1547790,,6,4,,3000
62,Midnight-Mounds-Bar-Brownies-Gluten-Free-1704085,,10,4,,2100
63,Peanut-butter-fudge-297693,,5,64,,8100
64,4th-of-July-Marshmallow-Pops-1711977,,3,4,,1500
65,Low-Sugar-Iron-Skillet-Apple-Pie-1709406,,6,4,,5100
66,Simple-Rice-Pudding-1710746,,4,4,,2100
67,How-To-Make-A-Super-Simple-Chewy-Sugar-Cookie-1703456,,9,4,,2700
68,Crispy_-Buttery-Chocolate-Chip-Cookie-1698294,540.0,9,36,600.0,1140
69,California-Pizza-Kitchen-Style-Gluten-Free-Butter-Cake-1708877,,16,6,600.0,600
70,Key-Lime-Pie-Popsicles-1689824,28800.0,6,10,600.0,29400
71,Dulde-de-Leche-Churro-Trifle-1708974,900.0,7,8,1200.0,2100
72,VANILLA-BROWNIES-1707900,,10,14,,2700
73,Chocolate-Fondant-1686463,,5,4,,2100
74,Coconut-Lemongrass-Ginger-Popsicles-1710228,,6,10,,2100
75,How-to-Make-Eclairs-1698299,,5,12,,2100
76,Banana-cheesecake_Diet-foods_-1701500,,6,4,,2100
77,Poundcake-and-Strawberries-1712888,7200.0,10,24,,7200
78,Oatmeal-Raisin-Cookies-with-Cinnamon-Chips-1683462,,13,4,,2100
79,Brown-Butter-Cinnamon-Ice-Cream-1709041,,8,4,,5100
80,Cake-with-Cacao-1711748,3000.0,14,8,1200.0,4200
81,Easy-Lemon-Loaf-1699841,,6,4,600.0,7200
82,Cookie-Dough-for-Preggies_-1700099,,7,4,,1800
83,Vanilla-Cinnamon-Chia-Seed-Pudding-1618613,,8,2,,1200
84,Horchata-Ice-Cream-1710245,1500.0,6,4,900.0,2400
85,Cookies-And-Cream-Ice-Cream-1712069,,8,4,,1800
86,Strawberry-Fool-1699204,1800.0,4,4,,1800
87,Cookie-Dough-Truffle-Pops-1695862,,10,4,,3300
88,Dark-Chocolate-Walnut-Doughnuts-1684422,720.0,8,4,,720
89,Double-Chocolate-Chip-Oreo-Cake-Mix-Cookies-1700485,600.0,7,12,600.0,1200
90,Leftover-Chocolate-Mousse-1683154,,5,4,900.0,900
91,Mayonnaise-1594803,,4,4,300.0,300
92,Honeydew-Coconut-Lime-Popsicle-1698994,,7,4,,900
93,Homestyle-Banana-Pudding-1685493,,9,8,,2700
94,Mango-Pudding-1688016,,8,10,,2700
95,Blueberry-Popsicles-with-Purple-Sweet-Potato-1712910,7200.0,6,8,1200.0,8400
96,NUTELLA-COOKIES-3-INGREDIENTS-1697977,,3,4,,1800
97,Homemade-Strawberry-Ice-Cream-1712290,,7,4,,3600
98,Profiteroles-Custard-Pastries-1682008,,7,4,,3000
99,Big-Mac-Cake-1705354,900.0,8,12,900.0,1800
100,Perfect-Sugar-Free-Chocolate-Cake-1707164,1200.0,9,20,300.0,1500
