,id,rating,recipeName,sourceDisplayName
0,Easy_-No-Bake_-Mud-Pie-1708171,4,"Easy, No Bake, Mud Pie",Ann's Entitled Life
1,Tita_s-Fruit-Dessert-_SundaySupper-1706994,4,Tita's Fruit Dessert #SundaySupper,Basic N Delicious
2,No-Bake-Oreo-Cheesecake-1710284,3,No Bake Oreo Cheesecake,Cook and Share
3,Healthy-Lemon-Cheesecake-Popsicles-1711828,4,Healthy Lemon Cheesecake Popsicles,Happy Healthy Motivated
4,Kiwi-Limeade-Popsicles-1712364,4,Kiwi Limeade Popsicles,Tried and Tasty
5,Homemade-Fudgy-Brownies-1710405,4,Homemade Fudgy Brownies,The Unlikely Baker
6,Lemonade-Pie-with-Sugar-Cone-Crust-_SundaySupper-1707639,4,Lemonade Pie with Sugar Cone Crust #SundaySupper,Dizzy Busy and Hungry
7,Coconut-Cheesecake-Stuffed-Strawberries-1709515,4,Coconut Cheesecake Stuffed Strawberries,The Bewitchin' Kitchen
8,Brigadeiro-Ice-Cream-1708526,4,Brigadeiro Ice Cream,Olivia's Cuisine
9,Banana-Ice-Cream-1711273,4,Banana Ice Cream,Eat Yourself Green
10,No-Bake-Cheesecake-Balls-1710460,4,No-Bake Cheesecake Balls,For the Love of Crust
11,5-Minute-Super-Simple-Oreo-Ice-Cream-Sundae-1709260,4,5 Minute Super Simple Oreo Ice Cream Sundae,Recipe This
12,Hemp-Protein-Brownies-1708308,4,Hemp Protein Brownies,Frugal Farm Wife
13,Toasted-S_mores-Bar-1710731,4,Toasted S'mores Bar,The Brooklyn Cook
14,Homemade-Chocolate-Ice-Cream-Cake-In-The-Ice-Cream-Maker-1708063,4,Homemade Chocolate Ice Cream Cake In The Ice Cream Maker,Recipe This
15,Chocolate-Coconut-Avocado-Ice-Cream-1708025,4,Chocolate Coconut Avocado Ice Cream,Running to the Kitchen
16,Vegan-5-Minute-Chocolate-Coconut-Balls-1708265,4,Vegan 5 Minute Chocolate Coconut Balls,Avocado Pesto
17,Hot-Fudge-Cake-1710791,4,Hot Fudge Cake,Southern Bite
18,Mocha-Chocolate-Chip-Icebox-Cake-1709561,4,Mocha Chocolate Chip Icebox Cake,An Affair From The Heart
19,Mini-S_mores-Pull-Aparts-1709377,4,Mini S'mores Pull-Aparts,Simply Stacie
20,Mango-Vanilla-Popsicle_-1710643,4,Mango Vanilla Popsicle.,Easy Baby Meals
21,Strawberry-Goat-Cheese-Tart-1708349,4,Strawberry Goat Cheese Tart,The Life Jolie Blog
22,Peach-Melba-Homemade-Pops-1709193,4,Peach Melba Homemade Pops,The Seasoned Mom
23,Peanut-Butter-Bite-Size-Cookies-1712215,4,Peanut Butter Bite Size Cookies,Cooking Classy
24,Perfect-Chocolate-Chip-Cookies-1688970,3,Perfect Chocolate Chip Cookies,The Guardian
25,Coconut-Caramel-Poke-Cake-1711514,4,Coconut Caramel Poke Cake,Spend with Pennies
26,Coffee-Chocolate-Ripple-Ice-Cream-1708597,4,Coffee Chocolate Ripple Ice Cream,An Italian in my Kitchen
27,Apple-Pie-Crescents-768343,4,Apple Pie Crescents,
28,Mini-French-Silk-Crescent-Pies-768334,4,Mini French Silk Crescent Pies,
29,Mysore-Pak-1712552,3,Mysore Pak,Plattershare
30,Nutella-Brownies-1709274,4,Nutella Brownies,Baked by an Introvert
31,Two-Two-Easy-Peach-Cobbler-1663197,4,Two Two Easy Peach Cobbler,TGIF - This Grandma Is Fun
32,Chocolate-Lava-Cake-1680149,4,Chocolate Lava Cake,AlloverUnique
33,Classic-Peanut-Butter-Cookies-1708448,3,Classic Peanut Butter Cookies,Better Homes and Gardens
34,Cream-Cheese-Frosting-760169,4,Cream Cheese Frosting,
35,Chocolate-Raspberry-Crescent-Ring-768353,4,Chocolate Raspberry Crescent Ring,
36,Healthy-Chocolate-Chia-Pudding-1708328,4,Healthy Chocolate Chia Pudding,Divas Run For Bling
37,Paleo-Peppermint-Patties-1708306,4,Paleo Peppermint Patties,Frugal Farm Wife
38,Strawberry-Pink-Velvet-Gooey-Bars-1709652,4,Strawberry Pink Velvet Gooey Bars,The New York Melrose Family
39,Patriotic-Ice-Cream-Cones-1707745,4,Patriotic Ice Cream Cones,Family Around The Table
40,Super-Easy-Strawberry-Banana-Pie-1708300,4,Super Easy Strawberry-Banana Pie,Frugal Farm Wife
41,Key-Lime-Coconut-Sheet-Cake-1709994,4,Key Lime Coconut Sheet Cake,Southern Plate
42,How-To-Make-Easy-Dessert-With-Berries-White-Chocolate-1708187,4,How To Make Easy Dessert With Berries White Chocolate,Recipes For Our Daily Bread
43,No-Churn-Dairy-Free-Strawberry-Banana-Ice-Cream-1709267,4,No Churn Dairy Free Strawberry Banana Ice Cream,Art From My Table
44,Roasted-Blueberry_-Coconut-and-Lime-Popsicles-1708210,4,"Roasted Blueberry, Coconut and Lime Popsicles",Delicious Knowledge
45,Nutella-Brownies-1709548,4,Nutella Brownies,Just So Tasty
46,Campfire-Brownies-1710554,4,Campfire Brownies,Vegetarian Mamma
47,Microwave-Lemon-Curd-1709139,4,Microwave Lemon Curd,Every Nook and Cranny
48,Quick-Crescent-Pecan-Pie-Bars-768349,4,Quick Crescent Pecan Pie Bars,
49,Snickerdoodle-Cookies-1693289,4,Snickerdoodle Cookies,Stuck on Sweet
50,Perfect-Pound-Cake-1711708,4,Perfect Pound Cake,The Hill Hangout
51,Lightened-Up-Coconut-Peanut-Butter-No-Bake-Cookies-1710324,4,Lightened Up Coconut Peanut Butter No Bake Cookies,A Kitchen Addiction
52,Patriotic-Red_-White-and-Blue-Mousse-Parfait-1708241,4,"Patriotic Red, White and Blue Mousse Parfait",The Jenny Evolution
53,Dutch-Honey-Syrup-_Homemade-Syrup_-1704623,4,Dutch Honey Syrup (Homemade Syrup),Savory Experiments
54,Whipping-Cream-Pound-Cake-760177,4,Whipping Cream Pound Cake,
55,Brown-Sugar-Grilled-Pineapple-1708540,3,Brown Sugar Grilled Pineapple,Dinner Then Dessert
56,PB_J-Cookies-1711975,4,PB&J Cookies,Bakes By Ranchcookie
57,Chocolate-Filled-Crescents-768342,4,Chocolate-Filled Crescents,
58,Strawberries-and-Cream-Cupcakes-1709823,4,Strawberries and Cream Cupcakes,Create Bake Make
59,4th-of-July-Spiral-Cookies-1710385,4,4th of July Spiral Cookies,Crazy For Crust
60,S_mores-Seven-Layer-Bars-1641551,4,S'mores Seven Layer Bars,A Kitchen Addiction
61,Chocolate-Oatmeal-No-Bake-Cookies-1710771,4,Chocolate Oatmeal No Bake Cookies,All She Cooks
62,Caramel-Apple-Cupcakes-1709317,4,Caramel Apple Cupcakes,Thinking Outside The Sandbox: Family
63,Cool-Mint-Cookie-Chip-Ice-Cream-1709299,4,Cool Mint Cookie Chip Ice Cream,Garlic And Zest
64,Raw-Chocolate-Avocado-Pudding-1711187,4,Raw Chocolate Avocado Pudding,The Whole Food Vegan
65,Best-Big_-Fat-Chewy-Chocolate-Chip-Cookie-1690630,4,"Best Big, Fat Chewy Chocolate Chip Cookie",The Cake Chica
66,Homemade-Whipped-Cream-1690580,4,Homemade Whipped Cream,The Cake Chica
67,Coffee-Nutella-Ice-Cream-with-Nutella-Brownie-Bits-_No-Churn_-1711484,4,Coffee Nutella Ice Cream with Nutella Brownie Bits (No Churn),Baked by an Introvert
68,Fluffy-Cheesecake-1704581,3,Fluffy Cheesecake,Kraft
69,Milk-Chocolate-Maple-Bacon-Cookies-1709462,4,Milk Chocolate Maple Bacon Cookies,The Foodie Affair
70,Coconut-Kiwi-Ice-Cream-1712752,4,Coconut Kiwi Ice Cream,Trial And Eater
71,Coconut-Cookies-Using-Nutiva-Organic-Virgin-Coconut-Oil-1713074,3,Coconut Cookies Using Nutiva Organic Virgin Coconut Oil,Plattershare
72,Red_-White-and-Blue-Firecracker-Cupcakes-1711403,4,"Red, White and Blue Firecracker Cupcakes",Scrappy Geek
73,No-Churn-Sweet-Corn-Butterscotch-Ice-Cream-1708167,4,No Churn Sweet Corn Butterscotch Ice Cream,Kudos Kitchen By Renee
74,The-Best-Ultimate-Chocolate-Chip-Cookies-1630008,4,The Best Ultimate Chocolate Chip Cookies,The Domestic Rebel
75,Peanut-Butter-Cup-Cookies-1710587,4,Peanut Butter Cup Cookies,Trial And Eater
76,FLOURLESS-PEANUT-BUTTER-COOKIES-1702086,4,FLOURLESS PEANUT BUTTER COOKIES,A Reinvented Mom
77,Classic-Pound-Cake-1688967,3,Classic Pound Cake,Real Simple
78,Strawberry-Blueberry-Crumb-Bars-1704105,4,Strawberry Blueberry Crumb Bars,A Kitchen Addiction
79,Layered-Salted-Caramel-Bars-768359,4,Layered Salted Caramel Bars,
80,Roasted-Strawberry-Rhubarb-Popsicles-1707279,4,Roasted Strawberry Rhubarb Popsicles,Annie's Eats
81,Best-Cheesecake-EVER_-1711183,4,Best Cheesecake EVER!,My Pinning Obsession
82,Orange-Dream-Cake-1706988,4,Orange Dream Cake,My Three Monsters
83,Patriotic-Funfetti-Sugar-Cookies-1708057,4,Patriotic Funfetti Sugar Cookies,Rachel Cooks
84,Yogurt-and-Blackberry-Crumble-Bars-681836,4,Yogurt and Blackberry Crumble Bars,
85,Chocolate-Brownies-1695985,4,Chocolate Brownies,Bunny's Warm Oven
86,Chocolate-peanut-butter-banana-frozen-yogurt-pops-_FoodieMamas-1704490,4,Chocolate peanut butter banana frozen yogurt pops #FoodieMamas,Rhubarbians
87,Cream-Cheese-Frosting-1694356,4,Cream Cheese Frosting,Num's the Word
88,Apple-Cranberry-Crisp-760984,4,Apple-Cranberry Crisp,
89,Cheesecake-Pudding-Pops-1709466,4,Cheesecake Pudding Pops,About a Mom
90,Lemon-Meringue-Yogurt-Cup-681841,4,Lemon Meringue Yogurt Cup,
91,Easy-Peach-Frozen-Yogurt-1708588,4,Easy Peach Frozen Yogurt,That's What Che Said
92,Lemon-Meringue-Pie-Bars-1700496,4,Lemon Meringue Pie Bars,Fake Ginger
93,Strawberries-And-Cream-Popsicles-1711444,4,Strawberries And Cream Popsicles,How does your garden grow
94,Chocolate-Peanut-Butter-Banana-Cups-1711965,4,Chocolate Peanut Butter Banana Cups,Bakes By Ranchcookie
95,Chocolate-Chess-Pie-1703120,4,Chocolate Chess Pie,Gooseberry Patch
96,Apple-Crisp-1709052,4,Apple Crisp,Livin Paleo
