,id,rating,recipeName,sourceDisplayName
0,Lemonade-Popsicles-1682120,3,Lemonade Popsicles,Beachbody
1,Best-Peanut-Butter-Buttercream-Frosting-1682977,4,Best Peanut Butter Buttercream Frosting,Two Sisters Crafting
2,Omega-Chocolate-Bars-1695745,4,Omega Chocolate Bars,A Healthy Life For Me
3,Greek-Yogurt-Truffles-1693365,4,Greek Yogurt Truffles,Dessert for Two
4,Pralines-and-Cream-Ice-Cream-1703720,4,Pralines and Cream Ice Cream,I Wash You Dry
5,Apple-Pie-Cookies-1697246,4,Apple Pie Cookies,Vegan in the Freezer
6,4th-of-July-Ice-Pops-1709323,4,4th of July Ice Pops,Gluten-Free on a Shoestring
7,Clotted-Cream-Ice-Cream-1709543,4,Clotted Cream Ice Cream,Rock Recipes
8,Coffee-Creme-Brulee-1701123,3,Coffee Crème Brulee,Asian Food Channel
9,Peanut-Butter-Stuffed-Brownies-1580185,4,Peanut Butter Stuffed Brownies,"Dinners, Dishes and Desserts"
10,Ice-Cream-Maker-Easy-Lemon-Sorbet-1712698,4,Ice Cream Maker Easy Lemon Sorbet,Recipe This
11,Red_-White-and-Blueberry-Shortcakes-1710485,4,"Red, White and Blueberry Shortcakes",Lively Table
12,Layered-Butterscotch-Delight-1702272,4,Layered Butterscotch Delight,Cookie Madness
13,Cheesecakes-In-The-Oven-1712470,4,Cheesecakes In The Oven,Good food. Best Recipes
14,Crushed-Oreo-Triangles-1704625,4,Crushed Oreo Triangles,Winstead Wandering
15,Chocolate-Meringue-1701754,4,Chocolate Meringue,Good food. Best Recipes
16,Nutella-Peanut-Butter-Fudge-1707738,4,Nutella Peanut Butter Fudge,Body Rebooted
17,Youve-_Really_-Never-Eaten-Apple-Pie-Like-This-Before-1709210,4,You’ve (Really) Never Eaten Apple Pie Like This Before,Brit + Co.
18,Homemade-Paleo-Chocolate-1712090,3,Homemade Paleo Chocolate,The Mommypotamus
19,Easy-No-Churn-Oreo-Ice-Cream-1689733,4,Easy No-Churn Oreo Ice Cream,Southern Bite
20,Pralines-and-Cream-Ice-Cream-1704889,4,Pralines and Cream Ice Cream,I Wash You Dry
21,Churros-1598906,4,Churros,Fortune Goodies
22,Thin-Mint-Frosting-1708769,4,Thin Mint Frosting,Wine and Glue
23,Iced-Coffee-Pops-1711522,4,Iced Coffee Pops,Deliciously Sprinkled
24,Copycat-Wendy_s-Frosty-1695928,4,Copycat Wendy's Frosty,A baJillian Recipes
25,_Better-Than-Starbucks_-Glazed-Lemon-Cake-1712765,4,(Better Than Starbucks) Glazed Lemon Cake,Joyous Home
26,Black-Forest-Trifle-1700374,4,Black Forest Trifle,The Novice Chef
27,Ultimate-Bakery-Style-Rice-Krispies-Treats-1632488,4,Ultimate Bakery-Style Rice Krispies Treats,Brown Eyed Baker
28,Apple-Pie-Chimichangas-1701509,3,Apple Pie Chimichangas,Better Homes and Gardens
29,Strawberry-Cookies-1701901,4,Strawberry Cookies,Food Lovin Family
30,The-BEST-Cream-Cheese-Frosting-1583689,4,The BEST Cream Cheese Frosting,Wine and Glue
31,_No-Fry_-Apple-Pies-1710597,3,"""No-Fry"" Apple Pies",Cooking Channel
32,Red-White-and-Blue-Fudge-1712640,4,Red White and Blue Fudge,Wine and Glue
33,Brownie-Batter-Hummus-1679710,4,Brownie Batter Hummus,My Whole Food Life
34,Peanut-M_Ms-Cookies-1685901,4,Peanut M&M’s® Cookies,Living The Gourmet
35,Cookies-_-Cream-Cereal-Treats-1707233,4,Cookies & Cream Cereal Treats,Bitz and Giggles
36,The-Best-Vanilla-Buttercream-Frosting-Ive-Ever-Made-1709115,4,The Best Vanilla Buttercream Frosting I’ve Ever Made,Life in Lape Haven
37,Frozen-Yogurt-Covered-Strawberries-_-Little-People-Food-1679795,4,Frozen Yogurt Covered Strawberries ~ Little People Food,Cooking Curries
38,No-Bake-Key-Lime-Pie-1631497,4,No Bake Key Lime Pie,Caveman Diet Blog
39,Chatelaine-1711067,3,Chatelaine,Chatelaine
40,Chatelaine-1711065,3,Chatelaine,Chatelaine
41,Quaker_s-Best-Oatmeal-Cookies-760968,4,Quaker's Best Oatmeal Cookies,
42,Mangonada-Popsicles-1713329,4,Mangonada Popsicles,The Other Side Of Tortilla
43,Coconut-Fudge-1712157,3,Coconut Fudge,The Mommypotamus
44,Lemon-Almond-Shortbread-Cookies-_LC-_-GF_-1705977,4,Lemon Almond Shortbread Cookies (LC & GF),I Breathe... I'm Hungry...
45,Strawberry-Lemon-Cheesecake-Bars-1708871,4,Strawberry Lemon Cheesecake Bars,Closet Cooking
46,Lemon-Bars-1619530,4,Lemon Bars,Add a Pinch
47,Cherry-Ice-Cream-1704320,4,Cherry Ice Cream,Growing Up Gabel
48,Baby-Banana-Cookies-1709654,4,Baby Banana Cookies,Family Food on the Table
49,Fresh-Figs-With-Goat-Cheese_-Pistachios-And-Honey-1712165,3,"Fresh Figs With Goat Cheese, Pistachios And Honey",The Mommypotamus
50,Blueberry-Cobbler-1683957,4,Blueberry Cobbler,Ann's Entitled Life
51,Easy-Homemade-Chocolate-Fudge-1701908,4,Easy Homemade Chocolate Fudge,That Recipe
52,Chocolate-Chip-Almond-Flour-Skillet-Cookie-_Gluten-Free_-1711804,4,Chocolate Chip Almond Flour Skillet Cookie (Gluten-Free),A Couple Cooks
53,Cream-Cheese-Peanut-Butter-Fudge-1696997,4,Cream Cheese Peanut Butter Fudge,Low Carb Yum
54,Chocolate-Coconut-Crunch-1686879,4,Chocolate Coconut Crunch,Kitchen Sanctuary
