,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Greek-Pasta-Salad-1712241,,7,4,,2400
1,Caprese-Salad-Recipe-With-Tomatoes_-Basil-And-Mozarella-1710947,,7,4,,900
2,Grandmas-Cucumber-Salad-1710308,,9,8,,1500
3,Caprese-Salad-with-Warm-Bacon-Dressing-1709706,,7,4,,1200
4,Fresh-Mozzarella-Summer-Salad-1709461,,6,1,120.0,120
5,Cucumber-Caprese-Salad-1710368,,10,4,600.0,1200
6,BLT-Salad-with-Buttermilk-Dressing-1710759,,7,4,,900
7,Cucumber-Salad-with-Toasted-Rice-Powder-1711556,,5,6,900.0,900
8,Italian-Blue-Salad-with-Apricot-Dressing-1712211,,8,5,600.0,600
9,Easy-Greek-Farro-Salad-1708513,900.0,11,6,600.0,1500
10,Black-Bean-Salad-1693176,,5,8,300.0,7500
11,Thai-Cucumber-Salad-1691188,,7,4,,2400
12,Greek-Yogurt-Coleslaw-1711053,,6,4,,2100
13,Avocado-and-Three-Bean-Salad-1689134,,13,8,,3000
14,Strawberry-Caprese-Stuffed-Avocados-with-Pistachio-Pesto-1710895,,6,4,600.0,600
15,AVOCADO-AND-TOMATO-SALAD-1680212,,7,6,,1200
16,Caprese-Zucchini-Noodle-Pasta-Salad-1710303,,10,8,900.0,900
17,Creamy-Cajun-Cucumber-Salad-1710996,,7,4,1200.0,1200
18,Kale-Salad-with-Strawberry-Vinaigrette-featuring-Freschetta-Pizza-1709155,,11,4,,1200
19,Spicy-Bow-Tie-Salad-636537,,7,4,,1200
20,Freekeh-Lentil-Salad-with-Chickpeas-and-California-Avocado-1708130,,14,8,,1500
21,Berry-Watermelon-Fruit-Salad-1678977,,7,5,600.0,600
22,Taco-Salad-with-Spicy-Ranch-Dressing-1710761,,20,4,,1500
23,Macaroni-Salad-1708197,,11,4,,2100
24,Korean-Spinach-Salad-Recipe-_Sigumchi-Namul_-1708717,300.0,8,4,,300
25,Mediterranean-Pearled-Couscous-Salad-1706809,1200.0,15,4,600.0,1800
26,Rainbow-Chicken-Quinoa-Salad-1710352,1800.0,11,4,600.0,2400
27,Broccoli-Salad-1709687,,8,6,900.0,900
28,Peanut-Noodle-Salad-636720,,7,4,,1800
29,Creamy-Orange-Salad-Dressing-_dairy-free_-vegan_-oil-free_-1710713,,6,1,,900
30,Best-Ever-Potato-Salad-1711446,,10,7,0.0,3600
31,Avocado-Dressing-1706860,,6,8,600.0,600
32,Healthiest-Greek-Salad-1711727,,12,6,,900
33,Best-Detox-Grilled-Chopped-Salad-1710647,,9,5,,2100
34,Copycat-Chick-fil-A-Coleslaw-1693601,,6,4,,1800
35,Corn-Salad-1693958,,5,6,,900
36,Chunky-Greek-Salad-1709766,,6,2,,900
37,Avocado-Cucumber-Salad-1624894,,6,4,,1200
38,Bacon-and-Blue-Broccoli-Salad-1708453,,8,4,1200.0,1200
39,Cucumber-and-Tomato-Salad-1634135,,7,4,,900
40,Homemade-Buttermilk-Blue-Cheese-Dressing-1703147,,9,1,300.0,300
41,Caprese-Pasta-Salad-1679854,,9,9,,900
42,Sesame-Carrot-and-Cucumber-Slaw-1703292,,10,4,900.0,900
43,Hot-Watermelon-Salad-1708605,,6,4,,1500
44,Kale-Bistro-Salad-1709464,,6,4,,2100
45,Crunchy-Detox-Salad-1677818,,13,4,,1500
46,Alice-Waterss-Grapefruit-and-Avocado-Salad-1708093,900.0,7,4,,900
47,Summertime-Caprese-Green-Bean-Salad-1709063,,10,6,,2700
48,Caprese-Salad-with-Balsamic-Glaze-1711180,,8,4,,1800
49,Creamy-Cucumber-Salad-1697480,,6,5,900.0,900
50,Homemade-Coleslaw-1627275,,5,4,,2400
51,Grilled-Chicken-Thai-Salad-1713245,,16,2,,2100
52,Lemon-Potato-Salad-With-Mint-1707353,2700.0,7,8,,2700
53,China-Coast-Salad-Dressing-1707134,,6,8,600.0,1200
54,Sweet-and-Savory-Cabbage-Apple-Slaw-1709956,,9,8,,1500
55,Honey-Lime-Sweetened-Fruit-Salad-1697348,,8,8,,900
56,Italian-Prosciutto-Potato-Salad-1708424,,13,7,,2100
57,Cold-Curried-Rice-and-Shrimp-Salad-1707241,,12,4,,3600
58,Cranberry-Zucchini-Slaw-1710579,,8,4,600.0,600
59,Strawberry-and-Spinach-Salad-with-Balsamic-1704808,720.0,9,4,600.0,1320
