,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Apple-Coleslaw-1680966,,8,4,,1200
1,Watermelon-Salad-with-Mint-and-Feta-1668127,,5,4,600.0,600
2,Sweet-Kale-Salad-1693185,,15,4,,1200
3,Vegan-Texas-Caviar-1707874,,19,4,,1500
4,Kale-and-Broccoli-Salad-with-Poppyseed-Dressing-1705418,,13,8,600.0,600
5,Broccoli-Apple-Salad-1708387,,12,4,,1500
6,Kale-Superfood-Salad-with-Quinoa-and-Blueberries-1709347,,13,4,,2100
7,Fresh-_-Crisp-Jicama-Mango-Salad-1709442,,8,6,,1500
8,Gluten-Free-Chipotle-Shrimp-Salad-1701280,,7,2,600.0,600
9,Lemon-Dijon-Vinaigrette-1564746,,9,2,,1200
10,Easy-Homemade-Buttermilk-Coleslaw-1703310,,7,4,300.0,300
11,Bistro-Carrot-Salad-1685497,,7,6,,1200
12,Carrot-Ginger-Salad-Dressing-1683553,,6,2,600.0,600
13,White-and-Black-Bean-Salad-1681772,,9,6,,1200
14,4-Ingredient-Chickpea-Salad-1708777,,6,4,,1500
15,Balsamic-Vinegar-Tomato-Salad-590226,,7,4,,1200
16,BURRATA-WITH-STONEFRUIT-_-CHILI-_-MINT-1709310,,9,4,,900
17,Classic-Memphis-Style-Coleslaw-1422683,600.0,10,4,600.0,1200
18,Tangy-Green-Bean-Ciliegine-Salad-1703087,900.0,14,4,900.0,1800
19,Not-Your-Mama_s-Potato-Salad-1663181,,9,4,,1800
20,Kale-Salad-with-Grapefruit-and-Blueberries-1698922,,9,3,,1500
21,Broccoli-Crunch-Salad-1615842,,8,4,,1800
22,Lemon-Garlic-Kale-Salad-1574187,,7,10,,3300
23,French-Bistro-Vinaigrette-1702550,,7,4,,600
24,Crunchy-Summer-Salad-1710880,,8,4,1200.0,1200
25,Greek-Orzo-Salad-1712970,1200.0,13,4,900.0,2100
26,Mediterranean-Couscous-Salad-1704139,,11,12,,1800
27,Strawberry-Cucumber-Salad-with-Feta-and-Mint-1701922,,9,4,600.0,600
28,Parmesan-Basil-Quinoa-Salad-1709046,,9,4,,3300
29,Southern-Macaroni-Salad-1700696,,11,6,600.0,600
30,Caramelized-Pear_-Pecan_-Gorgonzola-Noodle-Salad-1713062,420.0,12,4,1200.0,1620
31,Frito-Corn-Salad-1641547,,7,4,,1200
32,Cucumber-Watermelon-Salad-1703250,,10,4,,2700
33,Grilled-Melon-and-Cucumber-Salad-1710589,600.0,10,6,600.0,1200
34,Pecan-Grilled-Chicken-Tender-Salad-1697501,,8,2,300.0,300
35,Arugula-_-Roasted-Pepper-Salad-1531650,,4,6,,900
36,Make-Ahead-Creamy-Cucumber-Salad-1366177,,7,4,,2100
37,Kale_-Avocado-_-Raspberry-Salad-1703586,,9,6,720.0,720
38,Spinach-Strawberry-Feta-Salad-1663275,,7,7,900.0,900
39,Carrot_-Cabbage-and-Walnut-Coleslaw-1712832,,12,4,,900
40,Arugula-Parmesan-Salad-with-Simple-Lemon-Vinaigrette-895995,,7,4,600.0,600
41,Easy-Homemade-Italian-Dressing-1691283,,8,1,600.0,600
42,Quinoa_-Kale-and-Chickpea-Salad-1703237,900.0,13,9,600.0,1500
43,Healthy-Edamame-Salad-1197339,,7,5,300.0,300
44,Lime-And-Ginger-Salad-Dressing-1567672,,4,3,600.0,600
45,Supermodel-Superfood-Salad-1612806,,6,6,,1200
46,Cilantro-Lemon-Vinaigrette-1680168,,8,1,300.0,300
47,Southern-Potato-Salad-1628712,,8,4,,2400
48,Green-Goddess-Dressing-1689447,900.0,12,1,,900
49,Strawberry-Feta-Salad-with-Balsamic-Vinaigrette-1697742,,15,4,,1500
50,Green-Beans-Salad-1711664,,8,4,,2100
51,Lemon-Basil-Buttermilk-Dressing-1697565,,10,2,,1500
52,Salmon-Rice-Salad-1708600,,9,4,,2700
53,Penne-Pasta-Salad-with-Shrimp-Chili-_-Lime-1707129,600.0,10,6,900.0,1500
54,Endive-Salad-Cups-for-Pizza-Night-1701703,,9,4,300.0,300
55,Potato-_-Cucumber-Salad-w_-Yogurt-Dill-Dressing-1711083,,9,4,,2400
56,Chicken-Fajita-Layered-Salad-1694369,900.0,16,8,900.0,1800
57,Black-Bean-and-Rice-Salad-1680451,,7,6,,900
58,Chickpea-Salad-with-Vegan-Pesto-Recipe-_gluten-free_-1689610,,7,6,,1200
59,Skinny-Cauliflower-Salad-1693255,,10,4,,3300
60,How-to-Make-Balsamic-Vinaigrette-1703996,,8,4,300.0,300
61,Grilled-Vegetable-Salad-with-Heirloom-Tomatoes-and-Grilled-Croutons-1711868,720.0,14,5,900.0,1620
62,High-Protein-Cilantro-Lime-Quinoa-Salad-1681775,,9,4,,1500
63,Honey-Greek-Salad-Dressing-1698483,300.0,12,1,300.0,600
64,Healthy-Summer-Broccoli-Salad-1712755,,12,6,,1500
65,Heirloom-Tomato-Salad-1708989,,9,6,900.0,900
66,Watermelon-Feta-Salad-1666876,,5,4,,1200
67,Egg-and-Olive-Salad-1566268,,6,4,,1200
68,Grilled-Mediterranean-Salad-1711516,,17,2,,1800
69,Blue-Cheese-Dressing-1623475,,8,1,300.0,300
70,Pickleback-Slaw-1699384,1200.0,11,7,,1200
71,Classic-Leeks-Vinaigrette-1709241,1800.0,10,4,,1800
72,Zucchini-Buffalo-Chicken-Salad-1710531,,9,4,,1200
73,Stacked-Beet-Salad-with-Feta-Cheese-1703674,,5,4,,4500
74,Homemade-Ranch-Dressing-1712080,,17,2,,2100
75,Honey-Lemon-Dressing-1283078,,5,4,300.0,300
76,Dinosaur-Kale-Salad-1682965,,11,4,,2100
77,Grilled-Potato-Salad-with-Creme-Fraiche-Grainy-Mustard-Dressing-1709385,1200.0,8,5,900.0,2100
78,Panzanella-1585159,1080.0,11,7,3000.0,4080
79,Summer-Three-Bean-Salad-Recipe-and-BIG-NEWS-1712958,,12,5,,1800
80,Warm-Corn-Salad-1687529,900.0,6,4,300.0,1200
81,CLASSIC-CREAMY-COLESLAW-1627060,7200.0,7,9,300.0,7500
82,Dilled-Cucumber-and-Tomato-Salad-1693452,,7,4,900.0,4500
83,Simple-Low-Carb-Mediterranean-Summer-Salad-1706633,,6,4,,900
84,Zucchini-Tomato-Basil-Salad-with-Lemon-Basil-Vinaigrette-1712212,,12,4,,2100
85,Carrot-_-Fennel-Salad-with-Dijon-Dill-Vinaigrette-1596969,,16,4,1200.0,1200
