,id,rating,recipeName,sourceDisplayName
0,Greek-Pasta-Salad-1712241,4,Greek Pasta Salad,Live Serendipity
1,Caprese-Salad-Recipe-With-Tomatoes_-Basil-And-Mozarella-1710947,4,"Caprese Salad Recipe With Tomatoes, Basil And Mozarella",Melanie Cooks
2,Grandmas-Cucumber-Salad-1710308,4,Grandma’s Cucumber Salad,Chin Deep
3,Caprese-Salad-with-Warm-Bacon-Dressing-1709706,4,Caprese Salad with Warm Bacon Dressing,Fake Ginger
4,Fresh-Mozzarella-Summer-Salad-1709461,4,Fresh Mozzarella Summer Salad,The Clean Eating Couple
5,Cucumber-Caprese-Salad-1710368,4,Cucumber Caprese Salad,Ann's Entitled Life
6,BLT-Salad-with-Buttermilk-Dressing-1710759,4,BLT Salad with Buttermilk Dressing,Lynn's Kitchen Adventures
7,Cucumber-Salad-with-Toasted-Rice-Powder-1711556,4,Cucumber Salad with Toasted Rice Powder,Platings and Pairings
8,Italian-Blue-Salad-with-Apricot-Dressing-1712211,4,Italian Blue Salad with Apricot Dressing,Trial And Eater
9,Easy-Greek-Farro-Salad-1708513,4,Easy Greek Farro Salad,Yummy Healthy Easy
10,Black-Bean-Salad-1693176,3,Black Bean Salad,Team Beachbody
11,Thai-Cucumber-Salad-1691188,3,Thai Cucumber Salad,The Candida Diet
12,Greek-Yogurt-Coleslaw-1711053,4,Greek Yogurt Coleslaw,Two Healthy Kitchens
13,Avocado-and-Three-Bean-Salad-1689134,4,Avocado and Three Bean Salad,Noble Pig
14,Strawberry-Caprese-Stuffed-Avocados-with-Pistachio-Pesto-1710895,4,Strawberry Caprese Stuffed Avocados with Pistachio Pesto,Closet Cooking
15,AVOCADO-AND-TOMATO-SALAD-1680212,4,AVOCADO AND TOMATO SALAD,Enjoy cooking
16,Caprese-Zucchini-Noodle-Pasta-Salad-1710303,4,Caprese Zucchini Noodle Pasta Salad,Sugar-Free Mom
17,Creamy-Cajun-Cucumber-Salad-1710996,4,Creamy Cajun Cucumber Salad,Living Well Kitchen
18,Kale-Salad-with-Strawberry-Vinaigrette-featuring-Freschetta-Pizza-1709155,4,Kale Salad with Strawberry Vinaigrette featuring Freschetta Pizza,Living The Gourmet
19,Spicy-Bow-Tie-Salad-636537,4,Spicy Bow Tie Salad,
20,Freekeh-Lentil-Salad-with-Chickpeas-and-California-Avocado-1708130,3,Freekeh Lentil Salad with Chickpeas and California Avocado,Meal Makeover Moms
21,Berry-Watermelon-Fruit-Salad-1678977,4,Berry Watermelon Fruit Salad,Fork Knife Swoon
22,Taco-Salad-with-Spicy-Ranch-Dressing-1710761,4,Taco Salad with Spicy Ranch Dressing,Lynn's Kitchen Adventures
23,Macaroni-Salad-1708197,4,Macaroni Salad,Fake Ginger
24,Korean-Spinach-Salad-Recipe-_Sigumchi-Namul_-1708717,4,Korean Spinach Salad Recipe (Sigumchi Namul),Posh Journal
25,Mediterranean-Pearled-Couscous-Salad-1706809,4,Mediterranean Pearled Couscous Salad,Striped Spatula
26,Rainbow-Chicken-Quinoa-Salad-1710352,3,Rainbow Chicken Quinoa Salad,Emily Kyle Nutrition
27,Broccoli-Salad-1709687,4,Broccoli Salad,Don't Sweat The Recipe
28,Peanut-Noodle-Salad-636720,4,Peanut Noodle Salad,
29,Creamy-Orange-Salad-Dressing-_dairy-free_-vegan_-oil-free_-1710713,4,"Creamy Orange Salad Dressing (dairy-free, vegan, oil-free)",Plant Powered Kitchen
30,Best-Ever-Potato-Salad-1711446,4,Best Ever Potato Salad,Brown Eyed Baker
31,Avocado-Dressing-1706860,3,Avocado Dressing,Team Beachbody
32,Healthiest-Greek-Salad-1711727,4,Healthiest Greek Salad,Enjoy cooking
33,Best-Detox-Grilled-Chopped-Salad-1710647,4,Best Detox Grilled Chopped Salad,Pinch of Yum
34,Copycat-Chick-fil-A-Coleslaw-1693601,4,Copycat Chick-fil-A Coleslaw,My Mommy World
35,Corn-Salad-1693958,4,Corn Salad,Or So She Says
36,Chunky-Greek-Salad-1709766,3,Chunky Greek Salad,BigOven
37,Avocado-Cucumber-Salad-1624894,4,Avocado Cucumber Salad,Ceara's Kitchen
38,Bacon-and-Blue-Broccoli-Salad-1708453,4,Bacon and Blue Broccoli Salad,Southern Bite
39,Cucumber-and-Tomato-Salad-1634135,4,Cucumber and Tomato Salad,Denning Strong
40,Homemade-Buttermilk-Blue-Cheese-Dressing-1703147,4,Homemade Buttermilk Blue Cheese Dressing,The Gracious Wife
41,Caprese-Pasta-Salad-1679854,4,Caprese Pasta Salad,Pip and Ebby
42,Sesame-Carrot-and-Cucumber-Slaw-1703292,4,Sesame Carrot and Cucumber Slaw,Fox and Briar
43,Hot-Watermelon-Salad-1708605,4,Hot Watermelon Salad,Eat Well 101
44,Kale-Bistro-Salad-1709464,4,Kale Bistro Salad,The Kitchn
45,Crunchy-Detox-Salad-1677818,4,Crunchy Detox Salad,The Harvest Kitchen
46,Alice-Waterss-Grapefruit-and-Avocado-Salad-1708093,3,Alice Waters’s Grapefruit and Avocado Salad,New York Times Cooking
