,id,rating,recipeName,sourceDisplayName
0,Cucumber-Chickpea-Salad-with-Balsamic-Tahini-Dressing-1697734,4,Cucumber Chickpea Salad with Balsamic Tahini Dressing,Veggie Inspired
1,Cucumber-Tomato-Salad-1102770,4,Cucumber Tomato Salad,Barefeet In The Kitchen
2,Quinoa-Tabbouleh-Salad-The-Shiksa-Blog-48849,5,Quinoa Tabbouleh Salad,Tori Avey
3,Pasta-Salad-with-Grilled-Vegetables-1702030,4,Pasta Salad with Grilled Vegetables,Enjoy cooking
4,Black-Eyed-Pea-Salad-1697418,4,Black Eyed Pea Salad,Miz Helen's Country Cottage
5,ROASTED-BEET_-PEAR-_-WALNUT-SALAD-1021058,5,"ROASTED BEET, PEAR & WALNUT SALAD",Camille Styles
6,Avocado-Chicken-Salad-1602203,4,Avocado Chicken Salad,Amee's Savory Dish
7,Mango_-Avocado-_-Broccoli-Salad-631697,3,"Mango, Avocado & Broccoli Salad",Young and Raw
8,Citrus-Vinaigrette-1207201,4,Citrus Vinaigrette,Cooking at Sabrina's
9,Cranberry-Walnut-Kale-Salad-1122613,4,Cranberry Walnut Kale Salad,Served From Scratch
10,Homemade-Raspberry-Vinaigrette-Dressing-1232462,4,Homemade Raspberry Vinaigrette Dressing,What's That Smell?
11,Soba-Noodle-Salad-with-Sesame-Ginger-Soy-Vinaigrette-1693227,4,Soba Noodle Salad with Sesame Ginger Soy Vinaigrette,The Lemon Bowl
12,Mango_-Avocado-And-Arugula-Salad-1642493,4,"Mango, Avocado And Arugula Salad",Laylita's Recipes
13,Greek-Salad-1569430,4,Greek Salad,Carrie's Experimental Kitchen
14,Homemade-Avocado-Dressing-1642234,4,Homemade Avocado Dressing,Simplify Life with Mrs. R
15,Strawberry-Poppyseed-Dressing-1626974,4,Strawberry Poppyseed Dressing,Real Housemoms
16,Cilantro-lime-vinaigrette-369670,5,Cilantro Lime Vinaigrette,Real Mom Kitchen
17,Creamy-Healthy-Coleslaw-1103592,4,Creamy Healthy Coleslaw,Lauren Kelly Nutrition
18,Balsamic-berry-quinoa-salad-297835,4,Balsamic Berry Quinoa Salad,Unilever North America
19,KFC-COLESLAW-1687633,4,KFC COLESLAW,Tomato Hero
20,Simple-Skinny-Cucumber-Salad-1565029,4,Simple Skinny Cucumber Salad,Healthy Seasonal Recipes
21,5-Minute-Apple-Cranberry-Salad-1336215,4,5 Minute Apple Cranberry Salad,It Is a Keeper
22,Winner_s-circle-waldorf-salad-296869,4,Winner's Circle Waldorf Salad,Unilever North America
23,No-potato-salad-345554,5,No Potato Salad,Elana's Pantry
24,Garlic-Parmesan-Kale-Salad-992116,4,Garlic Parmesan Kale Salad,Life Between Weekends
25,Greek-Tomato-Salad-1678265,3,Greek Tomato Salad,New York Times Cooking
26,Blood-Orange-and-Rocket-Salad-1641482,4,Blood Orange and Rocket Salad,The Petite Cook
27,Tangled-Thai-Salad-1697601,4,Tangled Thai Salad,Against all Grain
28,Mixed-berry-and-banana-fruit-salad-302239,5,Mixed Berry and Banana Fruit Salad,Simply Recipes
29,Grilled-Chili-Lime-Corn-Salad-1680266,4,Grilled Chili-Lime Corn Salad,Two Healthy Kitchens
