id,rating,bitter,meaty,piquant,salty,sour,sweet,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds,ingredient_list,course
1-Minute-Lentil-Salad-1639395,3,,,,,,,,3,6,60.0,60.0,"[lentils, feta cheese crumbles, sauce]",salad
10-Minute-Thai-Shrimp_-Cucumber-_-Avocado-Salad-1713295,4,0.5,0.166666666667,0.166666666667,0.833333333333,0.166666666667,0.166666666667,,8,2,,2700.0,"[rice vinegar, fish sauce, agave nectar, garlic chili sauce, shrimp, english cucumber, avocado, cilantro]",salad
10-Minute-Tomato-and-Walnut-Salad-1681561,4,,,,,,,,8,4,600.0,600.0,"[extra-virgin olive oil, pomegranate molasses, salt, freshly ground black pepper, tomatoes, walnut halves, flat leaf parsley, ground sumac]",salad
15-Minute-Greek-Cucumber-Salad-1119811,4,0.166666666667,0.166666666667,0.333333333333,0.5,0.333333333333,0.166666666667,,12,4,900.0,900.0,"[red wine vinegar, extra-virgin olive oil, fresh oregano, dijon mustard, salt, freshly ground pepper, cucumber, cherry tomatoes, olives, purple onion, feta cheese, fresh basil]",salad
3-Healthy-Salad-Dressings_-1707545,4,0.166666666667,0.833333333333,0.166666666667,0.5,0.5,0.166666666667,,21,4,,900.0,"[orange juice, dijon mustard, cider vinegar, hemp oil, olive oil, poppy seeds, sea salt, apple cider vinegar, whole grain mustard, honey, oil, garlic, celery ribs, water, lemon juice, wheat, anchovy fillets, dates]",salad
3-Ingredient-Cucumber-Dill-Ribbon-Salad-1624433,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.166666666667,,5,4,,2100.0,"[seedless cucumber, white wine vinegar, fresh dill, salt, pepper]",salad
4-Ingredient-Chickpea-Salad-1708777,4,,,,,,,,6,4,,1500.0,"[chickpeas, extra-virgin olive oil, lemon juice, green onions, salt, pepper]",salad
4-Ingredient-Frito-_Salad_-1641651,4,,,,,,,,4,14,300.0,300.0,"[fritos, mayonnaise, diced celery, canned corn]",salad
4-Ingredient-Tangy-Potato-Salad-1641682,4,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.833333333333,0.166666666667,900.0,4,5,300.0,1200.0,"[potatoes, apple cider vinegar, whole grain dijon mustard, scallions]",salad
5-Bean-Salad-1631701,4,,,,,,,,14,7,,1500.0,"[corn, kidney beans, garbanzo beans, pinto beans, cannellini beans, black-eyed peas, extra-virgin olive oil, purple onion, champagne vinegar, sugar, kosher salt, freshly ground pepper, fresh cilantro, oregano leaves]",salad
5-Ingredient-Corn-Salad-1695247,4,,,,,,,,6,6,300.0,300.0,"[whole kernel corn, salt, purple onion, herbs, black pepper, cherry tomatoes]",salad
5-Ingredient-Tomato_-Cucumber-_-Avocado-Salad-1105548,4,0.333333333333,0.166666666667,0.166666666667,0.166666666667,0.666666666667,0.166666666667,,7,3,600.0,600.0,"[tomatoes, english cucumber, avocado, cilantro, lime juice, kosher salt, ground pepper]",salad
5-Minute-Apple-Cranberry-Salad-1336215,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.5,,5,2,300.0,300.0,"[apples, grapes, dried cranberries, walnuts, vanilla yogurt]",salad
5-Minute-Chopped-Chickpea-Salad-1535489,4,0.5,0.166666666667,0.166666666667,0.166666666667,0.833333333333,0.5,,13,6,300.0,300.0,"[chickpeas, cucumber, green bell pepper, white onion, cherry tomatoes, parsley, lemon, olive oil, sea salt, black pepper, italian seasoning, smoked paprika, feta cheese]",salad
5-Minute-Flavor-packed-Kimchi-Vinaigrette-1707195,4,0.166666666667,0.833333333333,0.166666666667,0.0,0.166666666667,0.0,,6,4,300.0,300.0,"[grapeseed oil, liquid, dry mustard, agave nectar, rice vinegar, shallots]",salad
5-Minute-Tomato-Salad-1304808,4,0.333333333333,0.166666666667,0.0,0.333333333333,0.833333333333,0.166666666667,,8,4,300.0,300.0,"[cherry tomatoes, extra-virgin olive oil, lemon, chopped garlic, purple onion, fresh parsley, salt, pepper]",salad
5-minute-Avocado-Dressing-1684860,3,0.833333333333,0.666666666667,0.0,0.5,0.666666666667,0.166666666667,,9,1,,900.0,"[avocado, extra-virgin olive oil, fresh cilantro, garlic, lemon juice, water, red wine vinegar, salt, pepper]",salad
50-Women-Game-Changers-in-Food---Patricia-Wells---Watermelon-and-Feta-Salad-1706682,4,0.166666666667,0.166666666667,0.0,0.666666666667,0.833333333333,0.5,,7,4,,1200.0,"[watermelon, Greek feta, fresh mint, baby greens, fine sea salt, lemon juice, extra-virgin olive oil]",salad
6-Ingredient-Caprese-Pasta-Salad-1625898,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.333333333333,0.166666666667,,6,4,,600.0,"[short pasta, fresh mozzarella balls, roma tomatoes, fresh basil leaves, extra-virgin olive oil, sea salt]",salad
8-Ingredient-Green-Quinoa-Salad-1691489,4,0.5,0.166666666667,0.0,0.333333333333,0.833333333333,0.166666666667,600.0,14,5,3000.0,3600.0,"[quinoa, edamame, parsley, dill, green onions, green grapes, avocado, arugula, sea salt, oregano, lime zest, lime, extra-virgin olive oil, salt]",salad
A-Great_-Skinny-Greek-Salad-1634452,4,,,,,,,,9,4,,1500.0,"[romaine lettuce, cucumber, medium tomatoes, purple onion, kalamata, fat free feta cheese, vinaigrette, dried leaves oregano]",salad
A-Quick-_-Easy-Salad-1710017,4,0.333333333333,0.166666666667,0.833333333333,0.5,0.833333333333,0.333333333333,,16,8,900.0,900.0,"[green cabbage, red cabbage, onions, large carrots, red bell pepper, dressing, rice vinegar, soy sauce, sesame oil, minced garlic, honey, fresh ginger, Sriracha, olive oil, mayonnaise, sesame seeds]",salad
A-Raw-Mango-Dressing-To-Perk-Up-Any-Salad-1182382,3,,,,,,,,6,4,,900.0,"[mango, lime, fresh basil, salt, pepper, ginger]",salad
A-Sweet-And-Sour-Side-Salad-1627813,4,0.166666666667,0.166666666667,0.0,0.0,0.166666666667,0.166666666667,,7,4,,1200.0,"[mirin, rice vinegar, grapeseed oil, cucumber, radishes, black sesame seeds, fresh dill]",salad
A-Warm-Cavolo-Nero-Salad-1712831,4,,,,,,,,9,2,,6300.0,"[sweet potatoes, purple onion, cavolo nero, red cabbage, olive oil, sea salt flakes, freshly ground black pepper, tahini paste, lemon juice]",salad
A-great-salad-for-Memorial-Day-1553150,4,0.666666666667,0.166666666667,0.0,0.333333333333,0.833333333333,0.333333333333,,10,4,,4500.0,"[lime, vegetable oil, honey, salt, garlic, ground black pepper, grape tomatoes, avocado, sweet corn, fresh cilantro]",salad
AVOCADO-AND-TOMATO-SALAD-1680212,4,0.5,0.166666666667,0.0,0.166666666667,0.833333333333,0.166666666667,,7,6,,1200.0,"[tomatoes, avocado, purple onion, chopped cilantro, lime, extra-virgin olive oil, salt]",salad
Addictive-Brussels-Sprouts-Salad-757948,4,0.833333333333,0.833333333333,0.166666666667,0.833333333333,0.833333333333,0.166666666667,,8,8,,1200.0,"[brussels sprouts, parmigiano reggiano cheese, toasted walnuts, extra-virgin olive oil, apples, dijon mustard, pepper, salt]",salad
Al_s-famous-hungarian-cucumber-salad-309230,5,0.666666666667,0.166666666667,0.5,0.833333333333,0.166666666667,0.166666666667,,10,6,,2100.0,"[english cucumber, table salt, paprika, sour cream, garlic cloves, white wine vinegar, sweet paprika, olive oil, ground black pepper]",salad
Alice-Waterss-Grapefruit-and-Avocado-Salad-1708093,3,,,,,,,900.0,7,4,,900.0,"[grapefruit, white wine vinegar, salt, freshly ground black pepper, extra-virgin olive oil, hass avocado, fresh chervil]",salad
Amish-Five-Bean-Salad-1679473,4,0.333333333333,0.333333333333,0.166666666667,0.166666666667,0.666666666667,0.666666666667,,11,15,,3000.0,"[green beans, wax beans, red kidnei beans, rins and drain, garbanzo beans, lima beans, green bell pepper, purple onion, canola oil, white vinegar, sugar, black pepper]",salad
Angel-Hair-and-Fresh-Tomato-Toss-1682912,4,0.5,0.666666666667,0.0,0.833333333333,0.833333333333,0.5,,10,8,,1500.0,"[Dreamfields Angel Hair, olive oil, fresh lemon juice, salt, baby arugula, cherries, shredded parmesan cheese, toasted pine nuts, pepper]",salad
Anti-Inflammatory-Salad-for-Cleansing-the-Body-of-Toxins-1630744,4,0.833333333333,0.166666666667,0.0,0.666666666667,0.833333333333,0.166666666667,,5,4,,600.0,"[lettuce, radishes, olive oil, apple cider vinegar, salt]",salad
Antipasto-Salad-1709407,4,,,,,,,,16,4,,3000.0,"[dried tomatoes, olive oil, seasoned rice wine vinegar, water, fresh basil leaves, salt, hard salami, thin deli ham, prosciutto, pepperoni, string cheese, lettuce, fresh mushrooms, artichokes, Manzanilla olives, pepperoncini]",salad
Apple-Cabbage-Slaw-1628944,4,,,,,,,,9,4,,2100.0,"[gala apples, coleslaw, green onions, whole grain mustard, vegetable oil, apple cider vinegar, honey, salt, ground black pepper]",salad
