,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Cheesy-Cauliflower-Soup-1710335,,7,4,,2100
1,Cauliflower-Chowder-1709202,,14,6,,3300
2,Creamy-White-Bean-Tomato-Soup---perfect-for-any-time-of-the-year_-1697402,,5,4,,1800
3,5-Ingredient-Tomato-Soup-1696920,900.0,6,4,300.0,1200
4,Vegan-Broccoli-Soup-1709696,420.0,5,4,,1200
5,Pear-and-Parsnip-Soup-1712001,,7,6,,2400
6,Mushroom-Soup-In-Bread-1707053,,7,4,,2400
7,Slow-Cooker-Cheesy-Potato-Soup-1713034,,9,4,,3300
8,Loaded-Roasted-Potato-Soup-1709896,,7,4,,3000
9,Amazing-Broccoli-Cheddar-Soup-1704440,,10,5,300.0,300
10,Soup-Kharcho-1698788,,11,4,,3900
11,Detox-Coconut-and-Broccoli-Soup-1700155,1200.0,8,2,,1500
12,Lentil-Soup-1710491,,12,7,600.0,111600
13,Slow-Cooker-Cajun-Corn-and-Shrimp-Chowder-1710762,,9,4,,3300
14,Chilled-Cucumber-Avocado-Soup-1711312,,7,4,,1200
15,Cold-Shrimp-Avocado-Bisque-1711226,,16,4,,1200
16,Vegan-Cream-of-Broccoli-Soup-1708834,,7,4,,3000
17,Spicy-Chicken-Soup-1613454,,13,4,,2100
18,Vegan-Smokey-Black-Bean-and-Sweet-Potato-Soup-1709702,1500.0,11,4,,2700
19,Cauliflower-Chowder-1222494,,15,4,,3000
20,Polish-Beet-Borsch-Soup-1713221,,11,4,,6300
21,Kevins-Lettuce-Soup-1713209,2160.0,12,8,600.0,2760
22,Chicken-Soup-With-Egg-1707054,,6,4,,2700
23,Asian-Beef-Noodle-Soup-1712030,1500.0,10,5,600.0,2100
24,Dads-Cauliflower-Soup-1700050,,6,6,,1200
25,Garlicky-Ginger-Broth-With-Vegetables-1698884,,7,6,,2100
26,Olive-Garden-Chicken-Gnocchi-Soup-1708724,,16,4,,3300
27,One-Pan-Lasagne-Soup-1705710,,21,8,,3600
28,Easy-Minestrone-Soup-1697313,,17,11,,3000
29,Milk-soup-with-vegetables-_Diet-foods_-1708515,,9,4,,2700
30,Best-Ever-Mushroom-Soup-1697322,,11,2,,3300
31,Copycat-Olive-Garden-Zuppa-Toscana-Soup-1693425,,12,4,,4800
32,Veggie-Packed-Roasted-Red-Pepper-Soup-1704197,,11,6,,3900
33,Creamy-Chicken-and-Mushroom-Soup-1710045,,9,6,,3000
34,Curried-Carrot-Soup-with-Cashew-Cream-1712885,,9,4,,2700
35,Wild-Mushroom-Soup-1707840,,9,4,,3300
36,Very-Useful-Soup-Detox-1637882,,8,4,,3000
37,Broccoli-Cheese-Soup-1615802,,10,4,,2400
38,Hearty-Sausage-_-Tortellini-Soup-758335,41400.0,14,7,1800.0,43200
39,Winter-Warm-Up-Soup-772046,,11,6,600.0,1800
40,Cold-yogurt-soup-with-cucumber-and-herbs-_Healthy-food_-1711576,,13,4,,1500
41,Asparagus-and-Garlic-Soup-1702777,2100.0,5,1,300.0,2400
42,Summer-Friedge-1710886,,8,4,,1800
43,Coconut-Lime-Chicken-Curry-Soup-1712053,1800.0,13,4,300.0,2100
44,Creamy-Zucchini-Soup-1696285,900.0,9,4,300.0,1200
45,Creamy-Chicken-Tortilla-Soup-1712451,,8,4,,2400
46,Potato-Leek-Soup-1614190,,6,4,,2100
47,7-DAY-DIET-WEIGHT-LOSS-SOUP-_WONDER-SOUP__-1558652,,14,4,,3000
48,Satisfying-Scotch-Broth-1702588,,8,4,,4500
49,Turmeric-Tomato-Soup-1702409,,11,4,,2100
50,Cucumber-Soup-1711311,,9,4,,2100
51,Lentil-Soup-1627014,,7,12,600.0,2760
52,Best-Ever-Tomato-Soup-1574944,1200.0,11,4,,1200
53,Skinny-Crock-Pot-Loaded-Potato-Soup-1638577,28800.0,7,6,300.0,29100
54,Black-Bean-Soup-1688564,0.0,10,4,,3000
55,French-onion-soup-with-Gruyere-croutons-1699241,3600.0,12,4,1800.0,5400
56,Cold-Cucumber-Buttermilk-Soup-1705813,,12,6,3600.0,3600
57,Loaded-Baked-Cauliflower-Soup-1711775,,10,4,,5100
58,Slow-Cooker-Creamy-Potato-Soup-1710689,,10,4,,3300
59,Creamy-Pumpkin-Soup-1668134,1800.0,12,4,600.0,2400
60,Better-than-Your-Moms-Chicken-Soup-1693182,,11,8,,2700
61,Lemon-and-Rosemary-Chicken-Soup-1598338,,11,4,,3300
62,Red-Lentil-Soup-With-Fresh-Cilantro-and-Lemon-_Vegan_-1707264,,10,4,,3000
63,Cooking-A-Sausage-Soup-1705179,,7,4,,2400
64,Coconut-Milk-Curry-Soup-1712715,,12,5,,1800
65,Smoky-Eggplant-_-Cumin-Soup-With-Sweet-Red-Onion-Topping-_vegan-_-Grain_-Gluten_-Nut-_-Sugar-free_-1708933,1800.0,16,6,600.0,2400
66,The-Famous-Egg-Drop-Soup-1685977,,9,4,,1500
67,Detoxifying-Carrot-Soup-1683466,,12,4,,1800
68,Ultimate-Loaded-Baked-Potato-Soup-1087697,1500.0,10,5,600.0,2100
69,Fat-Burning-Veggie-Soup-1602089,,8,15,,3900
70,Red-Lentil-Coconut-Curry-Soup-1710624,,14,6,,2100
71,Greek-Lemon-Chicken-Soup-_Avgolemono_-1706854,,9,4,900.0,2400
72,Creamy-Spinach-Soup-1641121,,11,4,,1800
73,Roasted-Garlic-Green-Peas-Soup-1703212,,11,4,,2100
74,Paleo-Salmon-Chowder-_Super-Easy-Recipe__-1708638,,13,4,,1800
75,Dairy-Free-Creamy-Asparagus-Soup-1689736,420.0,5,4,7200.0,7620
76,This-French-Onion-Soup-Is-A-Challenge-To-Your-Tastebuds_-Seriously-Weve-Never-Had-Anything-Like-It_-1640807,,7,4,,1500
77,Smoky-Chicken-Tortilla-Soup-1690827,,12,6,,1800
78,Bratwurst-and-Winter-Vegetable-Stew-772077,,15,6,900.0,3600
79,Lemony-Kale-and-White-Bean-Soup-1611488,1800.0,13,4,900.0,2700
80,Chicken-Soup-and-Easy-Dumplings-1686222,,4,4,600.0,1800
81,Cucumber-Gazpacho-1711310,,9,2,,900
82,20-Minute-Miso-Turmeric-Soup-998359,,8,5,,3000
83,Quinoa-Soup-1708887,,5,4,,2100
84,Vegan-Slow-Cooker-Corn-Chowder-with-Green-Chilies-for-2-1712903,28800.0,9,2,,28800
85,Smoky-Corn-and-Potato-Chowder-_Vegan_-1711279,,10,4,,2400
86,Mulligatawny-Soup-1711334,,14,4,,3600
87,Spiced-Creamy-Broccoli-Soup-1705941,1200.0,15,2,600.0,1800
88,Tomato-Basil-Soup-1702787,,4,4,,1500
89,Sweet-Potato-_-Yukon-Gold-Soup-1697409,,10,4,,1800
90,Grandma_s-Southern-Style-Chicken-n_-Dumplings-1690965,4500.0,14,8,900.0,5400
91,Chicken-Noodle-Soup-1712373,,10,4,,1800
92,Radish-Potato-Soup-1703539,,7,4,,3300
93,Greens-and-Grains-Soup-1705475,,7,5,1200.0,3600
94,Butternut-Pumpkin-Soup-with-Pork-sausage-croutons-1702778,3000.0,7,2,600.0,3600
95,Easy-Peasy-Wonton-less-Soup---Paleo_-Low-Carb_-Gluten-Free-1709020,,20,10,,3600
96,Creamy-Cucumber-Soup-1710844,,11,4,,2100
97,Turkey-Tortilla-Soup-1712434,,19,4,,3600
98,Spring-Vegetable-Stew-From-The-Nourished-Kitchen-Cookbook-1712083,,25,5,,6300
99,Roasted-Broccoli-Onion-Soup-1681373,,6,4,,2100
100,Pumpkin_-Sweet-Potato-_-Carrot-Soup-1706163,,11,4,,4200
101,Bone-Broth-1641209,86400.0,4,8,300.0,86700
102,Stuffed-Pepper-Soup-1712063,,13,4,,3000
103,Pea-and-Ham-Soup-1703654,0.0,7,8,300.0,9900
104,Crockpot-Split-Pea-Soup-1693933,,12,4,,2700
105,Lemon-Grass-Ginger-Soup-With-Mushrooms-1707704,,9,4,,3000
106,Cheesy-Potato-Soup-1695177,,8,4,,2700
107,A-Classic-Caribbean-Split-Peas-And-Salted-Pigtail-Soup_-1707962,,13,4,,6300
108,Lentil-Vegetable-Soup-1207202,0.0,9,6,,8100
109,Super-Skinny-Sweet-and-Sour-Cabbage-Soup-1679806,2700.0,13,11,900.0,3600
110,Apple-Carrot-Ginger-Soup-_glutenfree-_vegan-1218754,,8,4,,2700
111,Cream-of-Chicken-Soup-Substitute-1704036,,8,1,,900
112,Super-Cheesy-Beer-Cheese-Soup-with-Chorizo-1705267,,13,4,,1800
113,Carrot-Coconut-Soup-1711234,1800.0,10,4,,1800
114,Creamy-Chicken-_-Wild-Rice-Soup-1529413,,9,4,,2700
115,Potato-_-Leek-Soup-1706982,1800.0,9,4,600.0,2400
116,Spring-Vegetables-Soup-1688658,1800.0,8,4,,1800
117,Curried-Coconut-Carrot-Soup-1656669,,7,4,,900
118,Thai-Ramen-Pumpkin-Soup-1597793,,12,6,,2400
119,How-to-Make-Copycat-Panera-Broccoli-Cheddar-Soup-1537654,900.0,5,4,300.0,1200
120,Tomato-Fennel-Soup-1698820,,14,4,,1800
121,Perfect-Borscht-1688965,,15,4,,3900
122,Chicken-Tortilla-Soup-1712092,,24,4,,3000
123,Simple-creamy-carrot-soup-334968,,11,6,,2700
124,Cucumber-Gazpacho-1694561,,18,4,,900
125,Soup-With-Dumplings-1704926,,11,4,,3000
