,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Healthy-Carrot-_-Ginger-Soup-Maker-Soup-1521247,1500.0,8,2,900.0,2400
1,Italian-Orzo-Spinach-Soup-682577,,14,5,,3000
2,Creamy-Cauliflower-Soup-1625274,,9,4,,3000
3,Zucchini-And-Zucchini-Flower-Soup-1688244,,9,3,,2700
4,Vichyssoise_-368917,,11,5,,3300
5,Tom-Kha-Gai-_Thai-Coconut-Chicken-Soup_-1522899,1500.0,13,8,600.0,2100
6,Spicy-Lime-Jalapeno-Chicken-Soup-1031921,,12,8,,4800
7,Light-_-Easy-French-Onion-Soup-485455,,13,3,,2400
8,Spicy-Chickpea-_-Rice-Soup-1693239,,16,4,,4200
9,Sweet-Corn_-Peppered-Bacon-and-Shrimp-Chowder-1699443,,14,4,,4200
10,Vegetarian-Soup-1640113,,10,4,,2400
11,Roasted-Cauliflower-Soup-1009954,1200.0,11,8,900.0,2100
12,Chiptole-Tomato-Soup-533076,,8,2,,3900
13,Baby-Carrot-Soup-1036694,,5,4,,2400
14,Potato-Cheese-Soup-1525617,,13,6,,2700
15,Beef-Bone-Broth-1629599,43200.0,13,16,1800.0,45000
16,Slow-Cooker-Zuppa-Toscana-Soup-1520893,,8,4,,2700
17,Spicy-vegan-black-bean-soup-with-cilantro-and-green-tabasco-309270,,11,6,,5400
18,Roasted-Butternut-Squash-Soup-1185391,,7,4,,5100
19,Shrimp-Soup-1576751,,13,4,,2700
20,Irish-Leek-and-Potato-Soup-1550090,1800.0,14,5,1800.0,3600
21,Lemon-Chicken-Soup-Ii-Allrecipes,1800.0,7,8,600.0,2400
22,Tomato-Bisque-1611359,,12,8,,3900
23,Butternut-Squash_-Tahini-_-Lemon-Soup-1613148,3000.0,7,4,300.0,3300
24,Spicy-Carrot-Soup-1424331,2400.0,10,5,600.0,3000
25,Broccoli-Cheddar-Soup-1345118,1200.0,10,6,600.0,1800
26,Zucchini-Soup-1173469,,11,3,,1800
27,Slow-Cooker-Potato-Soup-904919,,7,4,,2700
28,Chicken-Broth-1082193,,8,6,,2700
29,Vichyssoise-My-Recipes_1,,8,5,,3600
30,Chi-Tan-T_ang-_egg-Drop-Soup_-Allrecipes,600.0,7,4,600.0,1200
31,Greek-Lemon-Soup-772659,,7,4,,2700
32,Tomato-Soup-1550132,,11,8,,4500
33,White-Bean-and-Kale-Soup-_Gluten-Free_-1420002,,13,4,,3600
34,Roasted-Tomato-Soup-with-Garlic-and-Basil-1625999,,10,4,,5100
35,Vichyssoise-Allrecipes,,8,5,,3900
36,_Crockpot-Caramelized-Onion-_-Beef-Soup-_PotRoastSoup-1270060,,10,7,,3300
37,Tomato-Basil-Soup-_glutenfree-_vegan-1083492,,7,4,,2400
38,Carrot-Thyme-Soup-with-Cream-1312058,,6,8,,4800
39,Vegetable-Noodle-Soup-1077606,,7,4,,2100
40,Garlic-Soup-100x-Stronger-Than-The-Best-Antibiotics-On-The-Market-1087308,,9,4,,5400
41,Corn-Chowder-with-PHILADELPHIA-Cream-Cheese-Slow-Cooker-1628612,,7,6,,2700
42,Loaded-Baked-Potato-Soup-1631738,900.0,10,5,300.0,1200
43,Baked-Potato-Soup-TasteOfHome,600.0,7,2,600.0,1200
44,Creamy-Turkey-Soup-978540,1500.0,13,9,1500.0,3000
45,Cream-of-Asparagus-Soup-1411944,,7,4,,2400
46,Lemon-Chicken-Orzo-Soup-1287460,,12,4,,3300
47,French-onion-soup-299608,,9,6,,2400
48,Spanish-Watermelon-Soup-1678982,,9,4,,1800
49,PALEO-ZUPPA-TOSCANA-676971,1500.0,10,4,900.0,2400
50,Clam-Chowder-472396,,17,7,1200.0,1200
51,Ranch-Style-Chicken-and-Bean-Soup-485102,,7,4,,1500
52,Slow-Cooker-Split-Pea-Soup-with-Ham-and-Carrots-1629157,,7,4,,44400
53,Classic-french-onion-soup-336678,,6,4,,3300
54,Hot-and-Sour-Soup-1097462,300.0,10,3,600.0,900
55,Asiago-Bisque-1052129,,10,4,,2700
