,index,bitter,meaty,piquant,salty,sour,sweet
0,10-Minute-Tomato-Soup-472890,0.16666666666666666,0.16666666666666666,0.0,0.5,0.6666666666666666,0.16666666666666666
1,15-Bean-Turkey-Soup-1378516,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,15-Minute-Black-Bean-Soup-1633689,,,,,,
3,20-Minute-Tomato-Basil-Soup-990588,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.5,0.3333333333333333
4,20-Minute-Tomato-Soup-1314410,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333
5,3-Ingredient-Black-Bean-Soup-991715,0.16666666666666666,0.16666666666666666,0.0,0.5,0.3333333333333333,0.16666666666666666
6,30-Minute-Healthy-Green-Pea-Soup-1237399,0.5,0.16666666666666666,0.0,0.8333333333333334,0.5,0.16666666666666666
7,30-Minute-Rice-Noodle-Soup-with-Mushrooms-_-Kale-Recipe-_Vegetarian_-1107773,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666
8,30-minute-New-England-Clam-Chowder-1638371,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333
9,40-Cloves-of-Garlic-Soup-1220120,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.8333333333333334,0.16666666666666666
10,5---Ingredient-Broccoli-Cheese-Soup-1472900,0.6666666666666666,0.16666666666666666,0.0,0.5,0.6666666666666666,0.16666666666666666
11,5-Ingredient-Cauliflower-Soup-_Vegan_-Gluten-Free_-1086924,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.8333333333333334,0.16666666666666666
12,5-Ingredient-Pea-and-Mint-Soup-_And-a-FREE-Cookbook___-1532357,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666
13,5-Ingredient-Tortellini-Soup-1271984,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.5,0.16666666666666666
14,5-Minute-Homemade_-ish_-Wonton-Soup-1027965,,,,,,
15,A-Super-Soup-For-Whitening-And-Detoxification-Lotus-Root-and-Pig-Feet-Soup-1679840,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.16666666666666666
16,Alphabet-soup-310099,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
17,Amazing-Pureed-Corn-Soup-1612582,,,,,,
18,Apple-Avocado-Soup-_-Raw-Vegan-622003,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333
19,Apple-cider-french-onion-soup-334137,,,,,,
20,Apple-french-onion-soup-350894,,,,,,
21,Arabic-Lentil-Soup-1173990,,,,,,
22,Asiago-Bisque-1052129,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666
23,Asiago-Bisque-1357711,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666
