,id,rating,recipeName,sourceDisplayName
0,Cheesy-Cauliflower-Soup-1710335,4,Cheesy Cauliflower Soup,Souffles and Sawdust
1,Cauliflower-Chowder-1709202,4,Cauliflower Chowder,Damn Delicious
2,Creamy-White-Bean-Tomato-Soup---perfect-for-any-time-of-the-year_-1697402,4,Creamy White Bean Tomato Soup - perfect for any time of the year!,Vegetarian Mamma
3,5-Ingredient-Tomato-Soup-1696920,4,5 Ingredient Tomato Soup,Little Sunny Kitchen
4,Vegan-Broccoli-Soup-1709696,4,Vegan Broccoli Soup,Veggie Souls
5,Pear-and-Parsnip-Soup-1712001,3,Pear and Parsnip Soup,The Dr.Oz Show
6,Mushroom-Soup-In-Bread-1707053,4,Mushroom Soup In Bread,Cooking With Love
7,Slow-Cooker-Cheesy-Potato-Soup-1713034,4,Slow Cooker Cheesy Potato Soup,Enjoy cooking
8,Loaded-Roasted-Potato-Soup-1709896,3,Loaded Roasted Potato Soup,Weight Watchers Smart Ones
9,Amazing-Broccoli-Cheddar-Soup-1704440,4,Amazing Broccoli-Cheddar Soup,Prevention RD
10,Soup-Kharcho-1698788,4,Soup Kharcho,Good food. Best Recipes
11,Detox-Coconut-and-Broccoli-Soup-1700155,4,Detox Coconut and Broccoli Soup,Madeleine Shaw
12,Lentil-Soup-1710491,4,Lentil Soup,Reluctant Entertainer
13,Slow-Cooker-Cajun-Corn-and-Shrimp-Chowder-1710762,4,Slow Cooker Cajun Corn and Shrimp Chowder,Slow Cooker Gourmet
14,Chilled-Cucumber-Avocado-Soup-1711312,3,Chilled Cucumber Avocado Soup,Nutriliving
15,Cold-Shrimp-Avocado-Bisque-1711226,4,Cold Shrimp Avocado Bisque,ifoodreal
16,Vegan-Cream-of-Broccoli-Soup-1708834,3,Vegan Cream of Broccoli Soup,Bon Appétit
17,Spicy-Chicken-Soup-1613454,3,Spicy Chicken Soup,Bon Appétit
18,Vegan-Smokey-Black-Bean-and-Sweet-Potato-Soup-1709702,4,Vegan Smokey Black Bean and Sweet Potato Soup,Veggie Souls
19,Cauliflower-Chowder-1222494,3,Cauliflower Chowder,Paleo Leap
20,Polish-Beet-Borsch-Soup-1713221,4,Polish Beet Borsch Soup,Little Sunny Kitchen
21,Kevins-Lettuce-Soup-1713209,4,Kevin’s Lettuce Soup,A Garden for the House
22,Chicken-Soup-With-Egg-1707054,4,Chicken Soup With Egg,Cooking With Love
23,Asian-Beef-Noodle-Soup-1712030,3,Asian Beef Noodle Soup,The Mommypotamus
24,Dads-Cauliflower-Soup-1700050,4,Dad’s Cauliflower Soup,Skinnytaste
25,Garlicky-Ginger-Broth-With-Vegetables-1698884,3,Garlicky-Ginger Broth With Vegetables,Livestrong
26,Olive-Garden-Chicken-Gnocchi-Soup-1708724,4,Olive Garden Chicken Gnocchi Soup,Secret Copycat Restaurant
27,One-Pan-Lasagne-Soup-1705710,4,One-Pan Lasagne Soup,Kitchen Sanctuary
28,Easy-Minestrone-Soup-1697313,4,Easy Minestrone Soup,Lauren Kelly Nutrition
29,Milk-soup-with-vegetables-_Diet-foods_-1708515,4,Milk soup with vegetables (Diet foods),Good food. Best Recipes
30,Best-Ever-Mushroom-Soup-1697322,4,Best Ever Mushroom Soup,Pancake Warriors
31,Copycat-Olive-Garden-Zuppa-Toscana-Soup-1693425,4,Copycat Olive Garden Zuppa Toscana Soup,All She Cooks
