,id,rating,recipeName,sourceDisplayName
0,Healthy-Carrot-_-Ginger-Soup-Maker-Soup-1521247,4,Healthy Carrot & Ginger Soup Maker Soup,Recipe This
1,Italian-Orzo-Spinach-Soup-682577,4,Italian Orzo Spinach Soup,Gimme Some Oven
2,Creamy-Cauliflower-Soup-1625274,4,Creamy Cauliflower Soup,Hello Sweetie
3,Zucchini-And-Zucchini-Flower-Soup-1688244,4,Zucchini And Zucchini Flower Soup,Emiko Davies
4,Vichyssoise_-368917,5,Vichyssoise!,Framed Cooks
5,Tom-Kha-Gai-_Thai-Coconut-Chicken-Soup_-1522899,4,Tom Kha Gai (Thai Coconut Chicken Soup),Gimme Some Oven
6,Spicy-Lime-Jalapeno-Chicken-Soup-1031921,4,Spicy Lime Jalapeno Chicken Soup,Heather Christo
7,Light-_-Easy-French-Onion-Soup-485455,4,Light & Easy French Onion Soup,The Comfort of Cooking
8,Spicy-Chickpea-_-Rice-Soup-1693239,3,Spicy Chickpea & Rice Soup,Live Vegan
9,Sweet-Corn_-Peppered-Bacon-and-Shrimp-Chowder-1699443,4,"Sweet Corn, Peppered Bacon and Shrimp Chowder",Dash of Savory
10,Vegetarian-Soup-1640113,3,Vegetarian Soup,Aroma
11,Roasted-Cauliflower-Soup-1009954,3,Roasted Cauliflower Soup,Better Homes and Gardens
12,Chiptole-Tomato-Soup-533076,5,Chiptole Tomato Soup,Naturally Ella
13,Baby-Carrot-Soup-1036694,4,Baby Carrot Soup,Stonesoup
14,Potato-Cheese-Soup-1525617,4,Potato Cheese Soup,Life Currents
15,Beef-Bone-Broth-1629599,3,Beef Bone Broth,Better Homes and Gardens
16,Slow-Cooker-Zuppa-Toscana-Soup-1520893,4,Slow Cooker Zuppa Toscana Soup,Fueling A Fit Fam
17,Spicy-vegan-black-bean-soup-with-cilantro-and-green-tabasco-309270,5,Spicy Vegan Black Bean Soup with Cilantro and Green Tabasco,Kalyn's Kitchen
18,Roasted-Butternut-Squash-Soup-1185391,4,Roasted Butternut Squash Soup,Served From Scratch
19,Shrimp-Soup-1576751,4,Shrimp Soup,Cooking  And Cooking
20,Irish-Leek-and-Potato-Soup-1550090,4,Irish Leek and Potato Soup,Herbs and Eats
21,Lemon-Chicken-Soup-Ii-Allrecipes,5,Lemon Chicken Soup II,AllRecipes
22,Tomato-Bisque-1611359,4,Tomato Bisque,Skinnytaste
23,Butternut-Squash_-Tahini-_-Lemon-Soup-1613148,4,"Butternut Squash, Tahini & Lemon Soup",Fuss Free Flavours
24,Spicy-Carrot-Soup-1424331,3,Spicy Carrot Soup,PepperScale
25,Broccoli-Cheddar-Soup-1345118,4,Broccoli Cheddar Soup,I Heart Vegetables
26,Zucchini-Soup-1173469,4,Zucchini Soup,Domestically Blissful
27,Slow-Cooker-Potato-Soup-904919,4,Slow Cooker Potato Soup,Plain Chicken
28,Chicken-Broth-1082193,4,Chicken Broth,Living FODMOP Free
29,Vichyssoise-My-Recipes_1,4,Vichyssoise,MyRecipes
30,Chi-Tan-T_ang-_egg-Drop-Soup_-Allrecipes,4,Chi Tan T'ang (Egg Drop Soup),AllRecipes
31,Greek-Lemon-Soup-772659,3,Greek Lemon Soup,Serious Eats
32,Tomato-Soup-1550132,3,Tomato Soup,New York Times Cooking
33,White-Bean-and-Kale-Soup-_Gluten-Free_-1420002,4,White Bean and Kale Soup (Gluten Free),Healthier Steps
34,Roasted-Tomato-Soup-with-Garlic-and-Basil-1625999,4,Roasted Tomato Soup with Garlic and Basil,Tasty Yummies
35,Vichyssoise-Allrecipes,5,Vichyssoise,AllRecipes
36,_Crockpot-Caramelized-Onion-_-Beef-Soup-_PotRoastSoup-1270060,4,#Crockpot Caramelized Onion & Beef Soup #PotRoastSoup,Full Belly Sisters
37,Tomato-Basil-Soup-_glutenfree-_vegan-1083492,4,Tomato Basil Soup – #glutenfree #vegan,Vegetarian Mamma
38,Carrot-Thyme-Soup-with-Cream-1312058,4,Carrot-Thyme Soup with Cream,The Pioneer Woman
39,Vegetable-Noodle-Soup-1077606,4,Vegetable Noodle Soup,Nimble Note
40,Garlic-Soup-100x-Stronger-Than-The-Best-Antibiotics-On-The-Market-1087308,3,Garlic Soup – 100x Stronger Than The Best Antibiotics On The Market,World Truth TV
41,Corn-Chowder-with-PHILADELPHIA-Cream-Cheese-Slow-Cooker-1628612,4,Corn Chowder with PHILADELPHIA Cream Cheese Slow Cooker,A Year of Slow Cooking Blog
42,Loaded-Baked-Potato-Soup-1631738,4,Loaded Baked Potato Soup,Add a Pinch
43,Baked-Potato-Soup-TasteOfHome,5,Baked Potato Soup,Taste of Home
44,Creamy-Turkey-Soup-978540,4,Creamy Turkey Soup,Ann's Entitled Life
45,Cream-of-Asparagus-Soup-1411944,3,Cream of Asparagus Soup,RecipesPlus
46,Lemon-Chicken-Orzo-Soup-1287460,4,Lemon Chicken Orzo Soup,Posh Journal
47,French-onion-soup-299608,4,French Onion Soup,Unilever North America
48,Spanish-Watermelon-Soup-1678982,3,Spanish Watermelon Soup,Vegetarian Times
49,PALEO-ZUPPA-TOSCANA-676971,4,PALEO ZUPPA TOSCANA,Paleo Cupboard
50,Clam-Chowder-472396,5,Clam Chowder,Recipe Girl
51,Ranch-Style-Chicken-and-Bean-Soup-485102,4,Ranch Style Chicken and Bean Soup,Barefeet In The Kitchen
52,Slow-Cooker-Split-Pea-Soup-with-Ham-and-Carrots-1629157,3,Slow Cooker Split Pea Soup with Ham and Carrots,Food & Wine
53,Classic-french-onion-soup-336678,4,Classic French Onion Soup,MyRecipes
54,Hot-and-Sour-Soup-1097462,4,Hot and Sour Soup,Rasa Malaysia
55,Asiago-Bisque-1052129,4,Asiago Bisque,Chef In Training
56,Butternut-Squash-Apple-Soup-1631496,4,Butternut Squash Apple Soup,Elana's Pantry
57,Slow-Cooker-Buffalo-Chicken-15-BEAN-SOUP-1298469,3,Slow Cooker Buffalo Chicken 15 BEAN SOUP,Hurst's Ham beens
58,Asiago-Bisque-1357711,4,Asiago Bisque,The Cozy Cook
59,Cauliflower-Soup-1658446,4,Cauliflower Soup,Recipes by Nana
60,Apple-french-onion-soup-350894,5,Apple French Onion Soup,Closet Cooking
61,Incredibly-Easy-Taco-Soup-1068790,4,Incredibly Easy Taco Soup,Cupcake Diaries
62,Greek-Lemon-Chicken-Soup-1305611,4,Greek Lemon Chicken Soup,A Spicy Perspective
63,Shrimp-and-roasted-corn-chowder-351037,5,Shrimp and Roasted Corn Chowder,Closet Cooking
64,Garden-Fresh-Tomato-Soup-Allrecipes,5,Garden Fresh Tomato Soup,AllRecipes
65,Beetroot-_-Orange-Soup-1_6-Litres-1603367,4,Beetroot & Orange Soup 1.6 Litres,Soup Maker Club
66,Creamy-of-Cauliflower-Soup---My-Most-Requested-1206382,4,Creamy of Cauliflower Soup - My Most Requested,The Blender Girl
67,Magic-Mineral-Broth-1617917,4,Magic Mineral Broth™,Rebecca Katz
68,Herbed-Zucchini-Soup-769023,4,Herbed Zucchini Soup,Eating Well
69,Mushroom-Barley-Soup-473436,5,Mushroom Barley Soup,Two Peas & Their Pod
70,How-to-Make-Sweet-Corn-Soup-1170949,4,How to Make Sweet Corn Soup,Harvest to Table Like
71,15-Bean-Turkey-Soup-1378516,4,15 Bean Turkey Soup,South Your Mouth
72,Chilled-Pea-Mint-Soup-1170137,3,Chilled Pea-Mint Soup,New York Times Cooking
73,French-onion-soup-348995,5,French Onion Soup,Every Day with Rachael Ray
74,Spicy-Chilled-Raspberry-Soup-1642192,4,Spicy Chilled Raspberry Soup,Adriana's Best Recipes
75,Spanish-Gazpacho-1212546,4,Spanish Gazpacho,Simple Vegan Blog
76,Beer-Cheese-Soup-V-Allrecipes,4,Beer Cheese Soup V,AllRecipes
77,Broccoli-And-Stilton-Cheese-Soup-1695691,4,Broccoli And Stilton Cheese Soup,Ramona's Cuisine
78,Spinach-Leek-Soup-1593182,3,Spinach Leek Soup,Nutriliving
79,Vegan-Carrot-Ginger-Soup-1658696,4,Vegan Carrot Ginger Soup,The Butter Half
80,Lettuce-soup-347799,5,Lettuce Soup,Every Day with Rachael Ray
81,Soupe-Crasse-_Cheese-and-Bread-Soup_-755590,3,Soupe Crasse (Cheese and Bread Soup),Saveur
82,20-Minute-Tomato-Soup-1314410,4,20-Minute Tomato Soup,Yummy Toddler Food
83,Green-Tomato-Gazpacho_-1363385,4,Green Tomato Gazpacho.,Leaf Parade
84,Chicken-Chowder-Soup-1680771,4,Chicken Chowder Soup,12recipe.blogspot.com
85,Italian-Sausage-Soup-1275705,4,Italian Sausage Soup,Basil
86,Cold-Pea-and-Basil-Soup-441357,5,Cold Pea and Basil Soup,Saveur
87,Pumpkin-Curry-Soup-932229,4,Pumpkin Curry Soup,Mama Loves Food
88,French-Onion-Soup-1182598,4,French Onion Soup,Midget Momma
89,Garden-Harvest-Zoodle-Soup-1071472,4,Garden Harvest Zoodle Soup,Eazy Peazy Mealz
90,Thai-Red-Curry-Corn-Chowder-1688569,4,Thai Red Curry Corn Chowder,Veggie Souls
91,Heavenly-Creamy-Cauliflower-Soup-In-The-Soup-Maker-1521663,4,Heavenly Creamy Cauliflower Soup In The Soup Maker,Recipe This
92,Lobster-Chowder-970725,3,Lobster Chowder,New York Times Cooking
93,Italian-minestrone-soup-in-the-slow-cooker-310330,5,Italian Minestrone Soup in the Slow Cooker,A Year of Slow Cooking
94,Broccoli-and-Potato-Soup-1213136,4,Broccoli and Potato Soup,Pescetarian Kitchen
95,A-Super-Soup-For-Whitening-And-Detoxification-Lotus-Root-and-Pig-Feet-Soup-1679840,4,A Super Soup For Whitening And Detoxification – Lotus Root and Pig Feet Soup,ChineseFoodsRecipe.com
96,Turmeric-Tomato-Soup-1627136,4,Turmeric Tomato Soup,Healthy Holistic Living
97,Split-Lentil-Soup-with-Vegetables-1693450,3,Split Lentil Soup with Vegetables,Hadia's Lebanese Cuisine
98,Quick-and-Easy-Potato-Soup-440155,4,Quick and Easy Potato Soup,Oh She Glows
99,Lowfat-Broccoli-Cheese-Soup-1625838,4,Lowfat Broccoli Cheese Soup,Tasty Thin
100,Sopa-de-calabaza-297839,4,Sopa De Calabaza,Unilever North America
101,Flu-Remedy-Soup-979118,4,Flu Remedy Soup,Original Eating
102,Spring-Vegetable-Soup-1641212,3,Spring Vegetable Soup,Better Homes and Gardens
103,Indian-Tomato-Soup-1685860,4,Indian Tomato Soup,Good food. Best Recipes
104,Traditional-Czech-Garlic-Soup-980651,3,Traditional Czech Garlic Soup,Mother Earth Living
105,Thanksgiving-Soup-_AIP_-GAPS-Intro_-Paleo_-1158582,4,"Thanksgiving Soup (AIP, GAPS Intro, Paleo)",How we Flourish
106,Oven-Roasted-Cauliflower-and-Garlic-Soup-1561207,4,Oven Roasted Cauliflower and Garlic Soup,The Collegiate Vegan
107,How-to-Achieve-Optimal-Health-With-Carrot-Coconut-Soup-1623017,4,How to Achieve Optimal Health With Carrot Coconut Soup,instiks
108,Potato-Soup-600268,3,Potato Soup,Our State
109,Jerusalem-Artichoke-Soup-Simply-Recipes-200325,5,Jerusalem Artichoke Soup,Simply Recipes
110,Slow-Cooker-Meatball-Soup-with-Potatoes-_-Kale-1690371,4,Slow Cooker Meatball Soup with Potatoes & Kale,Enjoy cooking
111,5---Ingredient-Broccoli-Cheese-Soup-1472900,4,5 - Ingredient Broccoli Cheese Soup,Budget Savvy Diva
112,Detox-Chicken-Bok-Choy-Soup-_SundaySupper-977574,4,Detox Chicken Bok Choy Soup #SundaySupper,Nosh My Way
113,Italian-Sausage-and-Kale-Soup-1274259,4,Italian Sausage and Kale Soup,San Pasqual's Kitchen
114,Sweet-Potato-and-Red-Pepper-Soup-629779,3,Sweet Potato and Red Pepper Soup,The WI
115,15-Minute-Black-Bean-Soup-1633689,4,15 Minute Black Bean Soup,Amuse Your Bouche
116,Chicken-Tortilla-Soup-1679959,4,Chicken Tortilla Soup,Katie's Confessions
117,Irish-Potato-Soup-974627,4,Irish Potato Soup,The Fresh Fridge
118,slow-cooker-Tom-Kha-Gai-_Thai-coconut-soup_-987624,4,slow cooker Tom Kha Gai (Thai coconut soup),Lola's Kitchen Lab
119,Vegan-Chickpea_-Garlic_-and-Thyme-Soup-1004028,3,"Vegan Chickpea, Garlic, and Thyme Soup",popsugar.com
120,Sorrel-Soup-_Green-Borsch_-1639692,4,Sorrel Soup (Green Borsch),Ukrainian Recipes
121,Not-Your-Baba_s-Borscht-_Vegan_-1647475,4,Not Your Baba's Borscht (Vegan),Occasionally Eggs
122,Celery-root-soup-334074,4,Celery Root Soup,Pictures & Pancakes
123,Sopa-de-Fideos-1609515,4,Sopa de Fideos,AllRecipes
124,Vegetable-medley-soup-298787,4,Vegetable Medley Soup,Unilever North America
125,Broccoli-Cheese-Soup-1611368,4,Broccoli Cheese Soup,Taste and Tell
126,Potato-Ham-Chowder-638021,3,Potato Ham Chowder,Damn Delicious
127,Quick-Chicken-Tortellini-Soup-494682,4,Quick Chicken Tortellini Soup,Confections of a Foodie Bride
128,Easy-Matzo-Ball-Soup-1595033,4,Easy Matzo Ball Soup,Melanie Cooks
129,Coconut-lime-soup-303171,4,Coconut-lime Soup,Unilever North America
130,Broccolini-Spring-Onion-Soup-510542,5,Broccolini-Spring Onion Soup,Food Republic
131,Creamy-Lemon-Chicken-Soup-1689254,4,Creamy Lemon Chicken Soup,North Loves South
132,Creamy-Crock-Pot-Chicken-Wild-Rice-Soup-1381282,4,Creamy Crock Pot Chicken Wild Rice Soup,The Creative Bite
133,Chilled-Cantaloupe-Soup-1280392,4,Chilled Cantaloupe Soup,Simply Fresh Dinners
134,Green-Soup-1602970,4,Green Soup,Heart to Plate
135,Chicken-Slippery-Noodle-Soup-1643451,4,Chicken Slippery Noodle Soup,Framed Cooks
136,Roasted-Red-Pepper-Soup-Naturally-Ella-46309,5,Roasted Red Pepper Soup,Naturally Ella
137,Panera-Black-Bean-Soup-1343298,4,Panera Black Bean Soup,Detoxinista
138,Simple-Chicken-Noodle-Soup-Martha-Stewart,4,Simple Chicken Noodle Soup,Martha Stewart
139,Amazing-Pureed-Corn-Soup-1612582,4,Amazing Pureed Corn Soup,Fit and Fab Living
140,Cauliflower-Soup-984745,4,Cauliflower Soup,The Girl Who Ate Everything
141,White-Bean-and-Kale-Soup-1041225,4,White Bean and Kale Soup,Culinary Hill
142,40-Cloves-of-Garlic-Soup-1220120,4,40 Cloves of Garlic Soup,Kitchen Treaty
143,Asparagus-Soup-1214553,4,Asparagus Soup,Bowl Me Over
144,Carrot-Orange-_-Ginger-Soup-1696282,4,Carrot Orange & Ginger Soup,Nutrition Stripped
145,Spring-Detox-Soup-_vegan_-1234867,4,Spring Detox Soup [vegan],The Flexitarian
146,Dilled-Potato-Soup-1066969,4,Dilled Potato Soup,Cookistry
147,Brainy-Broccoli-Soup-981569,4,Brainy Broccoli Soup,Super Healthy Kids
148,Lentils-With-Yogurt-Soup-1358718,4,Lentils With Yogurt Soup,Nutrizonia
149,Asian-Dumpling-Soup-with-Edamame-and-Watercress-1088032,3,Asian Dumpling Soup with Edamame and Watercress,Recipe.com
150,Asian-Chicken-Noodle-Soup-1640106,3,Asian Chicken Noodle Soup,Recipe.com
151,French-Onion-Soup-In-The-Soup-Maker-1521591,4,French Onion Soup In The Soup Maker,Recipe This
152,Asparagus-Soup-1685261,4,Asparagus Soup,"Un Assaggio of Food, Wine, and Marriage"
153,Carrot-ginger-soup-347490,3,Carrot-Ginger Soup,Every Day with Rachael Ray
154,Corn-Chowder-with-Chilies-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41223,5,Corn Chowder with Chilies,The Pioneer Woman
155,Quick-Cream-of-Tomato-Soup-502330,4,Quick Cream of Tomato Soup,Nom Nom Paleo
156,Potato-Leek-Soup-_gluten-free_-dairy-free_-vegan_-1679580,4,"Potato Leek Soup (gluten-free, dairy-free, vegan)",Naturopathic by Nature
157,Creamy-Onion-Soup-1411565,3,Creamy Onion Soup,RecipesPlus
158,Perfect_-Uncluttered-Chicken-Stock-467197,5,"Perfect, Uncluttered Chicken Stock",Smitten Kitchen
159,Slow-cooker-corn-chowder-310394,5,Slow Cooker Corn Chowder,A Year of Slow Cooking
160,Ramen-Noodle-Soup-Allrecipes,4,Ramen Noodle Soup,AllRecipes
161,Black-Bean-Corn-Chowder-1263844,4,Black Bean Corn Chowder,Honey And Birch
162,Spicy-Harissa-Bean-Soup-1682762,3,Spicy Harissa Bean Soup,Avocado a Day Nutrition
163,Highfield-Estates-Creamy-Mushroom-Soup-1699284,3,Highfield Estate’s Creamy Mushroom Soup,Food Magazine
164,Roasted-Peach-Soup-1267557,4,Roasted Peach Soup,Just Us Four
165,Polish-Beet-Soup-1040907,3,Polish Beet Soup,Whole Foods Market
166,Chilled-Cucumber-Soup-With-Farm-Fresh-Herbs-590107,4,Chilled Cucumber Soup With Farm Fresh Herbs,Dishing Up the Dirt
167,Spiced-Carrot-Soup-With-Lime-1689291,3,Spiced Carrot Soup With Lime,New York Times Cooking
