,id,ingredient_list,cuisine,ingredient_string
0,Baby-Back-Ribs-with-Bourbon-Barbecue-Sauce-1703741,"[baby back ribs, bourbon whiskey, ketchup, garlic, dark brown sugar, maple syrup, worcestershire sauce, cider vinegar, black pepper]",American,baby back rib bourbon whiskey ketchup garlic dark brown sugar maple syrup worcestershire sauce cider vinegar black pepper
1,Roast-Turkey-With-Apple-Cider-Gravy-772029,"[Honeysuckle White® Frozen Whole Turkey, butter, salt, pepper, water, apple cider, all-purpose flour, dried sage]",American,honeysuckle white frozen whole turkey butter salt pepper water apple cider all purpose flour dried sage
2,Better-Than-Sex-Brisket-1060441,"[brisket, beef base, garlic salt, ground pepper, chile powder, light brown sugar, smoked paprika, shallots, apple juice, bbq sauce, apple cider vinegar]",American,brisket beef base garlic salt ground pepper chile powder light brown sugar smoked paprika shallot apple juice bbq sauce apple cider vinegar
3,Best-Basic-Burger-500667,"[ground beef, eggs, salt, ground black pepper, seasoned bread crumbs, worcestershire sauce]",American,ground beef egg salt ground black pepper seasoned bread crumb worcestershire sauce
4,Chicago-Chicken-822419,"[jalapeno chilies, lemon, dried oregano, olive oil, garlic, boneless skinless chicken breasts]",American,jalapeno chilies lemon dried oregano olive oil garlic boneless skinless chicken breast
5,Crunchy-Stuffed-Chicken-Breasts-In-Lemon-Butter-1041748,"[free range chicken breasts, mozzarella cheese, semi-dried tomatoes, fresh basil leaves, bread crumbs, grated parmesan cheese, lemon, plain flour, free-range eggs, olive oil, green beans, butter]",American,free range chicken breast mozzarella cheese semi dried tomato fresh basil leaf bread crumb grated parmesan cheese lemon plain flour free range egg olive oil green bean butter
6,Crockpot-bbq-beer-chicken-333297,"[boneless skinless chicken breasts, onion powder, smoked paprika, garlic powder, salt, pepper, beer, barbecue sauce]",American,boneless skinless chicken breast onion powder smoked paprika garlic powder salt pepper beer barbecue sauce
7,Roast-Turkey-With-Apple-Cider-Gravy-901672,"[whole turkey, butter, salt, pepper, water, apple cider, all-purpose flour, dried sage]",American,whole turkey butter salt pepper water apple cider all purpose flour dried sage
8,Baked-Macaroni-and-Cheese-471277,"[macaroni, flour, salt, pepper, margarine, shredded cheddar cheese, milk]",American,macaroni flour salt pepper margarine shredded cheddar cheese milk
9,Ann-Herrmann_s-Maple-Barbecue-Ribs-1537278,"[maple syrup, spicy brown mustard, apple cider vinegar, ketchup, cayenne pepper, pork ribs, salt]",American,maple syrup spicy brown mustard apple cider vinegar ketchup cayenne pepper pork rib salt
