,index,Appetizers,Beverages,Breads,Breakfast and Brunch,Cocktails,Condiments and Sauces,Desserts,Lunch,Main Dishes,Salads,Side Dishes,Snacks,Soups
0,1_2_3-Jambalaya-My-Recipes,0,0,0,0,0,0,0,0,1,0,0,0,0
1,All--American-Chili-471769,0,0,0,0,0,0,0,0,1,0,0,0,0
2,All-American-Chili-1045668,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Almond_chive-Salmon-My-Recipes,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Andouille-Beef-Meatloaf-with-Cajun-Mayo-_Low-Carb-and-Gluten-Free_-531024,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Apple-Glazed-Pork-Loin-Roast-with-Apple-Ham-Stuffing-MyRecipes-254294,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Apple-and-Cranberry-Turkey-Roulade-MyRecipes-243891,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Apple_-Currant_-and-Caraway-Stuffed-Chicken-Breasts-Epicurious-51371,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Apple_grilled-Turkey-With-Cider-Gravy-My-Recipes,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Apple_stuffed-Pork-Chops-My-Recipes,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Arizona-Turkey-With-Chipotle-Sauce-My-Recipes,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Baekeoffe-_alsatian-Meat-Stew_-My-Recipes,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Baked-Fish-With-Olive_crumb-Coating-My-Recipes,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Baked-Ham-with-Guava-Glaze-1086116,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Balsamic-Braised-Short-Ribs-with-Horseradish-Mashed-Potatoes-MyRecipes-271088,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Balsamic-Glazed-Pork-Chops-With-Red-Pepper-Grits-My-Recipes,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Barbecue-Shrimp-And-Cornbread_stuffed-Peppers-My-Recipes,0,0,0,0,0,0,0,0,1,0,0,0,0
