,id,Asian,Barbecue,Filipino,Game Day,Hawaiian,Jamaican,Kid-Friendly,Korean,Main Dishes,Passover,Spring,Summer,Sunday Lunch,Thai,Vietnamese
0,Mongolian-BBQ-Seitan-971034,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,Diet-Rice-With-Shrimps-1511715,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2,Honey-hoisin-chicken-in-the-slow-cooker-365020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
3,Thai-Shrimp-Curry-1064701,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0
4,Vegetarian-Lo-Mein-1617715,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
5,Miso-Mayonnaise-Chicken-1633569,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
6,Sticky-Sweet-and-Spicy-Asian-Chicken-Thighs-1053911,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
7,Thai-Beef-and-Basil-Stirfry-Thai-Recipes-1266729,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
8,Ginger_sesame-Marinade-My-Recipes,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
9,Red-Rice-or-Farro-With-Miso-Roasted-Squash_-Leeks_-Red-Pepper-and-Tofu-1685051,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
10,Thai-Red-Chicken-Curry-993160,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0
11,Honey-and-Soy-Baked-Chicken-Thighs-1019856,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
12,Tom-Yum-Goong-1637175,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
13,Unfried-chicken-skewers-_-bbq-sauce-296677,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
14,Sesame-Veggie-Soba-1630458,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
15,Korean-Beef-1058276,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
16,Five-spice-Duck-Breasts-With-Honey-And-Soy-1678385,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
17,Maple-Miso-Dijon-Salmon-439539,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
18,Sweet-and-Spicy-Tofu-1022505,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
19,Sticky-Sesame-Tofu-and-Broccoli-1686644,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
20,Bibimbap-_Korean-Mixed-Rice_-1622764,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
21,Tropical-Teriyaki-Chicken-Breasts-with-Grilled-Pineapple-1055702,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
22,Spicy-thai-beef-and-jasmine-rice-352219,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0
23,Shrimp-with-Spicy-Garlic-Sauce-470714,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
24,Sticky-Roasted-Thai-Chicken-681111,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0
25,Vietnamese-Caramelised-Ginger-Chicken-1626427,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
26,Korean-bbq-beef-371107,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
27,Easy-Asian-Salmon-1275944,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
28,Chili-Clams-496889,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
29,Spaghetti-Squash-Chow-Mein-1119494,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
30,One-Pot-Chicken-Teriyaki-Rice-Bowls-1557845,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
31,Sheet-Tray-Salmon-with-Mushrooms-and-Bok-Choy-1640490,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
32,Korean-Ginger-Chicken-1126888,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
33,Beef-Stir-Fry-601854,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0
34,Thai-Chicken-1570331,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
35,Vietnamese-Caramelized-Shrimp-1022348,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0
36,Sticky-Garlic-Chicken-and-Broccoli-781262,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
37,Sesame-Crusted-Asian-Scallops-1038486,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
38,Easy-Korean-Beef-1059048,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
39,Chicken-Pad-Thai-792751,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0
40,Sweet-_-Sour-Chicken-Fried-Rice-1587944,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
41,Garlic-Chicken-Fried-Brown-Rice-1689781,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
42,Teriyaki-Chicken-Veggie-Stir-fry-1681706,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
43,Easy-Stir-Fry-Shrimp-and-Cashews-1512500,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
44,Stir-Fry-Shrimp-with-Thai-Roasted-Chili-Paste-976372,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0
45,Broccoli-Slaw-Stir-Fry-with-Garlic-Ginger-Teriyaki-Sauce-1667767,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
