,id,Asian,Barbecue,Filipino,Hawaiian,Kid-Friendly,Korean,Main Dishes,Spring,Summer,Sunday Lunch,Thai,Vietnamese,Winter
0,Pork-Satay-With-Thai-Spices-and-Peanut-Sauce-1613904,1,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0
1,Thai-Basil-Chicken-Fried-Rice-1000208,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0
2,Tofu-and-Broccoli-Stir-Fry-1682835,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
3,Sate-Babi-1043668,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
4,Steamed-Sesame-Scallops-1586358,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
5,Ginger-Soy-Infused-Steamed-Alaska-Halibut-1216091,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
6,Thai-Chicken-Basil-Stir-Fry-1291276,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0
7,Mushroom-Sang-Choy-Bow-1179896,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
8,Indonesian-style-Stir-fry-1623694,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
9,Thai-Basil-Coconut-Lentils-499290,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0
10,Vietnamese-Shaken-Beef-Bowl_-1199514,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
11,Beef-_-Broccoli-in-Black-Bean-Garlic-Sauce-979957,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
12,Malaysian-Sambal-Shrimp-1368681,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
13,Sweet-Korean-Pork-Ribs-565077,1,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
14,Asian-Sticky-Salmon-1299109,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0
15,Easy-Sesame-Chicken-over-Rice-1065946,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
16,Shrimp-With-Spicy-Ginger-Noodles-1623072,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
