,id,rating,recipeName,sourceDisplayName
0,Spaghetti-and-Meatballs-Simply-Recipes-42846,5,Spaghetti and Meatballs,Simply Recipes
1,Italian-White-Bean-Chicken-AllRecipes,4,Italian White Bean Chicken,AllRecipes
2,Penne-with-Creamy-Vegan-Vodka-Sauce-1164665,4,Penne with Creamy Vegan Vodka Sauce,Vegan Gretchen
3,Italian-Sausage-Rigatoni-573580,3,Italian Sausage Rigatoni,Easy to Make Recipes
4,PALEO-CHICKEN-MARSALA-601538,3,PALEO CHICKEN MARSALA,Paleoholic
5,Italian-asparagus-lasagna-318262,3,Italian Asparagus Lasagna,Food52
6,Sicilian-Spaghetti-Sauce-1263303,3,Sicilian Spaghetti Sauce,MyRecipes
7,Pasta-Sausage-Supper-TasteOfHome,4,Pasta Sausage Supper,Taste of Home
8,Chicken-Cacciatore-1611851,3,Chicken Cacciatore,Quorn
9,Lazy-No-Boil-5-Ingredient-Spinach-Lasagna-1491138,4,Lazy No-Boil 5-Ingredient Spinach Lasagna,Melanie Cooks
10,Ziti-with-Eggplant_-Sausage-and-Parmesan-1394140,4,"Ziti with Eggplant, Sausage and Parmesan",The Chef Next Door Michigan
11,Italian-Sausage-Spaghetti-1068482,4,Italian Sausage Spaghetti,My Family Mealtime
12,Kristy_s-Lasagna-Allrecipes,4,Kristy's Lasagna,AllRecipes
13,Roasted-Garlic-Chicken-_-Mozzarella-Pizza-with-Homemade-Basil-Pesto-1091670,4,Roasted Garlic Chicken & Mozzarella Pizza with Homemade Basil Pesto,Sally's Baking Addiction
14,Baked-Rigatoni-with-Pancetta-and-Basil-1038918,4,Baked Rigatoni with Pancetta and Basil,My Gourmet Connection
15,Spaghetti-with-Homemade-Pesto-1400062,3,Spaghetti with Homemade Pesto,RecipesPlus
16,Rosemary-And-Tomato-Barley-Risotto-With-Mozzarella-1593675,4,Rosemary And Tomato Barley Risotto With Mozzarella,FOOD TO LOVE
17,Creamy-Italian-Chicken-566710,4,Creamy Italian Chicken,Lazy Gluten Free
18,Pizza-Bianca-Martha-Stewart-197359,4,Pizza Bianca,Martha Stewart
19,Italian-Meatballs-Simply-Recipes-200646,5,Italian Meatballs,Simply Recipes
20,Skinny-Italian-Turkey-Meatballs-1581584,4,Skinny Italian Turkey Meatballs,Skinnytaste
21,Caprese-Chicken-Breasts-759664,4,Caprese Chicken Breasts,Fit Foodie Finds
22,Italian-Style-Smothered-Pork-Roast---A-Crock-Pot-Recipe_-1566402,4,Italian Style Smothered Pork Roast - A Crock Pot Recipe!,Daily DIY Life
