,id,Barbecue,Breads,Fall,French,Italian,Kid-Friendly,Main Dishes,Peruvian,Spring,Summer,Sunday Lunch,Valentine's Day
0,Italian-Breaded-Pork-Scallopini-1637726,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
1,Italian-Chicken-_-Spinach-Bake-1631947,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
2,Braised-Italian-Pot-Roast-1518989,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1.0,0.0
3,VELVEETA-Italian-Sausage-Bake-1080703,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
4,Baked-Penne-with-Italian-Sausage-472692,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
5,Shrimp-Scampi-Pizza-1135211,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
6,Linguine-with-Crab-682493,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
7,Asparagus-Garlic-Scape-Pesto-Spaghetti-440141,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
8,Fettuccine-alla-Carbonara-494667,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
9,Quick-Italian-Skillet-Dinner-1201074,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
10,Chicken-piccata-368539,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
11,Pappardelle-with-Italian-Beef-Ragu-1567222,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
12,Sicilian-style-Grilled-Tuna-Steaks-1640065,1.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
13,New-York-Italian-Pizza-Dough-AllRecipes,0.0,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
14,Asparagus-Lemon-Risotto-1630081,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
15,Easy-Cheesy-Lasagna-MyRecipes-211589,0.0,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0,0.0
16,Baked-Pesto-Chicken-Parmesan-519243,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
17,Classic-Beef-Meatballs-Martha-Stewart-239070,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
18,Ultimate-Cheese-Pizza-My-Recipes,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
19,Quick-_-Easy-Spaghetti-Bolognese-1026647,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
20,Spicy-Marinara-Penne-Pasta-1221648,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
21,Penne-with-Sausage-and-Spicy-Cream-Tomato-Sauce-1575444,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
22,Quick-Pizza-Dough-1064416,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
23,Stuffed-shells-308656,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
24,Mushroom-and-leek-risotto-307949,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
25,Crock-pot-chicken-cacciatore-352435,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
26,Spaghetti-Carbonara-Martha-Stewart,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
27,Italian-Fried-Chicken-1114011,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
28,Lobster-diavolo-327815,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
29,Chicken-_-linguine-in-creamy-tomato-sauce-300090,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
30,Eggplant-Lasagna-1154686,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
31,Grilled-Top-Sirloin-Filets-with-Italian-Salsa-Verde-1643424,1.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
32,Chicken-rollatini-with-spinach-alla-parmigiana-352043,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
33,Spinach-Lasagna-III-1631278,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
34,Mushroom-lasagna-305429,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
35,_Easy-Dinner-Recipe_-Italian-Chicken-Bake-1065059,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
36,Baked-orecchiette-345252,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
37,20-Minute-Healthy-Chicken-Parmesan-1111419,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
38,Linguine-with-Tomatoes_-Basil-and-Brie-472060,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
39,SPINACH-TURKEY-LASAGNA-989634,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
40,Tagliatelle-Carbonara-1399195,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
41,Tuscan-Style-Steak-1598184,1.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1.0,0.0,0.0
42,Skinny-Chicken-and-Broccoli-Alfredo-1035438,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
43,Spaghetti-con-le-zucchine-_Spaghetti-with-Zucchini_-1686999,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
44,Spaghetti-With-Fresh-Tomato-and-Basil-Sauce-1241621,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
45,Pesto-Chicken-Pasta-1062234,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
46,Lasagna-with-creamy-pink-sauce-303334,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
47,Lemon-Chicken-Piccata-963569,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
48,Garlic-bread-pizza-crust-333245,0.0,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
49,Creamy-Shells-with-Artichokes-_-Italian-Sausage-1585362,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
50,Spinach-and-Garlic-Spaghetti-with-Pecorino-489516,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
51,Pioneer-Woman_s-Linguine-with-Clam-Sauce-471959,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
52,Italian-Baked-Chicken-and-Potatoes-1067545,0.0,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0,0.0
53,30-Minute-Caprese-Pasta-Skillet-1269403,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
54,Julia-Child_s-Eggplant-Pizzas-_Tranches-d_aubergine-a-l_italienne_-571708,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
55,Oven-Baked-Parmesan-Paprika-Skinless-Boneless-Chicken-Breast-1009986,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
