,id,Barbecue,Breads,Fall,Italian,Kid-Friendly,Main Dishes,Spring,Summer,Sunday Lunch,Thanksgiving
0,Spaghetti-and-Meatballs-Simply-Recipes-42846,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
1,Italian-White-Bean-Chicken-AllRecipes,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
2,Penne-with-Creamy-Vegan-Vodka-Sauce-1164665,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
3,Italian-Sausage-Rigatoni-573580,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
4,PALEO-CHICKEN-MARSALA-601538,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
5,Italian-asparagus-lasagna-318262,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
6,Sicilian-Spaghetti-Sauce-1263303,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
7,Pasta-Sausage-Supper-TasteOfHome,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
8,Chicken-Cacciatore-1611851,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
9,Lazy-No-Boil-5-Ingredient-Spinach-Lasagna-1491138,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
10,Ziti-with-Eggplant_-Sausage-and-Parmesan-1394140,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
11,Italian-Sausage-Spaghetti-1068482,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
12,Kristy_s-Lasagna-Allrecipes,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
13,Roasted-Garlic-Chicken-_-Mozzarella-Pizza-with-Homemade-Basil-Pesto-1091670,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
14,Baked-Rigatoni-with-Pancetta-and-Basil-1038918,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
15,Spaghetti-with-Homemade-Pesto-1400062,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
16,Rosemary-And-Tomato-Barley-Risotto-With-Mozzarella-1593675,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
17,Creamy-Italian-Chicken-566710,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
18,Pizza-Bianca-Martha-Stewart-197359,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
19,Italian-Meatballs-Simply-Recipes-200646,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
20,Skinny-Italian-Turkey-Meatballs-1581584,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
21,Caprese-Chicken-Breasts-759664,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
22,Italian-Style-Smothered-Pork-Roast---A-Crock-Pot-Recipe_-1566402,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
23,Gnocchi-With-Sage_butter-Sauce-Allrecipes,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
24,Fresh-Tomato-and-Ricotta-Whole-Wheat-Pasta-1376535,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
25,Italian-Rigatoni-with-Cheese-and-Sausage-1290327,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
26,Spinach-Basil-Pesto-Risotto-1450308,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
27,Caprese-Italian-Sausage-1302637,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
28,Two-Tomato-Pizza-Rustica-1262119,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
29,Italian-Bolognese-Sauce-1290391,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
30,Pesto-Chicken-Thighs-with-Italian-Creme-Sauce-Over-Parmesan-Couscous-1020514,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
31,Double-stuffed-chicken-breasts-347611,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
32,Pici-Pasta-with-Bertolli-Marinara-and-Steamed-Artichokes-1566611,0.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0
33,Artichoke_-Caper-and-Lemon-Risotto-1554770,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
34,Butternut-Squash-and-Ricotta-Gnocchi-_-Noquis-de-Zapallo-y-Ricota-1062488,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
35,Truffled-Taleggio-And-Mushroom-Pizza-Epicurious,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
36,Easy-Beef-Lasagna-550608,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
37,Gnocchi-In-Fontina-Sauce-Allrecipes,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
38,Risotto-alla-Margherita-686061,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
39,Creamy-Kale-Pesto-Risotto-1551636,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
40,Quick-and-Easy-Pesto-Polenta-Lasagna-AllRecipes-39793,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
41,Hearty-bertolli-lasagna-304121,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
42,Chunky-Roasted-Tomato-Vegetable-Marinara-with-Pasta-1678056,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
43,Skillet-Lasagna-1582584,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
44,Meatball-Lasagna-793491,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
45,Creamy-Garlic-Shrimp-And-Pasta-My-Recipes,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
46,Mama_s-Best-Ever-Spaghetti-And-Meatballs-Allrecipes,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
47,Really-Easy-Mushroom-Risotto-737258,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
48,Pasta-Cacio-E-Pepe-Epicurious,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
49,Baked-Polenta-with-Mushrooms-456319,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
50,One-Pot-Italian-Orzo-Chicken-with-Mozzarella_-Arugula_-and-Fennel-1453139,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
51,Cheese-and-spinach-stuffed-jumbo-shells-365312,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
52,Rigatoni-with-prosciutto-and-parmesan-348566,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
53,Pizza-Stuffed-Shells-627499,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
54,Cioppino-297151,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
55,Juicy-Italian-Chicken-AllRecipes-36923,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
56,Olive-Garden-Copycat-Chicken-Vino-Bianco-574560,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
57,Slow-Cooker-Chicken-Cacciatore-1556432,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
58,Frutti-di-mare-298635,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
59,Eggplant-Parmesan-473731,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
60,Spaghetti-Marinara-with-Poached-Eggs-987187,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
61,Vegetarian-Calzones-1165478,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
62,Lasagna-for-Kids-1008335,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
63,Italian-Meatball-and-Biscuit-Bake-1271968,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
64,Baby-pasta-shells-with-asparagus-and-marinara-sauce-352618,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
65,Orecchiette-with-Spicy-Chickpea-Sauce-1153671,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
66,Chicken-fra-Diavolo-576198,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
67,Sicilian-Steak-459243,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
68,Spaghetti-With-Sausage-Meatballs-1252238,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
69,Slow-Cooker-Vegetarian-Lasagna-1564644,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
70,Spaghetti-alla-Carbonara-1001212,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
71,Blt-rigatoni-349911,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
72,Italian-Fennel-Beef-Sausage-601875,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
73,Penne-alla-Vodka-1328957,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
74,Turkey-Bolognese-1536102,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
75,Classic-Beef-Meatballs-512741,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
76,Pasta-with-Creamy-Spinach-Pesto-541529,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
77,Bruschetta-Chicken-571441,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
78,How-To-Make-Pizza-Crust-571742,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
79,Chicken-Marsala-A-Traditional-Italian-Recipe-and-Favorite-Comfort-Food-1444701,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
80,Italian-Style-Skillet-Pie-1541794,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
81,Potato-Gnocchi-with-Peas-and-Prosciutto-1188098,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
82,Slow-Cooker-Cheesy-Italian-Tortellini-1064691,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
83,Italian-Mac-_-Cheese-750426,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0
84,Italian-Chicken-Traybake-1554840,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
85,Wild-mushroom-lasagna-371502,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
86,Italian-Broccoli-Bacon-Pasta-964894,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
87,Courgette-Flower-Spagetti-Olio-E-Aglio-1252962,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
88,Homemade-Spaghetti-Marinara-1239875,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
89,Italian-Sausage-Meatballs-486294,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
