,index,Appetizers,Beverages,Breads,Breakfast and Brunch,Cocktails,Condiments and Sauces,Desserts,Lunch,Main Dishes,Salads,Side Dishes,Snacks,Soups
0,20-Minute-Italian-Chicken-Skillet-1450750,0,0,0,0,0,0,0,0,1,0,0,0,0
1,20-Minute-Tuscan-Chicken-with-Penne-Pasta-1379939,0,0,0,0,0,0,0,0,1,0,0,0,0
2,20-Minute_-One-Pan-Gnocchi-with-Sausage-and-Spinach-1319637,0,0,0,0,0,0,0,0,1,0,0,0,0
3,25-Minute-Baked-Ziti-Skillet-968334,0,0,0,0,0,0,0,0,1,0,0,0,0
4,3-Cheese-Lasagna-Skillet-1033453,0,0,0,0,0,0,0,0,1,0,0,0,0
5,3-Cheese-White-Pizza-with-Spinach-and-Basil-1196703,0,0,0,0,0,0,0,0,1,0,0,0,0
6,30-Minute-Tuscan-Chicken-Marsala-1008683,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Albanian-Pizza-1088250,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Amatriciana-1594548,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Amatriciana-762844,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Antipasto-Napolitana-1406219,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Artichoke_-Olive-_-Caper-Pizza-1572903,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Asparagus-and-Herb-Lasagna-542004,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Asparagus_-Artichoke-and-Shiitake-Risotto-624423,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Asparagus_-Lemon-And-Mint-Risotto-1030420,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Authentic-Italian-Lasagna-1690895,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Baked-Cheesy-Sausage-Penne-1502601,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Baked-Chicken-Marinara-1052091,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Baked-Mozzarella-Chicken-Rolls-499394,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Baked-Pasta-with-Sausage-and-Spinach-1020904,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Baked-Pasta-with-Sausage-and-Spinach-1628620,0,0,0,0,0,0,0,0,1,0,0,0,0
21,Baked-Pasta-with-Tomatoes-and-Mozzarella-1001541,0,0,0,0,0,0,0,0,1,0,0,0,0
22,Baked-Penne-with-Vegetables-1579475,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Baked-Polenta-with-Roasted-Vegetables-1036691,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Baked-Shells-with-Ricotta-and-Sausage-1143242,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Baked-Spaghetti-TasteOfHome,0,0,0,0,0,0,0,0,1,0,0,0,0
26,Baked-Three-Cheese-Italian-Penne-Pasta-994667,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Baked-Ziti-1067923,0,0,0,0,0,0,0,0,1,0,0,0,0
28,Baked-Ziti-I-Allrecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
29,Baked-Ziti-with-Creamy-Kale-_-Sausage-1005616,0,0,0,0,0,0,0,0,1,0,0,0,0
30,Baked-Ziti-with-Italian-Sausage-1276804,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Basic-Pizza-Dough-1572401,0,0,1,0,0,0,0,0,1,0,0,0,0
32,Basil-Pine-Nut-Pesto-_-Pesto-Alla-Genovese-1049469,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Beef-Tenderloin-Rosa-Di-Parma-1455369,0,0,0,0,0,0,0,0,1,0,0,0,0
