,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Italian-Crescent-Casserole-685397,,5,6,600.0,1800.0
1,One-Pot-Hamburger-Helper-Lasagna-1711656,1500.0,11,6,300.0,1800.0
2,Creamy_-Four-Cheese-_-Garlic-Spaghetti-1682822,840.0,12,4,300.0,1140.0
3,Kohlrabi-Risotto-with-Roasted-Tomatoes-and-Pancetta-1711231,1200.0,17,4,,1200.0
4,Chicken-Bruschetta-1710258,1500.0,9,4,600.0,2100.0
5,Garlic-Lovers_-Spaghetti-1711130,,11,7,,2100.0
6,Carbonara-1712319,,7,4,,2100.0
7,Scallion-Pesto-with-Swiss-Chard-and-Scallops-1711119,1800.0,24,4,1200.0,3000.0
8,Italian-Sausage-and-Asparagus-Risotto-1700628,,12,4,,3600.0
9,Pea-and-Pesto-Risotto-1704441,2400.0,7,6,300.0,2700.0
10,Linguine-With-Parsley-Sauce-1701842,,10,4,,1800.0
11,Spinach-and-Ricotta-Stuffed-Shells-1597834,2100.0,12,4,900.0,3000.0
12,One-Pot-Hamburger-Helper-Lasagna-1713060,1500.0,11,6,300.0,1800.0
13,Veggie-Lasagna-1702973,,12,4,,4500.0
14,Italian-Stuffed-Bell-Peppers-1685152,2100.0,11,4,,2100.0
15,Best-Lasagna-1698933,2700.0,24,12,1800.0,4500.0
16,Chicken-Bruschetta-Pasta-1621606,2700.0,14,4,900.0,3600.0
17,Lasagna-with-a-twist-297336,,7,8,,3600.0
18,Easy-30-Minute-Chicken-Piccata-1701388,,15,2,,2700.0
19,Classic-Lasagna-1629867,,17,9,,6300.0
20,Italian-Chicken-Potato-and-Green-Bean-Bake-988992,,5,4,,4800.0
21,Fettuccine-Alfredo-1684914,,6,4,300.0,300.0
22,Garlic-Lovers_-Spaghetti-1710387,,11,7,,2100.0
23,Slow-Cooker-Spaghetti-Bolognese-Sauce-1711549,28800.0,19,8,600.0,29400.0
24,Easy-Chicken-Parmesan-1599198,,8,4,,2100.0
25,Pasta-al-Pomodoro-1708774,,7,5,1200.0,1200.0
26,Zesty-Italian-Crescent-Casserole-685404,,8,6,1200.0,2700.0
27,Southern-Italian-Grilled-Tuna-Steaks-1701952,,17,4,,2400.0
28,One-Skillet-Italian-Sausage-Pasta-1597291,,6,6,1200.0,1800.0
29,Linguine-With-Clams-In-Less-Than-30-Minutes-1711227,,13,4,,2700.0
30,Olive-Garden-Tuscan-Garlic-Chicken-1708720,,13,4,,3300.0
31,Pizza-Slow-Cooker-Stuffed-Peppers-1679148,75600.0,7,6,900.0,76500.0
32,Italian-Meatloaf-1693797,,17,4,,4500.0
33,Fettuccine-Pesto-Pasta-1704560,,9,4,,1500.0
34,Zucchini-Lasagna-1708086,,13,4,,6300.0
35,Italian-Meatballs-1607068,,21,5,,4200.0
36,Crock-Pot-Italian-Meatballs-1711333,,16,4,,2700.0
37,Baked-Italian-Chicken-1705652,1500.0,10,6,600.0,2100.0
38,Spaghetti-With-Fresh-Tomato-and-Basil-Sauce-1702585,2400.0,10,4,,2400.0
39,Italian-Style-Stuffed-Paleo-Peppers-1686088,1800.0,10,4,1200.0,3000.0
40,Tuscan-Summer-Pasta-1712921,900.0,9,5,300.0,1200.0
41,Lasagna-Rolls-1535130,,11,4,,3900.0
42,Cacio-e-Pepe-1624542,,6,4,,1500.0
43,Gnocchi-Closet-Cooking-54963,4200.0,4,4,1800.0,6000.0
44,Spaghetti-alla-Carbonara-1643618,,8,4,,600.0
45,Stuffed-Shells-with-Spinach-1664181,,9,8,,2400.0
46,Cheesy-Italian-Tortellini-1706029,,8,6,,2700.0
47,Spinach-and-Ricotta-Lazy-Lasagna-580112,,13,4,,4200.0
48,Crockpot-Italian-Chicken-1657787,,6,4,,2400.0
49,Turkey-and-Artichoke-Stuffed-Shells-with-Arrabbiata-Sauce-1712224,,20,6,,4500.0
50,Garlic-Lovers_-Spaghetti-1710333,,11,7,,2100.0
51,Spaghetti-alla-Carbonara-1641632,,7,6,,2100.0
52,Spinach-and-Ricotta-Stuffed-Pasta-Shells-1694486,1200.0,12,4,900.0,2100.0
53,Baked-Garlic-Parmesan-Chicken-1032476,,7,6,,3000.0
54,Classic-Spaghetti-with-Meat-Sauce-1668194,1200.0,9,8,600.0,1800.0
55,Pasta-with-Sweet-Italian-Sausage-1706386,,10,4,,2700.0
56,Chicken-Mozzarella-Pasta-with-Sun-Dried-Tomatoes-761703,,13,4,,3600.0
57,Chicken-Piccata-1677687,,13,5,,2400.0
58,Chicken-Piccata-with-Artichokes-1707864,,13,6,,1500.0
59,Tomato-and-Pesto-Pizza-1682827,900.0,9,4,600.0,1500.0
60,Lasagna-1704692,14400.0,22,9,,14400.0
61,Baked-shells-with-tomato-and-mozzarella-310024,,13,6,,4200.0
62,Fast-_-Easy-Turkey-Sausage-Penne-1705365,,16,4,,2400.0
63,Dump-and-Bake-Italian-Meatball-and-Rice-Casserole-1661967,4500.0,8,8,300.0,4800.0
64,Linguine-with-Pesto-Sauce-1690858,600.0,7,6,600.0,1200.0
65,EASY-SPAGHETTI-AND-MEATBALLS-1687805,,13,4,,3900.0
66,Creamy-One-Pot-Shells-and-Beef-1635472,1800.0,12,7,300.0,2100.0
67,Italian-Sausage-Bow-Tie-Pasta-1531970,,9,4,,2700.0
68,Sun-Dried-Tomato-Pesto-1606716,,7,6,,1500.0
69,Easy-Ravioli-Lasagna-1686330,,7,5,,3900.0
70,Tomato-Basil-Pizza_-1709585,,8,4,,2400.0
71,Chicken-Piccata-with-Artichokes-1587302,,13,6,,1500.0
72,Gwyneth-Paltrow-Carbonara-1616193,,7,4,,2100.0
73,Mushroom-Risotto-1702687,,12,4,,4200.0
74,Broccoli-pesto-pasta-305608,,6,6,,1500.0
75,Pan-Fried-Italian-Chicken-Thighs-1590332,,8,4,,3900.0
76,Baked-chicken-parmesan-352473,,7,4,,2700.0
77,Homemade-Tuscan-Style-Pizza-1708467,360.0,10,4,7800.0,8160.0
78,Tomato-and-Basil-Risotto-1701944,3600.0,15,5,,3600.0
79,Parmesan-crusted-bruschetta-chicken--299493,,8,4,,2100.0
80,Spaghetti-Pasta-Carbonara-1532554,1200.0,8,5,600.0,1800.0
81,Veggie-Lasagna-1698743,,17,12,1200.0,7620.0
82,Mario-Batalis-Penne-allArrabbiata-1637100,1800.0,8,6,,1800.0
83,Spaghetti-with-prawns-and-tomatoes-_Spaghetti-con-gamberetti-e-pomodorini_-1704044,,12,2,,1200.0
84,Chicken-Parmesan-Wonton-_Cupcakes_-932001,,7,8,,2400.0
85,Auto-Draft-1713312,,9,4,,3000.0
86,Roasted-Red-Pepper_-Mozzarella-and-Basil-Stuffed-Chicken-988622,2100.0,8,4,900.0,3000.0
87,Pasta-with-garlicky-broccoli-rabe-305651,,8,4,,1500.0
88,Sea-bass-fillets-with-Italian-style-vegetables-1709096,,14,2,,3900.0
89,Parmesan-crusted-chicken-300048,,4,4,600.0,1800.0
90,Pasta-Aglio_-Olio-e-Peperoncino-1643455,1200.0,6,4,,1200.0
91,Baked-pesto-chicken-309449,,5,4,,3900.0
92,Spicy-Spaghetti-with-Garlic-and-Olive-Oil-_Aglio_-olio-e-peperoncino_-1597654,600.0,8,5,,600.0
93,Traditional-Lasagna-1682068,4200.0,15,12,,600.0
94,Vegan-Tofu-Spinach-Lasagna-1711246,,10,4,,4800.0
95,Skillet-Sausage-and-Pepper-Calzone-1701803,1500.0,12,6,900.0,2400.0
96,Roman-style-spaghetti-alla-carbonara-306162,1200.0,4,4,600.0,1800.0
97,The-Best-Vegan-Lasagna-1680656,1800.0,13,12,900.0,2700.0
98,Aglio-e-Olio-1641504,,9,5,,1800.0
99,Tomato-and-Basil-Risotto-1701967,3600.0,15,5,,3600.0
100,Spicy-Italian-Meatballs-1701698,1800.0,13,4,900.0,2700.0
101,Brown-Butter-Gnocchi-with-Asparagus-and-Peas-1702533,1200.0,12,4,600.0,1800.0
102,Parsnip-Spaghetti-All_Amatriciana-1708808,3600.0,9,4,1200.0,4800.0
103,Grilled-Italian-Pesto-Chicken-1695965,,8,4,,2400.0
104,Chicken-Alfredo-Baked-Ziti-1194975,1800.0,14,6,600.0,2400.0
105,Italian-Sausage-Bow-Tie-Pasta-_Recipe-1706645,,9,4,,2700.0
106,The-Best-Spaghetti-1539924,,11,4,,2400.0
107,Summer-Pasta-With-Zucchini_-Ricotta-and-Basil-1707250,1800.0,14,5,,1800.0
108,Spaghetti-alla-Puttanesca-1704559,,13,4,,2700.0
109,Italian-Sausage-Penne-Bake-1697205,,13,4,,4500.0
110,Italian-Beef-1625382,3900.0,4,3,600.0,4500.0
111,Homemade-Pizza-Dough-1684729,720.0,18,4,4200.0,4920.0
112,Eggplant-Lasagna-1698879,4500.0,9,9,1800.0,6300.0
113,Skillet-Chicken-Parmesan-1704381,1200.0,17,4,600.0,2400.0
114,Rustic-Italian-Zucchini-_Sauce_-with-Penne-1684076,2400.0,7,4,1200.0,3600.0
115,Risotto-With-Tastasal-1709752,,13,4,,2400.0
116,Cacio-e-Pepe-_cheese-_-pepper-pasta_-1641809,,9,4,,1800.0
117,Healthier-Eggplant-Parmesan-1688133,,10,8,,4500.0
118,Spaghetti-With-Fresh-Tomato-and-Basil-Sauce-1702913,2400.0,10,4,,2400.0
119,Shrimp-Fettuccine-Alfredo-439573,,7,5,,1800.0
