,id,Barbecue,Christmas,Easter,Fall,French,Greek,Main Dishes,Mediterranean,Moroccan,Passover,Spring,Summer,Sunday Lunch,Valentine's Day,Winter
0,Greek-Grilled-Chicken-With-Orzo-Salad-Food_com-164262,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Greek-Chicken-Recipezaar_15,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Mediterranean-Shrimp-And-Pasta-Recipezaar,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Mediterranean-Chicken-Stew-Recipezaar,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Eggplant_-Lamb-_-Rice-Casserole-1499898,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gyros-Food_com-185347,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Leg-of-Lamb-With-Tzatziki-Food_com-119168,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,Mediterranean-Chicken-Packets-Recipezaar,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Mediterranean-Shrimp-Recipezaar,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Greek-Chicken-With-Tomato_feta-Cheese-Sauce-Recipezaar,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Pasta-Shells-With-Broccoli_-Feta-And-Olives-Food-Network,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Mediterranean-Burgers-Recipezaar,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,Mediterranean_style-Penne-Epicurious,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Grilled-Lamb-with-Lima-Bean-Skordalia-Food_com-138023,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0
14,Mediterranean-Chicken-_-Rice-Bake-566870,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Chicken-and-Chard-Pasta-Mediterranean-Style-Food_com-120156,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Low-Carb-Mediterranean-Stuffed-Bell-Peppers-Recipezaar,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Greek-Phyllo_wrapped-Chicken-Recipezaar,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Mediterranean-Pasta-Recipezaar,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Gyro-Meat-and-Tzatziki-Sauce-Food_com-61945,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Better-Greek-Chicken-Recipezaar,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Greek-Style-Fish-or-Chicken-in-a-Pouch-Food_com-88154,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Mediterranean-Stuffed-Boneless-Chicken-Thighs-Recipezaar,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Greek_style-Pasta-With-Shrimp-Epicurious,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Mediterranean-Beef-Stew---Cooking-Light-Jan_-2004-523927,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Greek_style-Shrimp-Scampi-Recipezaar,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Mediterranean-Meatball-Kebabs-Recipezaar,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Venison-Roast-With-Mediterranean-Stuffing-Food_com-175286,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Braised-Mediterranean-Chicken-With-Polenta-Food_com-119662,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Shrimp-And-Feta-Greek-Style-Pizza-Recipezaar,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Swordfish-Baked-In-Foil-With-Mediterranean-Flavors-Recipezaar,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Mediterranean-Seafood-Stew-1155827,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Mediterranean_style-Chicken-And-Bean-Stew-Recipezaar,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Shazam_-Shrimp-With-Mediterranean-Orzo-Recipezaar,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,Shrimp-And-Lemon-Skewers-With-Feta-Dill-Sauce-Recipezaar,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,Mediterranean-Salmon-en-Papillote-MyRecipes-265247,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Greek-Spaghetti-TasteOfHome,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Middle-Eastern-Lamb-and-Feta-Burgers-Food_com-90005,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
