,id,Barbecue,Breads,French,Greek,Kid-Friendly,Main Dishes,Mediterranean,Moroccan,Spanish,Summer,Sunday Lunch,Turkish
0,Mediterranean-Inspired-Baked-Salmon-Filets-1711609,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1,Mediterranean-One-Pot-Wonder-White-Fish-Dinner-1711088,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
2,Chopped-Grilled-Vegetable-Bowl-with-Farro-and-Fresh-Coast-Retreat-1712375,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
3,Greek-Style-Vegetable-Casserole-1707262,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
4,Greek-Chicken-with-Tomatoes_-Cauliflower-and-Feta-1703769,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
5,Mediterranean-Pizza-1705058,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
6,Baked-Mediterranean-Mahi-Mahi-1712844,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
7,Mediterranean-Olive-Chicken-1591492,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
8,Crispy-Salmon-with-Greek-Orzo-1685882,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
9,Mediterranean-Mixed-Grill-Bowls-1697338,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
10,Mediterranean-Shrimp-Pasta-1700437,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
11,Slow-Cooker-Mediterranean-Chicken-1677949,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
12,Greek-Sausages-In-Tomato-And-Caper-Stew-1706922,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
13,Greek-Lemon-Chicken-1559417,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
14,Greek-Chicken-Tacos-with-Tzatziki-Sauce-1686547,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
15,Mediterranean-Chicken-Bake-1712652,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
16,Chicken-souvlaki-309582,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0
17,Mediterranean-Baked-Chicken-_-origianl-found-somewhere-on-Pinterest-1711013,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
18,One-Pan-Mediterranean-Roasted-Fish-Dinner-1707916,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0
19,Greek-salmon-cooked-in-a-grill-pan-309892,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
20,Mediterranean-Chicken-Kebabs-1682319,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
21,Mediterranean-Chicken-Packets-1682726,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
