,id,Barbecue,Game Day,Greek,Kid-Friendly,Main Dishes,Mediterranean,Moroccan,Spanish,Summer,Sunday Lunch
0,Mediterranean-chicken-with-olives-303746,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
1,Rotelle-With-Feta_-Chopped-Tomatoes-And-Olives-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
2,Mediterranean-Baked-Halibut-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
3,Mediterranean-pasta-_-chicken-296743,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
4,Gemelli-with-Feta_-Mint-and-Olives-1153544,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
5,Greek-Chicken-Thighs-MyRecipes-240071,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
6,Mediterranean-Trout-In-A-Parcel-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
7,Fish-Sauteed-With-Spicy-Tomatoes-And-Olives-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
8,Mediterranean-Roasted-Chicken-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
9,Greek-Pasta-With-Tomatoes-And-White-Beans-My-Recipes,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,Marvelous-Mini-Meatloaves-Mediterranean-Style-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
11,Mediterranean-Shrimp-With-Garlic-Chips-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
12,Leg-Of-Lamb_boneless_greek-Style-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,1.0
13,Mediterranean-Vegetable-Stew-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
14,Mediterranean-Beef-Stew-_crock-Pot_-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
15,Mediterranean-Pasta-With-Chicken-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
16,Mediterranean-Chicken-Recipezaar_9,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
17,Feta-crusted-Lamb-With-Coriander-And-Raisin-Couscous-1024329,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
18,Greek_style-Chicken-And-Mushrooms-Epicurious,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
19,Mediterranean-Seafood-Grill-with-Skordalia-1540379,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
20,Greek-Chicken-Food_com-126355,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
21,Shrimp-and-Lemon-Skewers-with-Feta-Dill-Sauce-1292259,1.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0,0.0
22,Creamy-mediterranean-chicken-over-couscous-298361,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
23,Mediterranean-pasta-with-eggplant-_-shrimp-296634,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
24,Mediterranean-Chicken-Couscous-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
25,Mediterranean_style-Marinated-Fish-_or-Chicken_-Fillets-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
26,Marinated-Mediterranean-Fish-Fillets-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
27,Mediterranean-style-Grilled-Salmon-1619253,1.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0,0.0
28,Mediterranean-Pasta-Recipezaar_4,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
29,Mediterranean-pizza-299797,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
30,Mediterranean-Vegetable-Pie-Recipezaar_2,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
31,Rib-Eye-Steaks-With-Mediterranean-Marinade-Food_com-121595,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
32,Lamb-Chops_-Calabrese_-With-Tomatoes_-Peppers-And-Olives-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0
33,Greek-Pizza-With-Chicken_-Feta-And-Olives-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
34,Mediterranean-Lemon-Chicken-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
35,Greek-Style-Shrimp-and-Cannellini-Beans-1156534,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
36,Greek-Ziti-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
37,Greek_style-Marinated-Mahi-Mahi-Recipezaar,1.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
38,Greek_style-Snapper-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
39,Mediterranean-Pasta-with-Tomatoes-and-Arugula-1156910,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
40,Greek-Pasta-with-Shrimp-Food_com-62644,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
41,Mediterranean-style-Grilled-Salmon-979822,1.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0,0.0
42,Mediterranean-Chicken-Parcels-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
43,Easy-Greek-Chicken-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
