,index,Appetizers,Beverages,Breads,Breakfast and Brunch,Cocktails,Condiments and Sauces,Desserts,Lunch,Main Dishes,Salads,Side Dishes,Snacks,Soups
0,20-Mediterranean-Hummus-Noodles-with-Blistered-Cherry-Tomatoes_-1171512,0,0,0,0,0,0,0,0,1,0,0,0,0
1,Alaskan-Cod_-Mediterranean-Style-983841,0,0,0,0,0,0,0,0,1,0,0,0,0
2,Alex_s-favorite-baked-chicken-mediterranean-344901,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Amazing-Mediterranean-Style-Baked-Trout-Recipe-in-a-Hurry-1621233,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Bacon-Wrapped-Mediterranean-Stuffed-Grilled-Chicken-1116263,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Baked-Falafel-with-Lemon-Tahini-Sauce-1551879,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Baked-Greek-Shrimp-With-Tomatoes-and-Feta-1251635,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Baked-Mediterranean-Chicken-1164957,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Baked-Mediterranean-Chicken-Breasts-with-Tomatoes_-Olives_-Capers_-and-Garlic-985326,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Baked-Mediterranean-Mahi-Mahi-1712844,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Baked-Mediterranean-Red-Snapper-1502842,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Baked-Mediterranean-Red-Snapper-1530156,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Baked-Shrimp-Stew-in-a-Mediterranean-Chunky-Tomato-Sauce-1001408,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Balsamic-Grilled-Chicken-with-Mediterranean-Salsa-483019,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Beef-Gyros-with-Tzatziki-Sauce-1087236,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Bone-in-Pork-Loin-with-Mediterranean-Flavors-1200604,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Braised-Chicken-Thighs-with-Artichokes-and-Greek-Olives-1540402,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Braised-Chicken-with-Mediterranean-Wine-Sauce-456464,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Braised-Mediterranean-Chicken-1615589,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Braised-mediterranean-chicken-with-olives-298475,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Bulgur-With-Swiss-Chard_-Chickpeas-and-Feta-1039652,0,0,0,0,0,0,0,0,1,0,0,0,0
21,Cauliflower-And-Quinoa-Burgers-With-Greek-Salad-1222296,0,0,0,0,0,0,0,0,1,0,0,0,0
22,Cheesy-Chicken-Mediterranean-Pasta-Bake-1087727,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Chicken-souvlaki-309582,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Chicken-with-Olives-603824,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Chicken_-Artichoke-_-Baby-Potato-Roast-with-Greek-Herbs-_-Lemon-1115476,0,0,0,0,0,0,0,0,1,0,0,0,0
26,Chopped-Grilled-Vegetable-Bowl-with-Farro-and-Fresh-Coast-Retreat-1712375,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Cocktail-Mediterranean-Lamb-Meatballs-989854,0,0,0,0,0,0,0,0,1,0,0,0,0
28,Cousin-Cosmo_s-Greek-Chicken-AllRecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
29,Crispy-Salmon-with-Greek-Orzo-1685882,0,0,0,0,0,0,0,0,1,0,0,0,0
30,Crockpot-Mediterranean-Chicken-Ragu-with-Orecchiette-1019955,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Easy-Greek-Chicken-Gryos-1184815,0,0,0,0,0,0,0,0,1,0,0,0,0
32,Easy-Mediterranean-Grilled-Chicken-1240418,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Easy-Traditional-Greek-Gyros_-596424,0,0,0,0,0,0,0,0,1,0,0,0,0
34,Eggplant-Casserole-1531505,0,0,0,0,0,0,0,0,1,0,0,0,0
35,Faith_s-Greek-Shrimp-Couscous_-Feta_-Olives-_-Lemon-1051318,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Feta-Shrimp-Skillet-1113320,0,0,0,0,0,0,0,0,1,0,0,0,0
37,Feta-Shrimp-Skillet-1603723,0,0,0,0,0,0,0,0,1,0,0,0,0
38,Flounder-Mediterranean-946450,0,0,0,0,0,0,0,0,1,0,0,0,0
39,Garlic-Feta-Lamb-Burgers-With-Cucumber-Yogurt-Sauce-638700,0,0,0,0,0,0,0,0,1,0,0,0,0
40,Garlic-Herb-Mediterranean-Chicken-and-Lemon-Potatoes-1146111,0,0,0,0,0,0,0,0,1,0,0,0,0
41,Garlic-Shrimp-My-Recipes_1,0,0,0,0,0,0,0,0,1,0,0,0,0
42,Garlicky-Greek-Chicken-and-a-_ChickenDotca-Giveaway-1032127,0,0,0,0,0,0,0,0,1,0,0,0,0
43,Greek--Style-Shrimp-Scampi-w_-Whole-Wheat-Spaghetti-471906,0,0,0,0,0,0,0,0,1,0,0,0,0
44,Greek-Baked-Scallops-Santorini-1545890,0,0,0,0,0,0,0,0,1,0,0,0,0
45,Greek-Beef-Kabobs-with-Cucumber-Salad-1180599,0,0,0,0,0,0,0,0,1,0,0,0,0
46,Greek-Braised-Chicken-Thighs-1192898,0,0,0,0,0,0,0,0,1,0,0,0,0
47,Greek-Braised-Cod-with-Tomatoes-and-Kalamata-Olives-1677969,0,0,0,0,0,0,0,0,1,0,0,0,0
48,Greek-Brown-Rice-Bowls-1561418,0,0,0,0,0,0,0,0,1,0,0,0,0
49,Greek-Chicken-Allrecipes_1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Greek-Chicken-Bowl-with-Watermelon-and-Feta-1689732,0,0,0,0,0,0,0,0,1,0,0,0,0
51,Greek-Chicken-Cutlets-1366175,0,0,0,0,0,0,0,0,1,0,0,0,0
52,Greek-Chicken-Cutlets-Martha-Stewart,0,0,0,0,0,0,0,0,1,0,0,0,0
53,Greek-Chicken-Flatbread-1566431,0,0,0,0,0,0,0,0,1,0,0,0,0
54,Greek-Chicken-Kebabs-with-Tzatziki-Sauce-1190126,0,0,0,0,0,0,0,0,1,0,0,0,0
55,Greek-Chicken-Meatballs-1424954,0,0,0,0,0,0,0,0,1,0,0,0,0
56,Greek-Chicken-Pasta-1601849,0,0,0,0,0,0,0,0,1,0,0,0,0
57,Greek-Chicken-Pasta-471967,0,0,0,0,0,0,0,0,1,0,0,0,0
58,Greek-Chicken-Quinoa-Bowl-1231259,0,0,0,0,0,0,0,0,1,0,0,0,0
59,Greek-Chicken-Quinoa-Bowls-1026110,0,0,0,0,0,0,0,0,1,0,0,0,0
60,Greek-Chicken-Souvlaki-1542643,0,0,0,0,0,0,0,0,1,0,0,0,0
61,Greek-Chicken-Souvlaki-with-Yogurt-Sauce-1541959,0,0,0,0,0,0,0,0,1,0,0,0,0
62,Greek-Chicken-Stew-1297027,0,0,0,0,0,0,0,0,1,0,0,0,0
