,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Mediterranean-chicken-with-olives-303746,,8,6,,2400
1,Rotelle-With-Feta_-Chopped-Tomatoes-And-Olives-Recipezaar,,5,4,900.0,900
2,Mediterranean-Baked-Halibut-Recipezaar,1500.0,6,4,600.0,2100
3,Mediterranean-pasta-_-chicken-296743,,8,4,,3000
4,Gemelli-with-Feta_-Mint-and-Olives-1153544,900.0,8,4,,1800
5,Greek-Chicken-Thighs-MyRecipes-240071,,10,4,,3600
6,Mediterranean-Trout-In-A-Parcel-Recipezaar,600.0,7,4,900.0,1500
7,Fish-Sauteed-With-Spicy-Tomatoes-And-Olives-Recipezaar,900.0,7,4,600.0,1500
8,Mediterranean-Roasted-Chicken-Recipezaar,5400.0,7,6,600.0,6000
9,Greek-Pasta-With-Tomatoes-And-White-Beans-My-Recipes,,5,4,,1500
10,Marvelous-Mini-Meatloaves-Mediterranean-Style-Recipezaar,2100.0,7,6,600.0,2700
11,Mediterranean-Shrimp-With-Garlic-Chips-Recipezaar,600.0,8,4,600.0,1200
12,Leg-Of-Lamb_boneless_greek-Style-Recipezaar,3300.0,8,7,10800.0,14100
13,Mediterranean-Vegetable-Stew-Recipezaar,28800.0,12,6,1800.0,30600
14,Mediterranean-Beef-Stew-_crock-Pot_-Recipezaar,,5,4,600.0,900
15,Mediterranean-Pasta-With-Chicken-Recipezaar,1800.0,6,4,1800.0,3600
16,Mediterranean-Chicken-Recipezaar_9,900.0,8,4,300.0,1200
17,Feta-crusted-Lamb-With-Coriander-And-Raisin-Couscous-1024329,600.0,12,1,1800.0,2400
18,Greek_style-Chicken-And-Mushrooms-Epicurious,,10,6,,2100
19,Mediterranean-Seafood-Grill-with-Skordalia-1540379,,12,4,,3600
20,Greek-Chicken-Food_com-126355,1800.0,14,6,600.0,2400
21,Shrimp-and-Lemon-Skewers-with-Feta-Dill-Sauce-1292259,,10,4,,1800
22,Creamy-mediterranean-chicken-over-couscous-298361,,11,4,,1620
23,Mediterranean-pasta-with-eggplant-_-shrimp-296634,,10,6,,2700
24,Mediterranean-Chicken-Couscous-Recipezaar,300.0,9,8,900.0,1200
25,Mediterranean_style-Marinated-Fish-_or-Chicken_-Fillets-Recipezaar,86400.0,9,5,600.0,87000
26,Marinated-Mediterranean-Fish-Fillets-Recipezaar,600.0,11,6,2100.0,2700
27,Mediterranean-style-Grilled-Salmon-1619253,,8,4,,1800
28,Mediterranean-Pasta-Recipezaar_4,1500.0,6,4,300.0,1800
29,Mediterranean-pizza-299797,,8,4,,1800
30,Mediterranean-Vegetable-Pie-Recipezaar_2,1800.0,10,4,1200.0,3000
31,Rib-Eye-Steaks-With-Mediterranean-Marinade-Food_com-121595,,9,4,600.0,3000
32,Lamb-Chops_-Calabrese_-With-Tomatoes_-Peppers-And-Olives-Recipezaar,1500.0,9,4,1800.0,3300
33,Greek-Pizza-With-Chicken_-Feta-And-Olives-Recipezaar,720.0,8,4,900.0,1620
34,Mediterranean-Lemon-Chicken-Recipezaar,2100.0,7,4,600.0,2700
35,Greek-Style-Shrimp-and-Cannellini-Beans-1156534,,12,4,600.0,1500
36,Greek-Ziti-Recipezaar,600.0,11,4,1200.0,1800
37,Greek_style-Marinated-Mahi-Mahi-Recipezaar,480.0,8,4,600.0,1080
38,Greek_style-Snapper-Recipezaar,1200.0,10,4,600.0,1800
39,Mediterranean-Pasta-with-Tomatoes-and-Arugula-1156910,,12,4,600.0,1500
40,Greek-Pasta-with-Shrimp-Food_com-62644,,8,6,900.0,4500
41,Mediterranean-style-Grilled-Salmon-979822,,8,4,,1800
42,Mediterranean-Chicken-Parcels-Recipezaar,1800.0,10,4,600.0,2400
43,Easy-Greek-Chicken-Recipezaar,1500.0,8,5,21600.0,23100
44,Greek-Stuffed-Bell-Peppers-Recipezaar,14400.0,10,4,900.0,15300
45,Mediterranean-Beef-Stew-MyRecipes-218338,,5,4,,3600
46,Linguine-With-Chicken_-Spinach-And-Feta-Recipezaar,1200.0,15,5,900.0,2100
47,Swiss-Chard-With-Chickpeas-And-Feta-Recipezaar,1200.0,9,5,600.0,1800
48,Greek-Style-Pizza-My-Recipes,,6,6,,3600
49,Simple-Mediterranean-Grilled-Chicken-Recipezaar,,8,4,2400.0,2760
50,Mediterranean-Marinade-Food_com-104571,,8,4,600.0,600
51,Mediterranean-Catfish-Recipezaar,900.0,10,3,900.0,1800
52,Greek-Style-Rotisserie-Boneless-Leg-Of-Lamb-Recipezaar,7200.0,7,8,3600.0,10800
53,Slow-Cooked-Greek-Pork-Food_com-91311,25200.0,10,11,1500.0,26700
54,Greek-Tilapia-Recipezaar,900.0,8,1,1200.0,2100
55,Kittencal_s-Greek-Souvlaki-_grilled-Skewered-Lamb-Or-Pork_-Recipezaar,,13,6,86400.0,86880
56,Chicken-Mediterranean-For-Two-Recipezaar,900.0,10,2,7200.0,8100
57,Mediterranean-Pasta-MyRecipes-214262,,6,1,,2100
58,Kraft-Mediterranean-Chicken-Food_com-183439,,8,4,1800.0,1800
59,Greek-Style-Scampi-Food_com-89135,1800.0,8,6,,1800
60,Mediterranean-Shrimp-Pasta-Food_com-114439,,11,4,600.0,1200
61,Baked-Mediterranean-Salmon-Recipezaar,1800.0,10,4,900.0,2700
62,Mediterranean-Chicken-MyRecipes-265265,,8,4,,1800
63,Greek-Scampi-Recipezaar,,9,2,1200.0,1200
