,index,Appetizers,Beverages,Breads,Breakfast and Brunch,Cocktails,Condiments and Sauces,Desserts,Lunch,Main Dishes,Salads,Side Dishes,Snacks,Soups
0,21-Day-Fix-Chicken-Enchiladas-988253,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4-Cheese-Mexican-Bacon-Wrapped-Chicken-Thighs-1600597,0,0,0,0,0,0,0,0,1,0,0,0,0
2,4_-Green-Chile-Chicken-Enchiladas-1264600,0,0,0,0,0,0,0,0,1,0,0,0,0
3,5-Ingredient-Slow-Cooker-Mexican-Chicken-1545392,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Agustine_s-Beer-_-Tequila-Carnitas-1008439,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Al-Pastor-684847,0,0,0,0,0,0,0,0,1,0,0,0,0
6,An-Easy-Dinner-Where-Tacos-and-Meatloaf-Meet-1624698,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Andy_s-Spicy-Green-Chile-Pork-AllRecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Angel-hair-pasta-tacos-347893,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Arepa-con-Carne-a-la-Criolla-_Arepa-with-Beef-a-la-Criolla_-1264572,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Arroz-con-Pollo-456098,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Asado-a-la-Mexicana-1113421,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Authentic-Mexican-Enchiladas-Allrecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Avocado-Chicken-Enchilada-Casserole-1356121,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Avocado-Chicken-Enchiladas-1291570,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Avocado-Enchiladas-900496,0,0,0,0,0,0,0,0,1,0,0,0,0
16,BBQ-CHICKEN-ENCHILADAS-1004249,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Baja-Fish-Tacos-1050152,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Baked-Chicken-_-Roasted-Red-Pepper-Taquitos-850006,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Barbacoa-Tacos-1082446,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Barbecue-Chicken-Enchiladas-1621348,0,0,0,0,0,0,0,0,1,0,0,0,0
21,Basic-Chicken-Tacos-512802,0,0,0,0,0,0,0,0,1,0,0,0,0
22,Beef-Burrito-Skillet-1435741,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Beef-Enchilada-Casserole-1184874,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Beef-Enchilada-Quinoa-Bake-1100853,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Beef-Enchilada-Stuffed-Poblano-Peppers-1598352,0,0,0,0,0,0,0,0,1,0,0,0,0
26,Beef-Enchiladas-1339569,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Beef-Fajita-Marinade-Allrecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
28,Beef-Nacho-Casserole-Allrecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
29,Beef-Taco-Skillet-Casserole-824473,0,0,0,0,0,0,0,0,1,0,0,0,0
30,Beef-Tacos-480509,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Beef-Tips-Mexican-Style-_-Puntas-de-Filete-a-la-Mexicana-1190460,0,0,0,0,0,0,0,0,1,0,0,0,0
32,Beef-_n-Bean-Burritos-1042899,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Beef-and-Bean-Enchiladas-1195476,0,0,0,0,0,0,0,0,1,0,0,0,0
34,Beef-and-Potato-Enchiladas-1591268,0,0,0,0,0,0,0,0,1,0,0,0,0
35,Beef-taco-bake-369931,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Beefy-vegetable-taco-pie-297711,0,0,0,0,0,0,0,0,1,0,0,0,0
37,Beer-Braised-Lamb-Shank-1614106,0,0,0,0,0,0,0,0,1,0,0,0,0
38,Better-Than-Chipotle-DIY-Chicken-Burrito-Bowls-1610418,0,0,0,0,0,0,0,0,1,0,0,0,0
39,Black-Bean-Lime-Chicken-Burritos-with-Guacamole-1537971,0,0,0,0,0,0,0,0,1,0,0,0,0
40,Black-Bean-Tacos-with-Avocado-Cilantro-Lime-Sauce-1072146,0,0,0,0,0,0,0,0,1,0,0,0,0
41,Black-Bean-and-Spinach-Enchilada-Bake-1037859,0,0,0,0,0,0,0,0,1,0,0,0,0
42,Brilliant-Fish-Tacos-969554,0,0,0,0,0,0,0,0,1,0,0,0,0
43,Brisket-tacos_-Dallas-style-686009,0,0,0,0,0,0,0,0,1,0,0,0,0
44,Broiled-Fish-Tacos-472627,0,0,0,0,0,0,0,0,1,0,0,0,0
45,Burrito-Bowl-Mason-Jars-1595592,0,0,0,0,0,0,0,0,1,0,0,0,0
46,Burrito-Pie-Casserole-1081001,0,0,0,0,0,0,0,0,1,0,0,0,0
47,Butternut-Squash-and-Black-Bean-Enchiladas-1567806,0,0,0,0,0,0,0,0,1,0,0,0,0
48,Cajun-Blackened-Fish-Tacos-1643607,0,0,0,0,0,0,0,0,1,0,0,0,0
49,Carne-Asada-1064456,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Carne-Guisada-530781,0,0,0,0,0,0,0,0,1,0,0,0,0
51,Carne-Guisada-I-Allrecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
